"Date","CTSLIND"
1982-01-01,-0.71
1982-02-01,0.75
1982-03-01,0.7
1982-04-01,0.24
1982-05-01,0.72
1982-06-01,0.68
1982-07-01,0.9
1982-08-01,0.94
1982-09-01,0.53
1982-10-01,0.88
1982-11-01,1.03
1982-12-01,1.37
1983-01-01,2.01
1983-02-01,2.52
1983-03-01,3.45
1983-04-01,3.9
1983-05-01,3.66
1983-06-01,3.5
1983-07-01,3.64
1983-08-01,3.37
1983-09-01,3.45
1983-10-01,3.38
1983-11-01,2.81
1983-12-01,2.89
1984-01-01,2.69
1984-02-01,2.33
1984-03-01,2.24
1984-04-01,2.22
1984-05-01,1.42
1984-06-01,1.56
1984-07-01,1.56
1984-08-01,0.67
1984-09-01,0.78
1984-10-01,0.41
1984-11-01,0.67
1984-12-01,0.52
1985-01-01,0.38
1985-02-01,0.77
1985-03-01,0.73
1985-04-01,1.07
1985-05-01,1.35
1985-06-01,1.52
1985-07-01,1.89
1985-08-01,3.2
1985-09-01,3.05
1985-10-01,3.26
1985-11-01,3.46
1985-12-01,3.51
1986-01-01,2.97
1986-02-01,1.77
1986-03-01,1.14
1986-04-01,1.45
1986-05-01,1.23
1986-06-01,1.09
1986-07-01,1.91
1986-08-01,1.71
1986-09-01,1.27
1986-10-01,1.6
1986-11-01,1.09
1986-12-01,1.05
1987-01-01,0.91
1987-02-01,1.67
1987-03-01,2.23
1987-04-01,2.5
1987-05-01,2.38
1987-06-01,2.25
1987-07-01,2.2
1987-08-01,1.4
1987-09-01,0.86
1987-10-01,1.09
1987-11-01,1.7
1987-12-01,2.18
1988-01-01,2.17
1988-02-01,1.43
1988-03-01,1.69
1988-04-01,1.16
1988-05-01,0.12
1988-06-01,0.08
1988-07-01,0.68
1988-08-01,0.44
1988-09-01,0.35
1988-10-01,0.75
1988-11-01,1.64
1988-12-01,1.2
1989-01-01,0.29
1989-02-01,0.43
1989-03-01,0.02
1989-04-01,-0.31
1989-05-01,-1.2
1989-06-01,-0.85
1989-07-01,-1.14
1989-08-01,-0.7
1989-09-01,-1.14
1989-10-01,-1.41
1989-11-01,-1.42
1989-12-01,-0.52
1990-01-01,-0.54
1990-02-01,-0.53
1990-03-01,-0.22
1990-04-01,0.33
1990-05-01,0.16
1990-06-01,0.52
1990-07-01,0.51
1990-08-01,-0.03
1990-09-01,0.2
1990-10-01,-0.19
1990-11-01,-0.35
1990-12-01,0.2
