"Date","WYSLIND"
1982-01-01,-1.02
1982-02-01,-1.42
1982-03-01,-1.71
1982-04-01,-2.51
1982-05-01,-2.82
1982-06-01,-3.05
1982-07-01,-2.94
1982-08-01,-2.73
1982-09-01,-3.32
1982-10-01,-2.55
1982-11-01,-1.26
1982-12-01,-1.66
1983-01-01,-0.73
1983-02-01,-0.88
1983-03-01,-0.41
1983-04-01,-0.7
1983-05-01,1.07
1983-06-01,3.44
1983-07-01,4.2
1983-08-01,4.27
1983-09-01,4.48
1983-10-01,3.43
1983-11-01,2.73
1983-12-01,2.85
1984-01-01,1.91
1984-02-01,2.88
1984-03-01,2.28
1984-04-01,2.2
1984-05-01,1.17
1984-06-01,1.36
1984-07-01,1.93
1984-08-01,0.63
1984-09-01,0.17
1984-10-01,-0.14
1984-11-01,0.5
1984-12-01,0.51
1985-01-01,-0.8
1985-02-01,-0.66
1985-03-01,-0.97
1985-04-01,-0.27
1985-05-01,0.13
1985-06-01,-0.93
1985-07-01,0.76
1985-08-01,0.12
1985-09-01,-0.14
1985-10-01,-0.83
1985-11-01,-0.67
1985-12-01,-1.26
1986-01-01,-0.72
1986-02-01,-1.45
1986-03-01,-1.49
1986-04-01,-1.99
1986-05-01,-1.36
1986-06-01,-1.17
1986-07-01,-0.71
1986-08-01,-0.61
1986-09-01,-1.13
1986-10-01,-0.14
1986-11-01,-0.01
1986-12-01,1.09
1987-01-01,1.68
1987-02-01,1.85
1987-03-01,2.06
1987-04-01,2.61
1987-05-01,3.2
1987-06-01,2.06
1987-07-01,1.89
1987-08-01,2.15
1987-09-01,3.26
1987-10-01,2.9
1987-11-01,2.55
1987-12-01,2.18
1988-01-01,2.33
1988-02-01,1.69
1988-03-01,1.22
1988-04-01,1.75
1988-05-01,1.78
1988-06-01,2.28
1988-07-01,1.14
1988-08-01,0.99
1988-09-01,0.24
1988-10-01,0.57
1988-11-01,0.75
1988-12-01,0.98
1989-01-01,1.42
1989-02-01,1.24
1989-03-01,1.61
1989-04-01,1.76
1989-05-01,0.59
1989-06-01,0.65
1989-07-01,1.1
1989-08-01,0.64
1989-09-01,1.78
1989-10-01,1.74
1989-11-01,1.56
1989-12-01,1.39
1990-01-01,1.41
1990-02-01,1.56
1990-03-01,1.32
1990-04-01,1.75
1990-05-01,0.5
1990-06-01,1.47
1990-07-01,0.7
1990-08-01,1.12
1990-09-01,0.52
1990-10-01,0.26
1990-11-01,0.84
1990-12-01,0.82
1991-01-01,0.01
1991-02-01,0.35
1991-03-01,0.38
1991-04-01,0.29
1991-05-01,0.22
1991-06-01,0.5
1991-07-01,0.31
1991-08-01,0.83
1991-09-01,0.61
1991-10-01,0.01
1991-11-01,-0.09
1991-12-01,0.06
1992-01-01,0.53
1992-02-01,1.2
1992-03-01,1.13
1992-04-01,0.87
1992-05-01,0.58
1992-06-01,-0.17
1992-07-01,0.26
1992-08-01,0.89
1992-09-01,0.93
1992-10-01,1.4
1992-11-01,2.06
1992-12-01,0.99
1993-01-01,1.04
1993-02-01,0.78
1993-03-01,1.01
1993-04-01,0.44
1993-05-01,1.16
1993-06-01,1.32
1993-07-01,1.11
1993-08-01,1.02
1993-09-01,1.22
1993-10-01,0.97
1993-11-01,0.56
1993-12-01,0.97
1994-01-01,1.86
1994-02-01,1.99
1994-03-01,1.69
1994-04-01,1.68
1994-05-01,1.85
1994-06-01,1.61
1994-07-01,1.65
1994-08-01,2.17
1994-09-01,1.58
1994-10-01,1.4
1994-11-01,2.11
1994-12-01,1.8
1995-01-01,0.56
1995-02-01,0.63
1995-03-01,0.52
1995-04-01,0.72
1995-05-01,-0.27
1995-06-01,1.02
1995-07-01,0.17
1995-08-01,0.86
1995-09-01,1.18
1995-10-01,1.14
1995-11-01,0.78
1995-12-01,1.12
1996-01-01,0.67
1996-02-01,0.83
1996-03-01,0.6
1996-04-01,1.33
1996-05-01,0.94
1996-06-01,0.73
1996-07-01,-0.3
1996-08-01,1.4
1996-09-01,1.42
1996-10-01,0.72
