"Date","AZSLIND"
1982-01-01,-4.01
1982-02-01,-2.96
1982-03-01,-2.97
1982-04-01,-2.61
1982-05-01,-2.06
1982-06-01,-2.04
1982-07-01,-2.22
1982-08-01,-2.17
1982-09-01,-0.5
1982-10-01,1.32
1982-11-01,3.04
1982-12-01,4.2
1983-01-01,5.59
1983-02-01,6.77
1983-03-01,7.57
1983-04-01,7.44
1983-05-01,7.82
1983-06-01,8.03
1983-07-01,8.33
1983-08-01,8.14
1983-09-01,9.21
1983-10-01,7.59
1983-11-01,6.83
1983-12-01,6.02
1984-01-01,6.01
1984-02-01,4.66
1984-03-01,4.17
1984-04-01,4.1
1984-05-01,3.86
1984-06-01,3.11
1984-07-01,1.92
1984-08-01,1.5
1984-09-01,-0.1
1984-10-01,-0.62
1984-11-01,-0.32
1984-12-01,-0.31
1985-01-01,0.14
1985-02-01,0.9
1985-03-01,0.52
1985-04-01,0.78
1985-05-01,0.11
1985-06-01,0.26
1985-07-01,0.88
1985-08-01,2.21
1985-09-01,2.52
1985-10-01,3.1
1985-11-01,3.16
1985-12-01,2.25
1986-01-01,1.55
1986-02-01,0.65
1986-03-01,0.46
1986-04-01,0.27
1986-05-01,0.96
1986-06-01,1.63
1986-07-01,1.28
1986-08-01,1.86
1986-09-01,0.94
1986-10-01,1.16
1986-11-01,1.51
1986-12-01,2.5
1987-01-01,2.89
1987-02-01,2.84
1987-03-01,2.83
1987-04-01,3.7
1987-05-01,3.53
1987-06-01,3.84
1987-07-01,2.36
1987-08-01,2.25
1987-09-01,1.57
1987-10-01,1.98
1987-11-01,1.84
1987-12-01,1.74
1988-01-01,0.54
1988-02-01,0.2
1988-03-01,1.32
1988-04-01,1.27
1988-05-01,1.87
1988-06-01,2.56
1988-07-01,3.02
1988-08-01,2.51
1988-09-01,2.28
1988-10-01,2.56
1988-11-01,2.89
1988-12-01,2.76
1989-01-01,3.57
1989-02-01,3.67
1989-03-01,3.4
1989-04-01,2.5
1989-05-01,1.24
1989-06-01,0.78
1989-07-01,2.64
1989-08-01,3.37
1989-09-01,2.36
1989-10-01,2.39
1989-11-01,2.17
1989-12-01,1.76
1990-01-01,0.99
1990-02-01,0.38
1990-03-01,0.25
1990-04-01,1.69
1990-05-01,2.93
1990-06-01,2
1990-07-01,1.05
1990-08-01,2.17
1990-09-01,2.18
1990-10-01,1.64
1990-11-01,1.72
1990-12-01,1.91
1991-01-01,1.94
1991-02-01,1.61
1991-03-01,0.86
1991-04-01,0.77
1991-05-01,0.32
1991-06-01,0.52
1991-07-01,0.67
1991-08-01,-0.16
1991-09-01,-0.71
1991-10-01,-0.28
1991-11-01,0.37
1991-12-01,-0.35
1992-01-01,-0.04
1992-02-01,0.52
1992-03-01,1.27
1992-04-01,2.36
1992-05-01,3.96
1992-06-01,3.44
1992-07-01,3.35
1992-08-01,3.4
1992-09-01,3.83
1992-10-01,3.47
1992-11-01,2.95
1992-12-01,3.77
1993-01-01,3.56
1993-02-01,4.44
1993-03-01,3.83
1993-04-01,4.59
1993-05-01,3.84
1993-06-01,3.99
1993-07-01,3.55
1993-08-01,3.14
1993-09-01,2.41
1993-10-01,2.27
1993-11-01,2.23
1993-12-01,2.83
1994-01-01,2
1994-02-01,2.45
1994-03-01,2.63
1994-04-01,2.53
1994-05-01,1.43
1994-06-01,1.66
1994-07-01,2.07
1994-08-01,2.29
1994-09-01,2.62
1994-10-01,3.75
1994-11-01,3.34
1994-12-01,3.37
1995-01-01,3.84
1995-02-01,2.9
1995-03-01,1.67
1995-04-01,1.36
1995-05-01,1.67
1995-06-01,1.9
1995-07-01,2.72
1995-08-01,2.57
1995-09-01,2.07
1995-10-01,2.25
1995-11-01,2.06
1995-12-01,2.08
1996-01-01,1.57
1996-02-01,0.68
1996-03-01,1.33
1996-04-01,0.78
1996-05-01,1.53
1996-06-01,1.34
1996-07-01,1.64
1996-08-01,1.63
1996-09-01,2.82
1996-10-01,2.01
1996-11-01,2.41
1996-12-01,2.55
1997-01-01,3.48
1997-02-01,3.35
1997-03-01,3.7
1997-04-01,4.11
1997-05-01,3.23
1997-06-01,2.51
1997-07-01,2.54
1997-08-01,1.81
1997-09-01,3.09
1997-10-01,2.9
1997-11-01,2.27
1997-12-01,2.04
1998-01-01,1.45
1998-02-01,1.24
1998-03-01,1.64
1998-04-01,1.73
1998-05-01,2.69
1998-06-01,1.43
1998-07-01,1.36
1998-08-01,1.82
1998-09-01,2.14
1998-10-01,0.63
1998-11-01,1.58
1998-12-01,1.23
1999-01-01,1.69
1999-02-01,1.46
1999-03-01,1.69
1999-04-01,2.16
1999-05-01,1.82
1999-06-01,2.76
1999-07-01,1.97
1999-08-01,1.97
1999-09-01,2.7
1999-10-01,2.23
1999-11-01,2.46
1999-12-01,1.98
2000-01-01,2.3
2000-02-01,1.97
2000-03-01,2.55
2000-04-01,2.02
2000-05-01,1.87
2000-06-01,1.47
2000-07-01,1.27
2000-08-01,2.38
2000-09-01,1.89
2000-10-01,1.52
2000-11-01,1.23
2000-12-01,1.28
2001-01-01,0.33
2001-02-01,0.16
2001-03-01,0.22
2001-04-01,0.11
2001-05-01,0.33
2001-06-01,-0.22
2001-07-01,-0.31
2001-08-01,-0.08
2001-09-01,-0.16
2001-10-01,-0.37
2001-11-01,-0.57
2001-12-01,0.3
2002-01-01,0.8
2002-02-01,1.11
2002-03-01,2.44
2002-04-01,2.4
2002-05-01,2.48
2002-06-01,1.73
2002-07-01,1.97
2002-08-01,2.1
2002-09-01,2.29
2002-10-01,3.06
2002-11-01,2.8
2002-12-01,2.32
2003-01-01,3.06
2003-02-01,3.62
2003-03-01,2.35
2003-04-01,1.65
2003-05-01,1.92
2003-06-01,3.18
2003-07-01,2.79
2003-08-01,2.48
2003-09-01,3.4
2003-10-01,4.07
2003-11-01,3.9
2003-12-01,3.97
2004-01-01,3.41
2004-02-01,2.13
2004-03-01,2.13
2004-04-01,3.08
2004-05-01,2.87
2004-06-01,3.05
2004-07-01,3.33
2004-08-01,3.59
2004-09-01,3.26
2004-10-01,2.87
2004-11-01,2.29
2004-12-01,2.12
2005-01-01,1.83
2005-02-01,1.98
2005-03-01,1.87
2005-04-01,2.1
2005-05-01,2.87
2005-06-01,2.43
2005-07-01,2.65
2005-08-01,2.09
2005-09-01,2.22
2005-10-01,1.82
2005-11-01,2.52
2005-12-01,2.18
2006-01-01,2.5
2006-02-01,2.88
2006-03-01,2.35
2006-04-01,1.11
2006-05-01,1.47
2006-06-01,0.86
2006-07-01,1.1
2006-08-01,0.94
2006-09-01,1.21
2006-10-01,1.72
2006-11-01,1
2006-12-01,1.68
2007-01-01,1.66
2007-02-01,2.24
2007-03-01,1.96
2007-04-01,2.02
2007-05-01,1.6
2007-06-01,1.95
2007-07-01,1.58
2007-08-01,0.08
2007-09-01,-0.62
2007-10-01,-0.27
2007-11-01,-0.97
2007-12-01,-1.32
2008-01-01,-1.2
2008-02-01,-1.36
2008-03-01,-2.15
2008-04-01,-2.08
2008-05-01,-1.53
2008-06-01,-1.56
2008-07-01,-2.43
2008-08-01,-2
2008-09-01,-1.85
2008-10-01,-3.03
2008-11-01,-3.02
2008-12-01,-3.23
2009-01-01,-3.85
2009-02-01,-3.8
2009-03-01,-3.12
2009-04-01,-1.48
2009-05-01,-0.13
2009-06-01,0.88
2009-07-01,1.05
2009-08-01,1.4
2009-09-01,1.4
2009-10-01,1.4
2009-11-01,1.94
2009-12-01,3.02
2010-01-01,3.06
2010-02-01,3.49
2010-03-01,3.83
2010-04-01,3.41
2010-05-01,4.09
2010-06-01,3.13
2010-07-01,2.15
2010-08-01,1.11
2010-09-01,1.48
2010-10-01,2.12
2010-11-01,3.15
2010-12-01,3.09
2011-01-01,2.98
2011-02-01,3.31
2011-03-01,2.55
2011-04-01,2.16
2011-05-01,2.2
2011-06-01,2.03
2011-07-01,2.04
2011-08-01,3.61
2011-09-01,4.87
2011-10-01,4.57
2011-11-01,4.54
2011-12-01,4.31
2012-01-01,3.8
2012-02-01,2.64
2012-03-01,3.29
2012-04-01,3.04
2012-05-01,3.38
2012-06-01,2.88
2012-07-01,3.84
2012-08-01,3.97
2012-09-01,3.49
2012-10-01,3.18
2012-11-01,3.21
2012-12-01,2.49
2013-01-01,1.88
2013-02-01,1.83
2013-03-01,2.1
2013-04-01,2.31
2013-05-01,2.82
2013-06-01,2.59
2013-07-01,2.07
2013-08-01,2.77
2013-09-01,2.38
2013-10-01,2.62
2013-11-01,3.06
2013-12-01,3.16
2014-01-01,3.25
2014-02-01,3.9
2014-03-01,3.37
2014-04-01,2.94
2014-05-01,1.97
2014-06-01,2.65
2014-07-01,3.34
2014-08-01,2.36
2014-09-01,2.83
2014-10-01,2.81
2014-11-01,2.99
2014-12-01,2.74
2015-01-01,2.97
2015-02-01,3.27
2015-03-01,2.57
2015-04-01,2.86
2015-05-01,3.55
2015-06-01,2.5
2015-07-01,3.03
2015-08-01,2.99
2015-09-01,3.16
2015-10-01,2.86
2015-11-01,3.1
2015-12-01,3.34
2016-01-01,3.02
2016-02-01,2.89
2016-03-01,2.12
2016-04-01,1.79
2016-05-01,2.72
2016-06-01,2.21
2016-07-01,1.81
2016-08-01,2.53
2016-09-01,2.3
2016-10-01,2.57
2016-11-01,2.21
2016-12-01,1.75
2017-01-01,2.83
2017-02-01,2.75
2017-03-01,2.99
2017-04-01,2.57
2017-05-01,2.8
2017-06-01,3.22
2017-07-01,2.22
2017-08-01,2.58
2017-09-01,2.43
2017-10-01,1.76
2017-11-01,1.58
2017-12-01,1.14
2018-01-01,1.94
2018-02-01,2.3
2018-03-01,2.86
2018-04-01,2.14
2018-05-01,1.7
2018-06-01,1.98
2018-07-01,1.93
2018-08-01,2.07
2018-09-01,2.19
2018-10-01,1.08
2018-11-01,1.48
2018-12-01,1.77
2019-01-01,1.14
2019-02-01,1.41
2019-03-01,2.75
2019-04-01,1.98
2019-05-01,1.31
2019-06-01,1.19
2019-07-01,2.63
2019-08-01,3.38
2019-09-01,1.72
2019-10-01,2.38
2019-11-01,2.28
2019-12-01,1.88
2020-01-01,1.82
2020-02-01,2.05
