"Date","NDSLIND"
1982-01-01,-0.09
1982-02-01,0.65
1982-03-01,0.09
1982-04-01,-0.81
1982-05-01,-0.5
1982-06-01,0.29
1982-07-01,0.2
1982-08-01,-0.73
1982-09-01,-1.32
1982-10-01,-0.84
1982-11-01,0.52
1982-12-01,0.95
1983-01-01,1.23
1983-02-01,1.39
1983-03-01,2.19
1983-04-01,2.58
1983-05-01,2.76
1983-06-01,3.63
1983-07-01,3.89
1983-08-01,2.82
1983-09-01,2.42
1983-10-01,2.43
1983-11-01,1.99
1983-12-01,1.87
1984-01-01,1.71
1984-02-01,1.42
1984-03-01,1.32
1984-04-01,1.2
1984-05-01,0.22
1984-06-01,-0.42
1984-07-01,0.81
1984-08-01,1.13
1984-09-01,1.45
1984-10-01,1.2
1984-11-01,0.39
1984-12-01,0.47
1985-01-01,0.52
1985-02-01,0.9
1985-03-01,0.4
1985-04-01,0.92
1985-05-01,2.03
1985-06-01,1.83
1985-07-01,1.25
1985-08-01,0.43
1985-09-01,0.85
1985-10-01,1.43
1985-11-01,1
1985-12-01,1.19
1986-01-01,0.69
1986-02-01,0.28
1986-03-01,0.16
1986-04-01,0.94
1986-05-01,1.2
1986-06-01,1.81
1986-07-01,2.26
1986-08-01,2.49
1986-09-01,2.04
1986-10-01,2.17
1986-11-01,2.23
1986-12-01,2.77
1987-01-01,2.59
1987-02-01,2.48
1987-03-01,2.25
1987-04-01,2.25
1987-05-01,1.54
1987-06-01,1.86
1987-07-01,1.91
1987-08-01,1.69
1987-09-01,1.68
1987-10-01,1.46
1987-11-01,1.67
1987-12-01,1.42
1988-01-01,2.33
1988-02-01,1.97
1988-03-01,2.2
1988-04-01,1.72
1988-05-01,1.26
1988-06-01,1.9
1988-07-01,1.54
1988-08-01,1.48
1988-09-01,1.3
1988-10-01,2.22
1988-11-01,1.75
1988-12-01,2.07
1989-01-01,2.45
1989-02-01,1.96
1989-03-01,1.38
1989-04-01,1.84
1989-05-01,1.93
1989-06-01,1.42
1989-07-01,0.92
1989-08-01,0.91
1989-09-01,1.11
1989-10-01,1.92
1989-11-01,1.78
1989-12-01,2.16
1990-01-01,1.75
1990-02-01,1.02
1990-03-01,1.78
1990-04-01,1.65
1990-05-01,1.51
1990-06-01,1.22
1990-07-01,0.39
1990-08-01,1.54
1990-09-01,1.44
1990-10-01,1.51
1990-11-01,1.5
1990-12-01,1.34
1991-01-01,0.29
1991-02-01,-0.12
1991-03-01,-0.23
1991-04-01,0.17
1991-05-01,0.79
1991-06-01,1.46
1991-07-01,1.63
1991-08-01,1.41
1991-09-01,1.54
1991-10-01,1.4
1991-11-01,0.62
1991-12-01,-0.06
1992-01-01,0.17
1992-02-01,0.88
1992-03-01,0.71
1992-04-01,0.74
1992-05-01,1.31
1992-06-01,1.54
1992-07-01,1.56
1992-08-01,1.5
1992-09-01,1.56
1992-10-01,2.18
1992-11-01,1.96
1992-12-01,2.48
1993-01-01,2.96
1993-02-01,2.62
1993-03-01,1.79
1993-04-01,1.25
1993-05-01,2.24
1993-06-01,1.66
1993-07-01,1.56
1993-08-01,1.44
1993-09-01,2.41
1993-10-01,1.93
1993-11-01,2.03
1993-12-01,1.69
1994-01-01,2.25
1994-02-01,2.13
1994-03-01,2.58
1994-04-01,2.78
1994-05-01,2.94
1994-06-01,2.06
1994-07-01,2.37
1994-08-01,1.94
1994-09-01,1.68
1994-10-01,1.66
1994-11-01,2.49
1994-12-01,2.26
1995-01-01,1.46
1995-02-01,2.06
1995-03-01,2.53
1995-04-01,1.8
1995-05-01,1.85
1995-06-01,1.7
1995-07-01,1.44
1995-08-01,1.19
1995-09-01,1.12
1995-10-01,1.86
1995-11-01,1.73
1995-12-01,1.31
1996-01-01,1.3
1996-02-01,2.18
1996-03-01,1.76
1996-04-01,1.27
1996-05-01,2.05
1996-06-01,2.19
1996-07-01,1.49
1996-08-01,2.03
1996-09-01,1.43
1996-10-01,1.35
1996-11-01,1.12
1996-12-01,1.17
1997-01-01,1.3
1997-02-01,1.51
1997-03-01,0.65
1997-04-01,0.73
1997-05-01,1.44
1997-06-01,1.9
1997-07-01,2.37
1997-08-01,2.61
1997-09-01,2.63
1997-10-01,2.58
1997-11-01,1.87
1997-12-01,1.53
1998-01-01,1.38
1998-02-01,0.48
1998-03-01,0.75
1998-04-01,0.09
1998-05-01,0.72
1998-06-01,0.11
1998-07-01,0.37
1998-08-01,0.01
1998-09-01,0.35
1998-10-01,0.41
1998-11-01,0.4
1998-12-01,0.72
1999-01-01,0.65
1999-02-01,0.77
1999-03-01,0.97
1999-04-01,2.24
1999-05-01,1.8
1999-06-01,1.45
1999-07-01,1.32
1999-08-01,1.52
1999-09-01,1.7
1999-10-01,2.1
1999-11-01,2.1
1999-12-01,2.21
2000-01-01,1.4
2000-02-01,1.74
2000-03-01,1.84
2000-04-01,2.28
2000-05-01,1.73
2000-06-01,1.04
2000-07-01,1.8
2000-08-01,0.73
2000-09-01,0.73
2000-10-01,0.98
2000-11-01,1.96
2000-12-01,1.92
2001-01-01,2.05
2001-02-01,1.57
2001-03-01,0.96
2001-04-01,0.53
2001-05-01,0.71
2001-06-01,1
2001-07-01,0.2
2001-08-01,0.47
2001-09-01,0.45
2001-10-01,0.24
2001-11-01,-0.08
2001-12-01,-0.3
2002-01-01,-0.54
2002-02-01,-0.17
2002-03-01,-0.05
2002-04-01,1.14
2002-05-01,0.9
2002-06-01,1.46
2002-07-01,1.41
2002-08-01,1.58
2002-09-01,1.74
2002-10-01,1.39
2002-11-01,1.12
2002-12-01,1.33
2003-01-01,1.17
2003-02-01,0.55
2003-03-01,1.51
2003-04-01,1.59
2003-05-01,1.5
2003-06-01,1.26
2003-07-01,1.86
2003-08-01,2.04
2003-09-01,2.13
2003-10-01,1.63
2003-11-01,1.43
2003-12-01,2.25
2004-01-01,1.98
2004-02-01,2.45
2004-03-01,2.11
2004-04-01,1.68
2004-05-01,1.55
2004-06-01,1.47
2004-07-01,1.69
2004-08-01,1.64
2004-09-01,1.44
2004-10-01,1.54
2004-11-01,1.51
2004-12-01,1.35
2005-01-01,1.32
2005-02-01,1.62
2005-03-01,1.45
2005-04-01,1.55
2005-05-01,1.28
2005-06-01,1.48
2005-07-01,1.54
2005-08-01,1.5
2005-09-01,1.85
2005-10-01,2.32
2005-11-01,1.8
2005-12-01,1.26
2006-01-01,2.09
2006-02-01,1.99
2006-03-01,1.63
2006-04-01,1.47
2006-05-01,1.29
2006-06-01,1.29
2006-07-01,1.04
2006-08-01,1.38
2006-09-01,0.69
2006-10-01,1.61
2006-11-01,1.86
2006-12-01,1.92
2007-01-01,1.34
2007-02-01,1.72
2007-03-01,1.71
2007-04-01,1.05
2007-05-01,1.02
2007-06-01,0.86
2007-07-01,1.21
2007-08-01,1.21
2007-09-01,1.33
2007-10-01,1.38
2007-11-01,1.55
2007-12-01,2.05
2008-01-01,1.9
2008-02-01,1.27
2008-03-01,1.94
2008-04-01,0.74
2008-05-01,0.91
2008-06-01,0.62
2008-07-01,0.61
2008-08-01,0.73
2008-09-01,0.48
2008-10-01,0
2008-11-01,-0.08
2008-12-01,-0.62
2009-01-01,-1.06
2009-02-01,-0.98
2009-03-01,-0.37
2009-04-01,0.11
2009-05-01,1.79
2009-06-01,2.38
2009-07-01,2.58
2009-08-01,1.58
2009-09-01,2.13
2009-10-01,1.76
2009-11-01,1.32
2009-12-01,1.25
2010-01-01,1.33
2010-02-01,1.6
2010-03-01,2.84
2010-04-01,2.61
2010-05-01,2.47
2010-06-01,1.53
2010-07-01,2.39
2010-08-01,1.92
2010-09-01,1.41
2010-10-01,1.66
2010-11-01,2.64
2010-12-01,2.07
2011-01-01,2.07
2011-02-01,1.95
2011-03-01,1.94
2011-04-01,1.64
2011-05-01,1.62
2011-06-01,1.56
2011-07-01,1.73
2011-08-01,1.99
2011-09-01,2.09
2011-10-01,2.5
2011-11-01,2.26
2011-12-01,2.46
2012-01-01,3.18
2012-02-01,2.83
2012-03-01,2.82
2012-04-01,1.91
2012-05-01,1.52
2012-06-01,1.71
2012-07-01,1.43
2012-08-01,0.72
2012-09-01,1.15
2012-10-01,1.49
2012-11-01,1.26
2012-12-01,1.58
2013-01-01,1.53
2013-02-01,1.55
2013-03-01,2.14
2013-04-01,1.57
2013-05-01,1.55
2013-06-01,2.13
2013-07-01,1.89
2013-08-01,2.06
2013-09-01,1.75
2013-10-01,1.39
2013-11-01,1.48
2013-12-01,1.08
2014-01-01,2.22
2014-02-01,2.13
2014-03-01,1.71
2014-04-01,2.02
2014-05-01,1.8
2014-06-01,1.63
2014-07-01,0.99
2014-08-01,1.14
2014-09-01,1.36
2014-10-01,1.79
2014-11-01,1.59
2014-12-01,2.26
2015-01-01,1.75
2015-02-01,0.4
2015-03-01,0.39
2015-04-01,-0.05
2015-05-01,0.69
2015-06-01,0.79
2015-07-01,0.95
2015-08-01,1.14
2015-09-01,0.99
2015-10-01,0.25
2015-11-01,0.5
2015-12-01,0.25
2016-01-01,-0.17
2016-02-01,-0.21
2016-03-01,-0.04
2016-04-01,0.83
2016-05-01,1.97
2016-06-01,1.79
2016-07-01,2.34
2016-08-01,2.43
2016-09-01,1.6
2016-10-01,1.7
2016-11-01,1.4
2016-12-01,0.96
2017-01-01,1.78
2017-02-01,2.56
2017-03-01,2.12
2017-04-01,2.23
2017-05-01,1.52
2017-06-01,1.33
2017-07-01,1.17
2017-08-01,1.31
2017-09-01,0.88
2017-10-01,0.88
2017-11-01,1.12
2017-12-01,1.43
2018-01-01,1.58
2018-02-01,1.63
2018-03-01,1.57
2018-04-01,1.99
2018-05-01,1.95
2018-06-01,1.87
2018-07-01,1.38
2018-08-01,1.26
2018-09-01,1.99
2018-10-01,1.79
2018-11-01,2.11
2018-12-01,1.66
2019-01-01,2.04
2019-02-01,1.51
2019-03-01,1.21
2019-04-01,1.36
2019-05-01,0.57
2019-06-01,0.82
2019-07-01,1.14
2019-08-01,1.56
2019-09-01,1.18
2019-10-01,0.89
2019-11-01,1.02
2019-12-01,1.14
2020-01-01,2.12
2020-02-01,3.05
