"Date","LASLIND"
1982-01-01,-1.05
1982-02-01,-0.74
1982-03-01,-1.18
1982-04-01,-1.19
1982-05-01,-0.34
1982-06-01,-0.38
1982-07-01,-0.23
1982-08-01,-0.32
1982-09-01,-0.27
1982-10-01,-0.24
1982-11-01,-0.24
1982-12-01,0.07
1983-01-01,-0.11
1983-02-01,0.2
1983-03-01,0.29
1983-04-01,0.4
1983-05-01,0.38
1983-06-01,0.89
1983-07-01,0.9
1983-08-01,0.92
1983-09-01,1.54
1983-10-01,1.51
1983-11-01,1.62
1983-12-01,1.2
1984-01-01,1.8
1984-02-01,1.39
1984-03-01,1.53
1984-04-01,1.54
1984-05-01,1.36
1984-06-01,0.83
1984-07-01,0.69
1984-08-01,0.33
1984-09-01,-0.03
1984-10-01,-0.28
1984-11-01,-0.18
1984-12-01,-0.61
1985-01-01,-0.36
1985-02-01,-0.67
1985-03-01,-0.58
1985-04-01,-0.7
1985-05-01,-0.64
1985-06-01,-0.52
1985-07-01,-0.69
1985-08-01,-0.24
1985-09-01,-0.46
1985-10-01,-0.64
1985-11-01,-0.45
1985-12-01,-0.45
1986-01-01,-0.3
1986-02-01,-0.67
1986-03-01,-0.26
1986-04-01,-0.34
1986-05-01,-0.12
1986-06-01,-0.32
1986-07-01,-0.48
1986-08-01,-0.38
1986-09-01,-0.38
1986-10-01,-0.34
1986-11-01,-0.27
1986-12-01,-0.06
1987-01-01,-0.19
1987-02-01,-0.03
1987-03-01,0.17
1987-04-01,0.33
1987-05-01,0.49
1987-06-01,0.92
1987-07-01,1.02
1987-08-01,0.71
1987-09-01,1.01
1987-10-01,1.33
1987-11-01,1.27
1987-12-01,0.94
1988-01-01,0.81
1988-02-01,0.97
1988-03-01,0.68
1988-04-01,0.62
1988-05-01,0.56
1988-06-01,1.51
1988-07-01,1
1988-08-01,0.95
1988-09-01,0.76
1988-10-01,0.53
1988-11-01,0.34
1988-12-01,0.63
1989-01-01,0.58
1989-02-01,1.06
1989-03-01,0.95
1989-04-01,0.98
1989-05-01,0.68
1989-06-01,0.44
1989-07-01,0.04
1989-08-01,0.05
1989-09-01,0.06
1989-10-01,0.36
1989-11-01,0.43
1989-12-01,-0.09
1990-01-01,0.8
1990-02-01,0.15
1990-03-01,0.28
1990-04-01,-0.05
1990-05-01,0
1990-06-01,0.44
1990-07-01,0.12
1990-08-01,0.66
1990-09-01,0.23
1990-10-01,0.12
1990-11-01,0.3
1990-12-01,-0.04
1991-01-01,-0.17
1991-02-01,-0.32
1991-03-01,-0.37
1991-04-01,-0.17
1991-05-01,-0.02
1991-06-01,-0.16
1991-07-01,0.35
1991-08-01,0.21
1991-09-01,0.29
1991-10-01,0.31
1991-11-01,0.01
1991-12-01,0.08
1992-01-01,0.19
1992-02-01,0.01
1992-03-01,-0.02
1992-04-01,-0.22
1992-05-01,0.07
1992-06-01,0.1
1992-07-01,0.02
1992-08-01,-0.07
1992-09-01,0.12
1992-10-01,-0.05
1992-11-01,0.12
1992-12-01,-0.23
1993-01-01,-0.19
1993-02-01,-0.01
1993-03-01,0.19
1993-04-01,0.23
1993-05-01,0.08
1993-06-01,0.05
1993-07-01,0.01
1993-08-01,0.25
1993-09-01,0.2
1993-10-01,0.27
1993-11-01,0.4
1993-12-01,0.64
1994-01-01,1.04
1994-02-01,1.1
1994-03-01,1
1994-04-01,0.77
1994-05-01,1.23
1994-06-01,1.23
1994-07-01,0.82
1994-08-01,1.18
1994-09-01,1.25
1994-10-01,1.44
1994-11-01,1.49
1994-12-01,1.55
1995-01-01,1.51
1995-02-01,1.21
1995-03-01,1.05
1995-04-01,0.94
1995-05-01,0.75
1995-06-01,0.78
1995-07-01,0.75
1995-08-01,0.58
1995-09-01,0.73
1995-10-01,0.58
1995-11-01,0.4
1995-12-01,0.31
1996-01-01,0.53
1996-02-01,0.55
1996-03-01,0.31
1996-04-01,0.42
1996-05-01,0.47
1996-06-01,0.52
1996-07-01,0.07
1996-08-01,0.38
1996-09-01,0.3
1996-10-01,0.26
1996-11-01,0.39
1996-12-01,0.41
1997-01-01,0.25
1997-02-01,0.61
1997-03-01,0.6
1997-04-01,0.73
1997-05-01,0.83
1997-06-01,0.92
1997-07-01,1.02
1997-08-01,0.63
1997-09-01,1.03
1997-10-01,0.99
1997-11-01,0.92
1997-12-01,0.99
1998-01-01,0.43
1998-02-01,0.9
1998-03-01,0.92
1998-04-01,0.92
1998-05-01,0.68
1998-06-01,0.55
1998-07-01,0.81
1998-08-01,0.84
1998-09-01,0.56
1998-10-01,0.4
1998-11-01,0.61
1998-12-01,0.42
1999-01-01,0.54
1999-02-01,0.63
1999-03-01,0.79
1999-04-01,0.4
1999-05-01,0.68
1999-06-01,0.78
1999-07-01,0.62
1999-08-01,0.43
1999-09-01,0.83
1999-10-01,0.84
1999-11-01,0.87
1999-12-01,0.75
2000-01-01,0.91
2000-02-01,0.89
2000-03-01,0.83
2000-04-01,0.87
2000-05-01,1.01
2000-06-01,0.67
2000-07-01,1.01
2000-08-01,0.83
2000-09-01,0.36
2000-10-01,0.81
2000-11-01,0.6
2000-12-01,0.95
2001-01-01,0.78
2001-02-01,0.71
2001-03-01,0.58
2001-04-01,0.32
2001-05-01,0.18
2001-06-01,0.16
2001-07-01,-0.11
2001-08-01,0.08
2001-09-01,-0.04
2001-10-01,-0.11
2001-11-01,0.07
2001-12-01,-0.09
2002-01-01,0
2002-02-01,0.06
2002-03-01,0.08
2002-04-01,0.39
2002-05-01,0.25
2002-06-01,0.43
2002-07-01,0.32
2002-08-01,0
2002-09-01,0.41
2002-10-01,0.21
2002-11-01,0.19
2002-12-01,0.32
2003-01-01,0.55
2003-02-01,0.29
2003-03-01,0.01
2003-04-01,0.2
2003-05-01,0.32
2003-06-01,0.35
2003-07-01,0.29
2003-08-01,0.26
2003-09-01,0.53
2003-10-01,0.43
2003-11-01,0.43
2003-12-01,0.45
2004-01-01,0.77
2004-02-01,1.09
2004-03-01,1.59
2004-04-01,1.75
2004-05-01,1.88
2004-06-01,1.94
2004-07-01,1.49
2004-08-01,1.36
2004-09-01,0.74
2004-10-01,0.88
2004-11-01,0.83
2004-12-01,0.56
2005-01-01,1
2005-02-01,1.15
2005-03-01,0.78
2005-04-01,0.72
2005-05-01,0.06
2005-06-01,0.46
2005-07-01,0.33
2005-08-01,0.1
2005-09-01,-1.74
2005-10-01,1.77
2005-11-01,2.98
2005-12-01,1.14
2006-01-01,-0.01
2006-02-01,0
2006-03-01,0.96
2006-04-01,1.04
2006-05-01,1.14
2006-06-01,1.27
2006-07-01,0.98
2006-08-01,1.24
2006-09-01,0.76
2006-10-01,0.52
2006-11-01,0.99
2006-12-01,1.73
2007-01-01,1.55
2007-02-01,0.95
2007-03-01,1.19
2007-04-01,0.69
2007-05-01,0.81
2007-06-01,-0.04
2007-07-01,-0.05
2007-08-01,0.65
2007-09-01,0.26
2007-10-01,0.39
2007-11-01,0.45
2007-12-01,0.83
2008-01-01,0.75
2008-02-01,0.56
2008-03-01,0.52
2008-04-01,0.77
2008-05-01,0.41
2008-06-01,0.21
2008-07-01,0.15
2008-08-01,-0.14
2008-09-01,0.47
2008-10-01,0.19
2008-11-01,-0.13
2008-12-01,-0.95
2009-01-01,-1.12
2009-02-01,-0.77
2009-03-01,-1.17
2009-04-01,-0.55
2009-05-01,0.37
2009-06-01,-0.17
2009-07-01,-0.04
2009-08-01,0.23
2009-09-01,0.44
2009-10-01,0.71
2009-11-01,0.51
2009-12-01,0.55
2010-01-01,0.28
2010-02-01,0.19
2010-03-01,1.08
2010-04-01,0.65
2010-05-01,0.64
2010-06-01,0.56
2010-07-01,0.6
2010-08-01,0.57
2010-09-01,0.05
2010-10-01,-0.04
2010-11-01,0.79
2010-12-01,0.61
2011-01-01,0.62
2011-02-01,0.84
2011-03-01,0.88
2011-04-01,0.75
2011-05-01,0.53
2011-06-01,0.57
2011-07-01,0.37
2011-08-01,0.3
2011-09-01,0.18
2011-10-01,0.02
2011-11-01,0.12
2011-12-01,-0.12
2012-01-01,0.21
2012-02-01,0.05
2012-03-01,0.22
2012-04-01,0.4
2012-05-01,0.23
2012-06-01,0.21
2012-07-01,0.17
2012-08-01,0.11
2012-09-01,0.48
2012-10-01,0.34
2012-11-01,0.35
2012-12-01,0.32
2013-01-01,0.53
2013-02-01,0.38
2013-03-01,0.31
2013-04-01,0.39
2013-05-01,0.05
2013-06-01,0.38
2013-07-01,0.4
2013-08-01,0.29
2013-09-01,0.41
2013-10-01,0.13
2013-11-01,0.08
2013-12-01,0.01
2014-01-01,0.41
2014-02-01,0.54
2014-03-01,0.44
2014-04-01,0.64
2014-05-01,0.39
2014-06-01,0.39
2014-07-01,0.55
2014-08-01,0.45
2014-09-01,0.35
2014-10-01,0.47
2014-11-01,0.44
2014-12-01,0.71
2015-01-01,0.5
2015-02-01,0.65
2015-03-01,0.5
2015-04-01,0.44
2015-05-01,0.5
2015-06-01,0.05
2015-07-01,0.23
2015-08-01,0
2015-09-01,-0.05
2015-10-01,0
2015-11-01,-0.04
2015-12-01,0
2016-01-01,-0.02
2016-02-01,-0.11
2016-03-01,0.07
2016-04-01,-0.06
2016-05-01,0.45
2016-06-01,0.4
2016-07-01,0.45
2016-08-01,0.33
2016-09-01,0.95
2016-10-01,0.7
2016-11-01,0.49
2016-12-01,0.46
2017-01-01,0.63
2017-02-01,0.68
2017-03-01,0.39
2017-04-01,0.61
2017-05-01,0.86
2017-06-01,0.81
2017-07-01,0.9
2017-08-01,1.11
2017-09-01,1.55
2017-10-01,1.31
2017-11-01,0.98
2017-12-01,0.94
2018-01-01,1.19
2018-02-01,1.3
2018-03-01,1.6
2018-04-01,1.58
2018-05-01,1.83
2018-06-01,2.43
2018-07-01,1.6
2018-08-01,1.89
2018-09-01,1.75
2018-10-01,1.81
2018-11-01,1.35
2018-12-01,1.04
2019-01-01,1.23
2019-02-01,1.2
2019-03-01,1
2019-04-01,1.04
2019-05-01,0.73
2019-06-01,0.48
2019-07-01,0.91
2019-08-01,0.82
2019-09-01,0.48
2019-10-01,0.4
2019-11-01,0.96
2019-12-01,0.85
2020-01-01,0.82
2020-02-01,1.27
