"Date","DESLIND"
1982-01-01,-0.29
1982-02-01,1.44
1982-03-01,2.53
1982-04-01,1.96
1982-05-01,0.96
1982-06-01,1.62
1982-07-01,1.94
1982-08-01,1.79
1982-09-01,2.09
1982-10-01,1.92
1982-11-01,1.37
1982-12-01,1.68
1983-01-01,2.03
1983-02-01,1.14
1983-03-01,1.22
1983-04-01,1.92
1983-05-01,1.74
1983-06-01,2.35
1983-07-01,1.98
1983-08-01,2.3
1983-09-01,1.77
1983-10-01,2.86
1983-11-01,3.26
1983-12-01,2.54
1984-01-01,3.15
1984-02-01,3.3
1984-03-01,2
1984-04-01,1.83
1984-05-01,0.96
1984-06-01,0.96
1984-07-01,1.01
1984-08-01,2.02
1984-09-01,1.03
1984-10-01,2.27
1984-11-01,2.44
1984-12-01,2.26
1985-01-01,2.36
1985-02-01,2.17
1985-03-01,2.53
1985-04-01,2.21
1985-05-01,2.64
1985-06-01,2.2
1985-07-01,2.94
1985-08-01,1.76
1985-09-01,3.06
1985-10-01,1.72
1985-11-01,1.33
1985-12-01,0.72
1986-01-01,1.06
1986-02-01,0.2
1986-03-01,0.5
1986-04-01,1.19
1986-05-01,1.73
1986-06-01,2.89
1986-07-01,3
1986-08-01,3.69
1986-09-01,3.21
1986-10-01,3.33
1986-11-01,2.35
1986-12-01,2.47
1987-01-01,2.03
1987-02-01,0.79
1987-03-01,1.56
1987-04-01,1.18
1987-05-01,1.31
1987-06-01,1.94
1987-07-01,1.63
1987-08-01,1.55
1987-09-01,1.3
1987-10-01,0.89
1987-11-01,0.81
1987-12-01,1.54
1988-01-01,1.17
1988-02-01,2.36
1988-03-01,2.21
1988-04-01,1.6
1988-05-01,0.89
1988-06-01,1.57
1988-07-01,1
1988-08-01,0.05
1988-09-01,0.56
1988-10-01,1.48
1988-11-01,2.34
1988-12-01,1.83
1989-01-01,1.91
1989-02-01,1.41
1989-03-01,0.14
1989-04-01,-0.22
1989-05-01,0.03
1989-06-01,-0.39
1989-07-01,-0.41
1989-08-01,1.73
1989-09-01,1.64
1989-10-01,0.77
1989-11-01,1.3
1989-12-01,0.86
1990-01-01,0.79
1990-02-01,0.85
1990-03-01,1.05
1990-04-01,0.63
1990-05-01,1.48
1990-06-01,0.49
1990-07-01,-0.62
1990-08-01,-0.83
1990-09-01,-7.3
1990-10-01,-5.44
1990-11-01,-0.9
1990-12-01,1.68
1991-01-01,2.03
1991-02-01,0.99
1991-03-01,1.72
1991-04-01,1.66
1991-05-01,2.71
1991-06-01,2.69
1991-07-01,2.45
1991-08-01,2.4
1991-09-01,2.14
1991-10-01,2.28
1991-11-01,1.88
1991-12-01,1.2
1992-01-01,0.96
1992-02-01,0.95
1992-03-01,1.3
1992-04-01,1.68
1992-05-01,1.64
1992-06-01,1.2
1992-07-01,2.09
1992-08-01,2.44
1992-09-01,1.92
1992-10-01,1.68
1992-11-01,2.53
1992-12-01,2.72
1993-01-01,2.23
1993-02-01,1.5
1993-03-01,0.96
1993-04-01,1.52
1993-05-01,0.97
1993-06-01,0.59
1993-07-01,0.91
1993-08-01,0.86
1993-09-01,1.6
1993-10-01,0.62
1993-11-01,0.5
1993-12-01,1.56
1994-01-01,1.4
1994-02-01,1.25
1994-03-01,1.97
1994-04-01,2.26
1994-05-01,2.55
1994-06-01,2.74
1994-07-01,2.67
1994-08-01,2.5
1994-09-01,2.37
1994-10-01,2.02
1994-11-01,2.45
1994-12-01,2.17
1995-01-01,1.19
1995-02-01,0.78
1995-03-01,0.99
1995-04-01,0.25
1995-05-01,0.34
1995-06-01,0.05
1995-07-01,1.05
1995-08-01,1.02
1995-09-01,1.15
1995-10-01,0.08
1995-11-01,0.27
1995-12-01,-0.1
1996-01-01,-0.22
1996-02-01,1.78
1996-03-01,1.39
1996-04-01,1.69
1996-05-01,1.07
1996-06-01,1.38
1996-07-01,0.23
1996-08-01,0.36
1996-09-01,0.72
1996-10-01,1.42
1996-11-01,2.33
1996-12-01,2.59
1997-01-01,3.12
1997-02-01,3.45
1997-03-01,2.84
1997-04-01,1.63
1997-05-01,1.59
1997-06-01,1.81
1997-07-01,1.8
1997-08-01,1.8
1997-09-01,1.97
1997-10-01,1.92
1997-11-01,1.26
1997-12-01,1.07
1998-01-01,0.26
1998-02-01,0.05
1998-03-01,1.1
1998-04-01,0.54
1998-05-01,1.18
1998-06-01,1.32
1998-07-01,1.96
1998-08-01,1.77
1998-09-01,1.87
1998-10-01,2.01
1998-11-01,2.02
1998-12-01,2.03
1999-01-01,1.02
1999-02-01,0.94
1999-03-01,1.17
1999-04-01,0.66
1999-05-01,0.93
1999-06-01,1.17
1999-07-01,1.1
1999-08-01,1.18
1999-09-01,0.36
1999-10-01,1.21
1999-11-01,1.31
1999-12-01,1.21
2000-01-01,0.77
2000-02-01,0.66
2000-03-01,0.99
2000-04-01,0.31
2000-05-01,0.54
2000-06-01,0.82
2000-07-01,0.88
2000-08-01,1.04
2000-09-01,0.27
2000-10-01,1.22
2000-11-01,1.17
2000-12-01,1.06
2001-01-01,1.45
2001-02-01,1.99
2001-03-01,2.12
2001-04-01,1.92
2001-05-01,1.69
2001-06-01,1.16
2001-07-01,0.6
2001-08-01,1.11
2001-09-01,0.28
2001-10-01,0.28
2001-11-01,0.48
2001-12-01,0.3
2002-01-01,0.08
2002-02-01,0.61
2002-03-01,0.7
2002-04-01,1.83
2002-05-01,1.92
2002-06-01,1.65
2002-07-01,2.08
2002-08-01,1.82
2002-09-01,2.07
2002-10-01,1.14
2002-11-01,0.33
2002-12-01,0.42
2003-01-01,0.2
2003-02-01,0.4
2003-03-01,1.26
2003-04-01,1.1
2003-05-01,1.61
2003-06-01,1.55
2003-07-01,1.38
2003-08-01,2.01
2003-09-01,2.64
2003-10-01,2.15
2003-11-01,2.12
2003-12-01,2.04
2004-01-01,1.57
2004-02-01,1.57
2004-03-01,1.24
2004-04-01,0.65
2004-05-01,1.53
2004-06-01,0.93
2004-07-01,1.27
2004-08-01,0.88
2004-09-01,1.16
2004-10-01,1.84
2004-11-01,1.44
2004-12-01,1.99
2005-01-01,1.41
2005-02-01,1.46
2005-03-01,0.86
2005-04-01,1.47
2005-05-01,0.54
2005-06-01,0.25
2005-07-01,1.14
2005-08-01,0.92
2005-09-01,1.23
2005-10-01,1.04
2005-11-01,2.08
2005-12-01,1.92
2006-01-01,1.9
2006-02-01,2.11
2006-03-01,1.72
2006-04-01,1.36
2006-05-01,0.99
2006-06-01,0.56
2006-07-01,0.68
2006-08-01,1.44
2006-09-01,1.19
2006-10-01,1.43
2006-11-01,1.01
2006-12-01,0.82
2007-01-01,0.83
2007-02-01,0.64
2007-03-01,1.19
2007-04-01,1.01
2007-05-01,1.23
2007-06-01,0.92
2007-07-01,1.59
2007-08-01,0.42
2007-09-01,0.57
2007-10-01,0.22
2007-11-01,0.21
2007-12-01,0.28
2008-01-01,0.34
2008-02-01,0.26
2008-03-01,0.26
2008-04-01,0.58
2008-05-01,-0.43
2008-06-01,-0.99
2008-07-01,-0.98
2008-08-01,-0.79
2008-09-01,-1.72
2008-10-01,-1.62
2008-11-01,-1.41
2008-12-01,-1.31
2009-01-01,-1.83
2009-02-01,-1.26
2009-03-01,-0.69
2009-04-01,0.14
2009-05-01,0.7
2009-06-01,0.68
2009-07-01,1.19
2009-08-01,1.6
2009-09-01,1.37
2009-10-01,1.46
2009-11-01,0.82
2009-12-01,1.08
2010-01-01,0.78
2010-02-01,1.62
2010-03-01,2.01
2010-04-01,2.19
2010-05-01,2.34
2010-06-01,1.86
2010-07-01,1.62
2010-08-01,1.7
2010-09-01,1.17
2010-10-01,1.63
2010-11-01,2.04
2010-12-01,2.13
2011-01-01,1.94
2011-02-01,2.04
2011-03-01,2.19
2011-04-01,2.14
2011-05-01,1.8
2011-06-01,1.27
2011-07-01,1.13
2011-08-01,2.12
2011-09-01,1.58
2011-10-01,1.68
2011-11-01,2.07
2011-12-01,1.38
2012-01-01,1.84
2012-02-01,1.41
2012-03-01,1.17
2012-04-01,0.56
2012-05-01,1.1
2012-06-01,1.38
2012-07-01,1.34
2012-08-01,0.62
2012-09-01,0.92
2012-10-01,1.49
