"Date","FII30"
2010-02-01,2.16
2010-03-01,2.15
2010-04-01,2.05
2010-05-01,1.83
2010-06-01,1.77
2010-07-01,1.87
2010-08-01,1.76
2010-09-01,1.66
2010-10-01,1.44
2010-11-01,1.61
2010-12-01,1.89
2011-01-01,1.97
2011-02-01,2.13
2011-03-01,1.89
2011-04-01,1.79
2011-05-01,1.77
2011-06-01,1.78
2011-07-01,1.62
2011-08-01,1.1
2011-09-01,1.02
2011-10-01,0.99
2011-11-01,0.78
2011-12-01,0.78
2012-01-01,0.74
2012-02-01,0.72
2012-03-01,0.87
2012-04-01,0.79
2012-05-01,0.68
2012-06-01,0.5
2012-07-01,0.39
2012-08-01,0.47
2012-09-01,0.44
2012-10-01,0.41
2012-11-01,0.35
2012-12-01,0.33
2013-01-01,0.48
2013-02-01,0.57
2013-03-01,0.62
2013-04-01,0.48
2013-05-01,0.72
2013-06-01,1.21
2013-07-01,1.34
2013-08-01,1.44
2013-09-01,1.5
2013-10-01,1.37
2013-11-01,1.51
2013-12-01,1.61
2014-01-01,1.44
2014-02-01,1.4
2014-03-01,1.33
2014-04-01,1.23
2014-05-01,1.08
2014-06-01,1.11
2014-07-01,0.98
2014-08-01,0.9
2014-09-01,1.05
2014-10-01,0.96
2014-11-01,0.99
2014-12-01,0.89
2015-01-01,0.66
2015-02-01,0.73
2015-03-01,0.73
2015-04-01,0.65
2015-05-01,0.96
2015-06-01,1.13
2015-07-01,1.11
2015-08-01,1.08
2015-09-01,1.24
2015-10-01,1.22
2015-11-01,1.25
2015-12-01,1.26
2016-01-01,1.26
2016-02-01,1.09
2016-03-01,0.99
2016-04-01,0.86
2016-05-01,0.86
2016-06-01,0.82
2016-07-01,0.61
2016-08-01,0.62
2016-09-01,0.64
2016-10-01,0.69
2016-11-01,0.86
2016-12-01,1.04
2017-01-01,0.92
2017-02-01,0.93
2017-03-01,0.99
2017-04-01,0.91
2017-05-01,0.99
2017-06-01,0.93
2017-07-01,1.01
2017-08-01,0.93
2017-09-01,0.87
2017-10-01,0.94
2017-11-01,0.87
2017-12-01,0.8
2018-01-01,0.8
2018-02-01,0.99
2018-03-01,0.99
2018-04-01,0.93
2018-05-01,0.98
2018-06-01,0.93
2018-07-01,0.88
2018-08-01,0.92
2018-09-01,1
2018-10-01,1.21
2018-11-01,1.3
2018-12-01,1.19
2019-01-01,1.19
2019-02-01,1.1
2019-03-01,1.02
2019-04-01,0.97
2019-05-01,0.92
2019-06-01,0.79
2019-07-01,0.77
2019-08-01,0.49
2019-09-01,0.51
2019-10-01,0.55
2019-11-01,0.54
2019-12-01,0.52
2020-01-01,0.43
2020-02-01,0.29
2020-03-01,0.16
2020-04-01,-0.12
2020-05-01,-0.08
2020-06-01,-0.06
2020-07-01,-0.29
2020-08-01,-0.35
2020-09-01,-0.34
2020-10-01,-0.29
2020-11-01,-0.26
2020-12-01,-0.33
2021-01-01,-0.28
2021-02-01,-0.1
2021-03-01,0.11
2021-04-01,0.05
2021-05-01,-0.01
2021-06-01,-0.13
2021-07-01,-0.29
2021-08-01,-0.31
2021-09-01,-0.3
2021-10-01,-0.29
2021-11-01,-0.44
2021-12-01,-0.42
2022-01-01,-0.14
2022-02-01,0.07
2022-03-01,-0.08
2022-04-01,0.26
2022-05-01,0.6
2022-06-01,0.78
2022-07-01,0.89
2022-08-01,0.84
2022-09-01,1.29
2022-10-01,1.71
2022-11-01,1.6
2022-12-01,1.4
2023-01-01,1.42
2023-02-01,1.51
2023-03-01,1.51
2023-04-01,1.45
2023-05-01,1.6
2023-06-01,1.64
2023-07-01,1.69
2023-08-01,1.97
2023-09-01,2.13
2023-10-01,2.48
2023-11-01,2.26
