"Date","SCSLIND"
1982-01-01,-1.98
1982-02-01,-0.74
1982-03-01,-0.24
1982-04-01,1.01
1982-05-01,-0.41
1982-06-01,0.43
1982-07-01,0.75
1982-08-01,1.34
1982-09-01,0.71
1982-10-01,1.49
1982-11-01,2.01
1982-12-01,1.97
1983-01-01,2.78
1983-02-01,4.4
1983-03-01,5.21
1983-04-01,6.16
1983-05-01,5.77
1983-06-01,5.51
1983-07-01,6.27
1983-08-01,4.78
1983-09-01,3.62
1983-10-01,2.95
1983-11-01,3.23
1983-12-01,3.61
1984-01-01,4.15
1984-02-01,3.92
1984-03-01,3
1984-04-01,1.96
1984-05-01,1.66
1984-06-01,1.84
1984-07-01,0.72
1984-08-01,0.66
1984-09-01,0.76
1984-10-01,1.6
1984-11-01,1.87
1984-12-01,1.9
1985-01-01,2.36
1985-02-01,1.18
1985-03-01,0.74
1985-04-01,0.29
1985-05-01,-0.65
1985-06-01,0.1
1985-07-01,0.84
1985-08-01,2.85
1985-09-01,3.38
1985-10-01,2.14
1985-11-01,3.06
1985-12-01,2.92
1986-01-01,1.62
1986-02-01,1.23
1986-03-01,1.38
1986-04-01,2.37
1986-05-01,2.53
1986-06-01,2.29
1986-07-01,2.4
1986-08-01,2.18
1986-09-01,1.14
1986-10-01,1.78
1986-11-01,0.58
1986-12-01,1.33
1987-01-01,2
1987-02-01,1.84
1987-03-01,2.2
1987-04-01,3.38
1987-05-01,3.64
1987-06-01,3.4
1987-07-01,2.72
1987-08-01,1.99
1987-09-01,1.49
1987-10-01,1.56
1987-11-01,1.05
1987-12-01,1.2
1988-01-01,1.28
1988-02-01,2.45
1988-03-01,1.67
1988-04-01,2.03
1988-05-01,1.59
1988-06-01,2.26
1988-07-01,2.21
1988-08-01,1.71
1988-09-01,2.22
1988-10-01,1.72
1988-11-01,2.32
1988-12-01,2.51
1989-01-01,2.59
1989-02-01,1.84
1989-03-01,0.42
1989-04-01,0.74
1989-05-01,0.5
1989-06-01,-0.06
1989-07-01,-0.16
1989-08-01,-0.49
1989-09-01,0.03
1989-10-01,1.06
1989-11-01,2.48
1989-12-01,2.76
1990-01-01,2.81
1990-02-01,2.16
1990-03-01,1.95
1990-04-01,1.14
1990-05-01,0.52
1990-06-01,0.71
1990-07-01,0.18
1990-08-01,0.67
1990-09-01,0.79
1990-10-01,0.45
1990-11-01,0
1990-12-01,-0.79
1991-01-01,-0.96
1991-02-01,-0.4
1991-03-01,0.51
1991-04-01,0.77
1991-05-01,1.8
1991-06-01,1.23
1991-07-01,1.92
1991-08-01,1.48
1991-09-01,1.22
1991-10-01,0.93
1991-11-01,0.62
1991-12-01,0.4
1992-01-01,0.97
1992-02-01,1.73
1992-03-01,1.82
1992-04-01,2.55
1992-05-01,1.84
1992-06-01,1.17
1992-07-01,1.25
1992-08-01,1.67
1992-09-01,1.62
1992-10-01,1.64
1992-11-01,0.79
1992-12-01,0.53
1993-01-01,0.39
1993-02-01,0.61
1993-03-01,0.83
1993-04-01,1.42
1993-05-01,1.03
1993-06-01,2.15
1993-07-01,2.04
1993-08-01,2.79
1993-09-01,2.81
1993-10-01,2.28
1993-11-01,2.34
1993-12-01,1.64
1994-01-01,2.14
1994-02-01,2.06
1994-03-01,2.6
1994-04-01,2.43
1994-05-01,2.95
1994-06-01,3.69
1994-07-01,3.04
1994-08-01,2.08
1994-09-01,2.68
1994-10-01,2.26
1994-11-01,2.66
1994-12-01,3.21
1995-01-01,3.14
1995-02-01,1.87
1995-03-01,0.88
1995-04-01,1.14
1995-05-01,1.36
1995-06-01,0.52
1995-07-01,0.25
1995-08-01,0.8
1995-09-01,1.71
1995-10-01,1.01
1995-11-01,1.14
1995-12-01,0.95
1996-01-01,0.89
1996-02-01,1.15
1996-03-01,0.64
1996-04-01,0.79
1996-05-01,1.91
1996-06-01,1.7
1996-07-01,1.6
1996-08-01,1.82
1996-09-01,1.42
1996-10-01,1.34
1996-11-01,2.25
1996-12-01,1.94
1997-01-01,3.11
1997-02-01,3.37
1997-03-01,3.07
1997-04-01,2.95
1997-05-01,2
1997-06-01,2.26
1997-07-01,2.92
1997-08-01,2.88
1997-09-01,3
1997-10-01,3.03
1997-11-01,2.15
1997-12-01,2.02
1998-01-01,2.09
1998-02-01,1.73
1998-03-01,1.27
1998-04-01,0.9
1998-05-01,0.81
1998-06-01,0.69
1998-07-01,1.17
1998-08-01,0.87
1998-09-01,0.88
1998-10-01,1.58
1998-11-01,1.37
1998-12-01,1.58
1999-01-01,1.72
1999-02-01,1.03
1999-03-01,1.29
1999-04-01,1.63
1999-05-01,1.43
1999-06-01,0.5
1999-07-01,1.36
1999-08-01,0.77
1999-09-01,1.29
1999-10-01,1.81
1999-11-01,2.62
1999-12-01,3.38
2000-01-01,2.41
2000-02-01,1.51
2000-03-01,1.89
2000-04-01,2.08
2000-05-01,0.78
2000-06-01,1.1
2000-07-01,0.85
2000-08-01,1.2
2000-09-01,1.13
2000-10-01,1.68
2000-11-01,0.21
2000-12-01,-0.63
2001-01-01,-0.73
2001-02-01,-0.82
2001-03-01,-0.71
2001-04-01,-0.18
2001-05-01,-0.15
2001-06-01,0.51
2001-07-01,0.77
2001-08-01,0.29
2001-09-01,0.26
2001-10-01,-0.21
2001-11-01,1.1
2001-12-01,1.34
2002-01-01,1.72
2002-02-01,2.33
2002-03-01,2.16
2002-04-01,3.2
2002-05-01,1.93
2002-06-01,2.53
2002-07-01,1.59
2002-08-01,2.15
2002-09-01,0.42
2002-10-01,-0.69
2002-11-01,-0.57
2002-12-01,-0.25
2003-01-01,0.46
2003-02-01,1.21
2003-03-01,0.52
2003-04-01,0.38
2003-05-01,0.96
2003-06-01,1.51
2003-07-01,1.03
2003-08-01,1.62
2003-09-01,2.98
2003-10-01,2.27
2003-11-01,2.04
2003-12-01,1.9
2004-01-01,2.06
2004-02-01,1.45
2004-03-01,1.55
2004-04-01,1.02
2004-05-01,1.97
2004-06-01,1.88
2004-07-01,2.43
2004-08-01,1.85
2004-09-01,1.65
2004-10-01,1.43
2004-11-01,1.76
2004-12-01,1.55
2005-01-01,1.82
2005-02-01,1.45
