"Date","KYSLIND"
1982-01-01,-0.63
1982-02-01,0.81
1982-03-01,-0.55
1982-04-01,0.01
1982-05-01,-0.51
1982-06-01,-0.59
1982-07-01,-0.71
1982-08-01,0.01
1982-09-01,-1.67
1982-10-01,-2.7
1982-11-01,-2.22
1982-12-01,-0.91
1983-01-01,0.59
1983-02-01,1.95
1983-03-01,2
1983-04-01,2.94
1983-05-01,1.61
1983-06-01,2.83
1983-07-01,3.55
1983-08-01,4.58
1983-09-01,7.07
1983-10-01,5.48
1983-11-01,5.97
1983-12-01,4.59
1984-01-01,3.3
1984-02-01,1.18
1984-03-01,1.32
1984-04-01,1.65
1984-05-01,0.51
1984-06-01,1.35
1984-07-01,4.13
1984-08-01,4.09
1984-09-01,3.56
1984-10-01,1.66
1984-11-01,0.62
1984-12-01,1.1
1985-01-01,0.39
1985-02-01,-0.97
1985-03-01,-0.56
1985-04-01,-0.3
1985-05-01,-1.33
1985-06-01,-0.82
1985-07-01,-0.01
1985-08-01,0.28
1985-09-01,0.35
1985-10-01,0.13
1985-11-01,1.39
1985-12-01,0.9
1986-01-01,1.15
1986-02-01,2.83
1986-03-01,3.13
1986-04-01,2.73
1986-05-01,2.04
1986-06-01,1.56
1986-07-01,0.4
1986-08-01,0.65
1986-09-01,-0.67
1986-10-01,-1.02
1986-11-01,0.47
1986-12-01,1.75
1987-01-01,1.76
1987-02-01,2.27
1987-03-01,3.67
1987-04-01,3.95
1987-05-01,5.13
1987-06-01,3.88
1987-07-01,3.16
1987-08-01,3.21
1987-09-01,1.13
1987-10-01,1.6
1987-11-01,1.07
1987-12-01,1.59
1988-01-01,0.91
1988-02-01,1.3
1988-03-01,1.11
1988-04-01,2.65
1988-05-01,1.59
1988-06-01,3.07
1988-07-01,1.74
1988-08-01,1.89
1988-09-01,2.55
1988-10-01,3.65
1988-11-01,4.13
1988-12-01,2.02
1989-01-01,2.97
1989-02-01,3.65
1989-03-01,2.34
1989-04-01,-0.39
1989-05-01,-0.83
1989-06-01,0.06
1989-07-01,2.01
1989-08-01,2.36
1989-09-01,1.78
1989-10-01,1.45
1989-11-01,1.59
1989-12-01,1.46
1990-01-01,1.99
1990-02-01,1.35
1990-03-01,0.25
1990-04-01,-0.46
1990-05-01,0.38
1990-06-01,-0.28
1990-07-01,0.65
1990-08-01,0.07
1990-09-01,-2
1990-10-01,-2.45
1990-11-01,-1.51
1990-12-01,-2.37
1991-01-01,-2.09
1991-02-01,-1.19
1991-03-01,-0.79
1991-04-01,1.88
1991-05-01,1.08
1991-06-01,2.45
1991-07-01,1.87
1991-08-01,2.28
1991-09-01,0.8
1991-10-01,0.78
1991-11-01,2.09
1991-12-01,2.68
1992-01-01,1.9
1992-02-01,1.91
1992-03-01,1.93
1992-04-01,0.22
1992-05-01,0.06
1992-06-01,-0.39
1992-07-01,0.96
1992-08-01,1.28
1992-09-01,1.74
1992-10-01,1.01
1992-11-01,2.44
1992-12-01,2.85
1993-01-01,1.76
1993-02-01,0.69
1993-03-01,0.34
1993-04-01,2.5
1993-05-01,1.69
1993-06-01,2.28
1993-07-01,4.1
1993-08-01,4.36
1993-09-01,3.67
1993-10-01,3.26
1993-11-01,0.67
1993-12-01,0.71
1994-01-01,0.42
1994-02-01,1.83
1994-03-01,3.24
1994-04-01,1.96
1994-05-01,1.99
1994-06-01,1.59
1994-07-01,1.76
1994-08-01,1.26
1994-09-01,1.45
1994-10-01,1.25
1994-11-01,3.03
1994-12-01,3.81
1995-01-01,1.52
1995-02-01,0.42
1995-03-01,-0.48
1995-04-01,-0.52
1995-05-01,-0.53
1995-06-01,-1.12
1995-07-01,0.65
1995-08-01,2.16
1995-09-01,1.55
1995-10-01,2.02
1995-11-01,0.74
1995-12-01,1.69
1996-01-01,0.48
1996-02-01,0.66
1996-03-01,0.66
1996-04-01,1.84
1996-05-01,1.11
1996-06-01,2.13
1996-07-01,1.25
1996-08-01,-0.88
1996-09-01,-1.27
1996-10-01,-1.96
1996-11-01,-2.92
1996-12-01,-0.43
1997-01-01,1.97
1997-02-01,3.82
1997-03-01,3.69
1997-04-01,4.02
1997-05-01,2.38
1997-06-01,1.82
1997-07-01,1.92
1997-08-01,1.97
1997-09-01,2.18
1997-10-01,3.65
1997-11-01,2.42
1997-12-01,3.28
1998-01-01,1.97
1998-02-01,0.04
1998-03-01,-0.34
1998-04-01,-0.63
1998-05-01,0.34
1998-06-01,-0.18
1998-07-01,0.48
1998-08-01,1.35
1998-09-01,2.22
1998-10-01,0.87
1998-11-01,0.24
1998-12-01,0.73
1999-01-01,0.57
1999-02-01,1.07
1999-03-01,1.03
1999-04-01,0.99
1999-05-01,0.68
1999-06-01,0.72
1999-07-01,0.71
1999-08-01,2.29
1999-09-01,2.75
1999-10-01,1.55
1999-11-01,2.18
1999-12-01,2.79
2000-01-01,1
2000-02-01,1.46
2000-03-01,1.43
2000-04-01,0.61
2000-05-01,0.61
2000-06-01,0.59
2000-07-01,0.84
2000-08-01,1.37
2000-09-01,-0.32
2000-10-01,0.51
2000-11-01,-0.11
2000-12-01,-0.4
2001-01-01,-0.67
2001-02-01,-0.64
2001-03-01,-1.03
2001-04-01,-0.74
2001-05-01,-0.69
2001-06-01,-0.28
2001-07-01,-1.47
2001-08-01,-0.63
2001-09-01,-1.3
2001-10-01,-1.47
2001-11-01,-0.12
2001-12-01,0.36
2002-01-01,2.01
2002-02-01,3.38
2002-03-01,3.2
2002-04-01,2.38
2002-05-01,1.13
2002-06-01,2.15
2002-07-01,1.51
2002-08-01,-0.5
2002-09-01,0.97
2002-10-01,0.5
2002-11-01,-0.58
2002-12-01,-0.69
2003-01-01,-0.17
2003-02-01,0.06
2003-03-01,0.25
2003-04-01,1.45
2003-05-01,0.48
2003-06-01,1.35
2003-07-01,1.31
2003-08-01,1.62
2003-09-01,2.71
2003-10-01,4.49
2003-11-01,2.8
2003-12-01,2.43
2004-01-01,2.37
2004-02-01,1.51
2004-03-01,2.78
2004-04-01,1.92
2004-05-01,2.58
2004-06-01,3.05
2004-07-01,2.9
2004-08-01,2.72
2004-09-01,1.3
2004-10-01,0.66
2004-11-01,0.67
2004-12-01,-0.52
2005-01-01,-0.85
2005-02-01,-1.14
2005-03-01,-0.27
2005-04-01,0.23
2005-05-01,0.16
2005-06-01,1.55
2005-07-01,1.79
2005-08-01,0.02
2005-09-01,1.08
2005-10-01,0.88
2005-11-01,1.45
2005-12-01,2.29
2006-01-01,1.84
2006-02-01,2.22
2006-03-01,2.64
2006-04-01,2.1
2006-05-01,0.71
2006-06-01,0.04
2006-07-01,0.42
2006-08-01,1.52
2006-09-01,1.26
2006-10-01,0.86
2006-11-01,2.07
2006-12-01,2.26
2007-01-01,2.29
2007-02-01,0.42
2007-03-01,1.23
2007-04-01,1.7
2007-05-01,0.5
2007-06-01,0.75
2007-07-01,-1.17
2007-08-01,-1.15
2007-09-01,0.76
2007-10-01,2.03
2007-11-01,1.68
2007-12-01,1.17
2008-01-01,1.02
2008-02-01,0.78
2008-03-01,-0.93
2008-04-01,-1.92
2008-05-01,-1.62
2008-06-01,-2.25
2008-07-01,-1.34
2008-08-01,-1.91
2008-09-01,-1.49
2008-10-01,-3.71
2008-11-01,-5.37
2008-12-01,-6.07
2009-01-01,-6.01
2009-02-01,-5.17
2009-03-01,-2.92
2009-04-01,-1.43
2009-05-01,1.61
2009-06-01,2.47
2009-07-01,3.11
2009-08-01,3.74
2009-09-01,2.36
2009-10-01,1.55
2009-11-01,1.09
2009-12-01,0.93
2010-01-01,0.73
2010-02-01,0.93
2010-03-01,3.54
2010-04-01,5.53
2010-05-01,3.3
2010-06-01,3.36
2010-07-01,2.17
2010-08-01,0.58
2010-09-01,-1.25
2010-10-01,0.24
2010-11-01,1.9
2010-12-01,1.49
2011-01-01,3.21
2011-02-01,3.59
2011-03-01,3.09
2011-04-01,1.38
2011-05-01,1.68
2011-06-01,1.46
2011-07-01,0.61
2011-08-01,2.23
2011-09-01,3.12
2011-10-01,3.52
2011-11-01,3.59
2011-12-01,4.27
2012-01-01,3.72
2012-02-01,2.59
2012-03-01,1.29
2012-04-01,-0.38
2012-05-01,0.05
2012-06-01,-0.63
2012-07-01,0.44
2012-08-01,0.8
2012-09-01,1.33
2012-10-01,2.43
2012-11-01,1.01
2012-12-01,0.78
2013-01-01,1.17
2013-02-01,0.86
2013-03-01,0.85
2013-04-01,0.83
2013-05-01,1.08
2013-06-01,0.46
2013-07-01,0.64
2013-08-01,1.08
2013-09-01,2.5
2013-10-01,2.86
2013-11-01,2.04
2013-12-01,2.21
2014-01-01,3.81
2014-02-01,3.09
2014-03-01,3.84
2014-04-01,4.1
2014-05-01,3.44
2014-06-01,4.18
2014-07-01,3.53
2014-08-01,2.89
2014-09-01,2.47
2014-10-01,3.02
2014-11-01,1.75
2014-12-01,1.86
2015-01-01,2.2
2015-02-01,0.76
2015-03-01,1
2015-04-01,0.98
2015-05-01,1.03
2015-06-01,1.82
2015-07-01,0.5
2015-08-01,0.69
2015-09-01,0.81
2015-10-01,0.89
2015-11-01,-0.33
2015-12-01,0.49
2016-01-01,1.16
2016-02-01,2.67
2016-03-01,1.33
2016-04-01,1.86
2016-05-01,2.72
2016-06-01,1.44
2016-07-01,0.87
2016-08-01,-0.51
2016-09-01,-0.07
2016-10-01,1.07
2016-11-01,0.16
2016-12-01,0.82
2017-01-01,1.17
2017-02-01,1.46
2017-03-01,1.36
2017-04-01,2.58
2017-05-01,1.38
2017-06-01,2.15
2017-07-01,2.71
2017-08-01,2.54
2017-09-01,2.89
2017-10-01,2.88
2017-11-01,1.52
2017-12-01,1.78
2018-01-01,2.15
2018-02-01,1.45
2018-03-01,0.96
2018-04-01,1.2
2018-05-01,0.09
2018-06-01,1.49
2018-07-01,1.93
2018-08-01,1.56
2018-09-01,2.78
2018-10-01,1.48
2018-11-01,1.01
2018-12-01,-0.04
2019-01-01,2.4
2019-02-01,1.03
2019-03-01,0.7
2019-04-01,-0.66
2019-05-01,0.35
2019-06-01,0.72
2019-07-01,1.31
2019-08-01,0.95
2019-09-01,0.84
2019-10-01,0.53
2019-11-01,0.32
2019-12-01,0.71
2020-01-01,1.22
2020-02-01,3.02
