"Date","ALSLIND"
1982-01-01,-3.01
1982-02-01,-1.46
1982-03-01,-1.21
1982-04-01,-0.56
1982-05-01,-1.15
1982-06-01,-1.26
1982-07-01,-1.85
1982-08-01,-2.27
1982-09-01,-1.06
1982-10-01,0.1
1982-11-01,0.74
1982-12-01,1.64
1983-01-01,3.93
1983-02-01,4.54
1983-03-01,5.29
1983-04-01,4.43
1983-05-01,3.68
1983-06-01,2.72
1983-07-01,3.03
1983-08-01,3.13
1983-09-01,3.53
1983-10-01,4.76
1983-11-01,4.59
1983-12-01,3.84
1984-01-01,4.02
1984-02-01,3.99
1984-03-01,3.61
1984-04-01,2.46
1984-05-01,1.45
1984-06-01,2.4
1984-07-01,2.36
1984-08-01,1.86
1984-09-01,2.71
1984-10-01,2.9
1984-11-01,2.77
1984-12-01,2
1985-01-01,1.26
1985-02-01,3.24
1985-03-01,3.15
1985-04-01,2.45
1985-05-01,2.78
1985-06-01,2.58
1985-07-01,2.07
1985-08-01,0.65
1985-09-01,1.41
1985-10-01,0.92
1985-11-01,0.42
1985-12-01,-0.57
1986-01-01,-1.74
1986-02-01,-1.97
1986-03-01,-1.03
1986-04-01,0.31
1986-05-01,1.8
1986-06-01,2.68
1986-07-01,2.35
1986-08-01,1.52
1986-09-01,1.73
1986-10-01,0.87
1986-11-01,1.45
1986-12-01,2.11
1987-01-01,2.89
1987-02-01,3.36
1987-03-01,3.38
1987-04-01,3.24
1987-05-01,3.03
1987-06-01,2.15
1987-07-01,2.44
1987-08-01,1.85
1987-09-01,1.16
1987-10-01,1.79
1987-11-01,1.6
1987-12-01,2.39
1988-01-01,2.03
1988-02-01,3.5
1988-03-01,1.51
1988-04-01,1.44
1988-05-01,1.49
1988-06-01,2.01
1988-07-01,0.89
1988-08-01,0.25
1988-09-01,0.64
1988-10-01,0.79
1988-11-01,1.46
1988-12-01,1.05
1989-01-01,2.51
1989-02-01,1.97
1989-03-01,0.62
1989-04-01,0.38
1989-05-01,0.62
1989-06-01,-0.4
1989-07-01,0.25
1989-08-01,1.91
1989-09-01,1.8
1989-10-01,1.28
1989-11-01,1.37
1989-12-01,0.98
1990-01-01,0.68
1990-02-01,0.19
1990-03-01,0.28
1990-04-01,0.74
1990-05-01,1.18
1990-06-01,1.04
1990-07-01,-0.46
1990-08-01,0.17
1990-09-01,-0.33
1990-10-01,-1.39
1990-11-01,-0.07
1990-12-01,-0.06
1991-01-01,-0.38
1991-02-01,0.09
1991-03-01,0.2
1991-04-01,0.72
1991-05-01,1.07
1991-06-01,2.07
1991-07-01,2.49
1991-08-01,1.64
1991-09-01,1
1991-10-01,0.99
1991-11-01,-0.11
1991-12-01,-0.02
1992-01-01,0.6
1992-02-01,0.61
1992-03-01,0.56
1992-04-01,1.32
1992-05-01,2
1992-06-01,1.47
1992-07-01,2.2
1992-08-01,1.52
1992-09-01,1.78
1992-10-01,2.37
1992-11-01,1.12
1992-12-01,1.19
1993-01-01,0.5
1993-02-01,1.18
1993-03-01,1.55
1993-04-01,0.44
1993-05-01,1.13
1993-06-01,1.24
1993-07-01,2.2
1993-08-01,2.5
1993-09-01,3.15
1993-10-01,2.5
1993-11-01,1.96
1993-12-01,1.95
1994-01-01,2.07
1994-02-01,3.07
1994-03-01,2.43
1994-04-01,3.1
1994-05-01,3.4
1994-06-01,2.11
1994-07-01,1.51
1994-08-01,1.6
1994-09-01,1.4
1994-10-01,1.15
1994-11-01,1.72
1994-12-01,2.11
1995-01-01,1.28
1995-02-01,0.9
1995-03-01,1.46
1995-04-01,0.6
1995-05-01,0.9
1995-06-01,0.42
1995-07-01,1.48
1995-08-01,1.62
1995-09-01,2.7
1995-10-01,2.22
1995-11-01,2.45
1995-12-01,1.96
1996-01-01,1.4
1996-02-01,0.59
1996-03-01,0.35
1996-04-01,0.77
1996-05-01,1.81
1996-06-01,1.8
1996-07-01,1.8
1996-08-01,1.6
1996-09-01,0.65
1996-10-01,-0.14
1996-11-01,-0.26
1996-12-01,0.99
1997-01-01,0.42
1997-02-01,1.72
1997-03-01,2.43
1997-04-01,1.02
1997-05-01,0.75
1997-06-01,0.82
1997-07-01,1.26
1997-08-01,1.93
1997-09-01,2.28
1997-10-01,1.97
1997-11-01,2.66
1997-12-01,2.92
1998-01-01,1.48
1998-02-01,1.37
1998-03-01,1.06
1998-04-01,0.04
1998-05-01,0.74
1998-06-01,0.67
1998-07-01,-0.05
1998-08-01,1.18
1998-09-01,1.36
1998-10-01,0.83
1998-11-01,0.87
1998-12-01,1.13
1999-01-01,0.97
1999-02-01,-0.08
1999-03-01,0.85
1999-04-01,0.29
1999-05-01,0.01
1999-06-01,0.93
1999-07-01,1.55
1999-08-01,1.23
1999-09-01,1.39
1999-10-01,1.28
1999-11-01,1.22
1999-12-01,1.21
2000-01-01,1.83
2000-02-01,1.37
2000-03-01,1.66
2000-04-01,0.81
2000-05-01,1.88
2000-06-01,0.94
2000-07-01,0.42
2000-08-01,0.7
2000-09-01,0.59
2000-10-01,0
2000-11-01,0.19
2000-12-01,0.58
2001-01-01,-0.02
2001-02-01,0.4
2001-03-01,0.82
2001-04-01,0.73
2001-05-01,-0.2
2001-06-01,0.72
2001-07-01,0.05
2001-08-01,-0.66
2001-09-01,-2
2001-10-01,-1.03
2001-11-01,-0.29
2001-12-01,-0.36
2002-01-01,0.58
2002-02-01,1.96
2002-03-01,2.84
2002-04-01,1.8
2002-05-01,1.93
2002-06-01,1.53
2002-07-01,2.01
2002-08-01,1.05
2002-09-01,1.11
2002-10-01,1.35
2002-11-01,1.17
2002-12-01,1.17
2003-01-01,1.07
2003-02-01,1.31
2003-03-01,0.44
2003-04-01,-0.08
2003-05-01,0.22
2003-06-01,1.17
2003-07-01,0.88
2003-08-01,1.15
2003-09-01,2.66
2003-10-01,1.94
2003-11-01,2.23
2003-12-01,1.71
2004-01-01,1.44
2004-02-01,1.57
2004-03-01,3.24
2004-04-01,2.36
2004-05-01,2.64
2004-06-01,2.4
2004-07-01,2.95
2004-08-01,2.99
2004-09-01,1.26
2004-10-01,1.93
2004-11-01,2.66
2004-12-01,3.53
2005-01-01,2.11
2005-02-01,2.59
2005-03-01,2.03
2005-04-01,2.67
2005-05-01,1.73
2005-06-01,0.96
2005-07-01,0.61
2005-08-01,1.5
2005-09-01,1.08
2005-10-01,1.14
2005-11-01,2.3
2005-12-01,1.89
2006-01-01,2.14
2006-02-01,1.37
2006-03-01,0.95
2006-04-01,0.72
2006-05-01,0.68
2006-06-01,0.97
2006-07-01,0.62
2006-08-01,1.11
2006-09-01,0.75
2006-10-01,1.5
2006-11-01,0.84
2006-12-01,1.59
2007-01-01,1.12
2007-02-01,1.21
2007-03-01,0.91
2007-04-01,0.28
2007-05-01,0.52
2007-06-01,0.32
