"","id","realtime_start","realtime_end","title","observation_start","observation_end","frequency","frequency_short","units","units_short","seasonal_adjustment","seasonal_adjustment_short","last_updated","popularity","group_popularity","notes"
"1","FEDFUNDS","2023-12-17","2023-12-17","Federal Funds Effective Rate","1954-07-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 15:25:02-06",98,100,"Averages of daily figures. 

For additional historical federal funds rate data, please see  Daily Federal Funds Rate from 1928-1954 (https://fred.stlouisfed.org/categories/33951).

The federal funds rate is the interest rate at which depository institutions trade federal funds (balances held at Federal Reserve Banks) with each other overnight. When a depository institution has surplus balances in its reserve account, it lends to other banks in need of larger balances. In simpler terms, a bank with excess cash, which is often referred to as liquidity, will lend to another bank that needs to quickly raise liquidity. (1) The rate that the borrowing institution pays to the lending institution is determined between the two banks; the weighted average rate for all of these types of negotiations is called the effective federal funds rate.(2) The effective federal funds rate is essentially determined by the market but is influenced by the Federal Reserve through open market operations to reach the federal funds rate target.(2)
The Federal Open Market Committee (FOMC) meets eight times a year to determine the federal funds target rate. As previously stated, this rate influences the effective federal funds rate through open market operations or by buying and selling of government bonds (government debt).(2) More specifically, the Federal Reserve decreases liquidity by selling government bonds, thereby raising the federal funds rate because banks have less liquidity to trade with other banks. Similarly, the Federal Reserve can increase liquidity by buying government bonds, decreasing the federal funds rate because banks have excess liquidity for trade. Whether the Federal Reserve wants to buy or sell bonds depends on the state of the economy. If the FOMC believes the economy is growing too fast and inflation pressures are inconsistent with the dual mandate of the Federal Reserve, the Committee may set a higher federal funds rate target to temper economic activity. In the opposing scenario, the FOMC may set a lower federal funds rate target to spur greater economic activity. Therefore, the FOMC must observe the current state of the economy to determine the best course of monetary policy that will maximize economic growth while adhering to the dual mandate set forth by Congress. In making its monetary policy decisions, the FOMC considers a wealth of economic data, such as: trends in prices and wages, employment, consumer spending and income, business investments, and foreign exchange markets.
The federal funds rate is the central interest rate in the U.S. financial market. It influences other interest rates such as the prime rate, which is the rate banks charge their customers with higher credit ratings. Additionally, the federal funds rate indirectly influences longer- term interest rates such as mortgages, loans, and savings, all of which are very important to consumer wealth and confidence.(2)
References
(1) Federal Reserve Bank of New York. ""Federal funds."" Fedpoints, August 2007.
(2) Board of Governors of the Federal Reserve System. ""Monetary Policy (https://www.federalreserve.gov/monetarypolicy.htm)""."
"2","REAINTRATREARAT10Y","2023-12-17","2023-12-17","10-Year Real Interest Rate","1982-01-01","2023-12-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-13 15:18:01-06",81,81,"The Federal Reserve Bank of Cleveland estimates the expected rate of inflation over the next 30 years along with the inflation risk premium, the real risk premium, and the real interest rate.

Their estimates are calculated with a model that uses Treasury yields, inflation data, inflation swaps, and survey-based measures of inflation expectations.

For more information, please visit the <a href=""https://www.clevelandfed.org/indicators-and-data/inflation-expectations#background"">Federal Reserve Bank of Cleveland<a/>."
"3","AAA","2023-12-17","2023-12-17","Moody's Seasoned Aaa Corporate Bond Yield","1919-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 10:16:02-06",79,82,"These instruments are based on bonds with maturities 20 years and above. 

© 2017, Moody’s Corporation, Moody’s Investors Service, Inc., Moody’s Analytics, Inc. and/or their licensors and affiliates (collectively, “Moody’s”).  All rights reserved. Moody’s ratings and other information (“Moody’s Information”) are proprietary to Moody’s and/or its licensors and are protected by copyright and other intellectual property laws.  Moody’s Information is licensed to Client by Moody’s.  MOODY’S INFORMATION MAY NOT BE COPIED OR OTHERWISE REPRODUCED, REPACKAGED, FURTHER TRANSMITTED, TRANSFERRED, DISSEMINATED, REDISTRIBUTED OR RESOLD, OR STORED FOR SUBSEQUENT USE FOR ANY SUCH PURPOSE, IN WHOLE OR IN PART, IN ANY FORM OR MANNER OR BY ANY MEANS WHATSOEVER, BY ANY PERSON WITHOUT MOODY’S PRIOR WRITTEN CONSENT."
"4","TB3MS","2023-12-17","2023-12-17","3-Month Treasury Bill Secondary Market Rate, Discount Basis","1934-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 15:25:11-06",76,82,"Averages of Business Days, Discount Basis"
"5","INTDSRUSM193N","2023-12-17","2023-12-17","Interest Rates, Discount Rate for United States","1950-01-01","2021-08-01","Monthly","M","Percent per Annum","% per Annum","Not Seasonally Adjusted","NSA","2021-10-04 07:09:01-05",72,71,"Notes regarding this series can be found in International Financial Statistics Yearbooks produced by the International Monetary Fund (IMF). We have requested these publications from the IMF. Notes on this series will populate once they become available.

Copyright © 2016, International Monetary Fund. Reprinted with permission. Complete terms of use and contact details are available from the IMF (http://www.imf.org/external/terms.htm)."
"6","GS10","2023-12-17","2023-12-17","Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis","1953-04-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 15:25:13-06",70,93,"Averages of business days. For further information regarding treasury constant maturity data, please refer to the H.15 Statistical Release notes (https://www.federalreserve.gov/releases/h15/default.htm) and the Treasury Yield Curve Methodology (https://home.treasury.gov/policy-issues/financing-the-government/interest-rate-statistics/treasury-yield-curve-methodology)."
"7","IRLTLT01USM156N","2023-12-17","2023-12-17","Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States","1960-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-12 14:48:02-06",69,70,"OECD Descriptor ID: IRLTLT01
OECD unit ID: PC
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
"8","BAA","2023-12-17","2023-12-17","Moody's Seasoned Baa Corporate Bond Yield","1919-01-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-01 10:16:14-06",67,78,"These instruments are based on bonds with maturities 20 years and above. 

© 2017, Moody’s Corporation, Moody’s Investors Service, Inc., Moody’s Analytics, Inc. and/or their licensors and affiliates (collectively, “Moody’s”).  All rights reserved. Moody’s ratings and other information (“Moody’s Information”) are proprietary to Moody’s and/or its licensors and are protected by copyright and other intellectual property laws.  Moody’s Information is licensed to Client by Moody’s.  MOODY’S INFORMATION MAY NOT BE COPIED OR OTHERWISE REPRODUCED, REPACKAGED, FURTHER TRANSMITTED, TRANSFERRED, DISSEMINATED, REDISTRIBUTED OR RESOLD, OR STORED FOR SUBSEQUENT USE FOR ANY SUCH PURPOSE, IN WHOLE OR IN PART, IN ANY FORM OR MANNER OR BY ANY MEANS WHATSOEVER, BY ANY PERSON WITHOUT MOODY’S PRIOR WRITTEN CONSENT."
"9","SNDR","2023-12-17","2023-12-17","National Deposit Rates: Savings","2021-04-01","2023-11-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-11-20 13:01:04-06",67,67,"On December 15, 2020, the FDIC Board of Directors approved a Final Rule (https://www.fdic.gov/news/board/2020/2020-12-15-notice-dis-a-fr.pdf) making certain revisions to the interest rate restrictions applicable to less than well capitalized institutions (as defined in Section 38 of the Federal Deposit Insurance Act), which are effective on April 1, 2021. The interest rate restrictions generally limit a less than well capitalized institution from soliciting deposits by offering rates that significantly exceed rates in its prevailing market.

The Final Rule redefined the ""national rate"" as the average of rates paid by all insured depository institutions and credit unions for which data is available, with rates weighted by each institution's share of domestic deposits. The ""national rate cap"" is calculated as the higher of: (1) the national rate plus 75 basis points; or (2) 120 percent of the current yield on similar maturity U.S. Treasury obligations plus 75 basis points. The national rate cap for non-maturity deposits is the higher of the national rate plus 75 basis points or the federal funds rate plus 75 basis points.

A less than well capitalized institution may use the ""local rate cap"" in place of the national rate cap for deposits gathered from within the institution's local market area. The Final Rule redefined the ""local rate cap"" for a particular deposit product as 90 percent of the highest rate offered on the deposit product by an institution or credit union accepting deposits at a physical location within the institution's local market area.

In accordance with Section 337.7(d), an insured depository institution that seeks to pay a rate of interest up to its local market rate cap shall provide notice and evidence of the highest rate paid on a particular deposit product in the institution's local market areas to the appropriate FDIC regional director. The institution shall update its evidence and calculations for existing and new accounts monthly unless otherwise instructed by the appropriate FDIC regional director, and retain such information available for at least the two most recent examination cycles and, upon the FDIC's request, provide the documentation to the appropriate FDIC regional office and to examination staff during any subsequent examinations."
"10","TERMCBCCALLNS","2023-12-17","2023-12-17","Commercial Bank Interest Rate on Credit Card Plans, All Accounts","1994-11-01","2023-08-01","Monthly","M","Percent","%","Not Seasonally Adjusted","NSA","2023-12-07 14:02:02-06",67,67,"For further information, please refer to the Board of Governors of the Federal Reserve System's G.19 release, online at http://www.federalreserve.gov/releases/g19/."
