"Date","MASLIND"
1982-01-01,-1.48
1982-02-01,-1.09
1982-03-01,-0.6
1982-04-01,0.01
1982-05-01,0.39
1982-06-01,0.59
1982-07-01,1.59
1982-08-01,1.93
1982-09-01,2.39
1982-10-01,2.48
1982-11-01,2.44
1982-12-01,3.02
1983-01-01,2.79
1983-02-01,3.28
1983-03-01,4.45
1983-04-01,4.4
1983-05-01,4.79
1983-06-01,4.95
1983-07-01,4.69
1983-08-01,4.31
1983-09-01,4.26
1983-10-01,4.37
1983-11-01,3.93
1983-12-01,4.16
1984-01-01,4.52
1984-02-01,4.76
1984-03-01,4.68
1984-04-01,4.67
1984-05-01,4.74
1984-06-01,4.86
1984-07-01,3.75
1984-08-01,3.04
1984-09-01,2.63
1984-10-01,2.7
1984-11-01,2.87
1984-12-01,3.06
1985-01-01,2.54
1985-02-01,2.85
1985-03-01,2.49
1985-04-01,2.22
1985-05-01,1.61
1985-06-01,1.81
1985-07-01,1.59
1985-08-01,2.53
1985-09-01,2.32
1985-10-01,2
1985-11-01,1.69
1985-12-01,1.36
1986-01-01,1.62
1986-02-01,1.43
1986-03-01,1.42
1986-04-01,1.61
1986-05-01,0.72
1986-06-01,0.9
1986-07-01,1.28
1986-08-01,1.62
1986-09-01,2.55
1986-10-01,2.26
1986-11-01,2.56
1986-12-01,2.6
1987-01-01,2.22
1987-02-01,2.3
1987-03-01,2.8
1987-04-01,3.16
1987-05-01,3.31
1987-06-01,3.22
1987-07-01,3.12
1987-08-01,3.04
1987-09-01,2.12
1987-10-01,1.84
1987-11-01,1.26
1987-12-01,0.58
1988-01-01,0.31
1988-02-01,0.65
1988-03-01,0.63
1988-04-01,0.77
1988-05-01,1.16
1988-06-01,1.22
1988-07-01,1.4
1988-08-01,0.35
1988-09-01,0.35
1988-10-01,0.02
1988-11-01,0.48
1988-12-01,0.08
1989-01-01,0.21
1989-02-01,-0.36
1989-03-01,-0.94
1989-04-01,-1.09
1989-05-01,-1.27
1989-06-01,-1.09
1989-07-01,-1.88
1989-08-01,-1.99
1989-09-01,-2.17
1989-10-01,-1.78
1989-11-01,-0.82
1989-12-01,-0.89
1990-01-01,-1.44
1990-02-01,-1.53
1990-03-01,-1.96
1990-04-01,-1.87
1990-05-01,-2.08
1990-06-01,-2.04
1990-07-01,-2.09
1990-08-01,-2.89
1990-09-01,-3.38
1990-10-01,-3.19
1990-11-01,-3.2
1990-12-01,-3.31
1991-01-01,-3.51
1991-02-01,-2.61
1991-03-01,-1.83
1991-04-01,-1.38
1991-05-01,-0.58
1991-06-01,0.09
1991-07-01,1.05
1991-08-01,1.02
1991-09-01,2.01
1991-10-01,2.25
1991-11-01,2.84
1991-12-01,2.25
1992-01-01,2.76
1992-02-01,2.42
