"Date","CPIEAPPAREL"
1982-12-01,100
1983-01-01,98.5
1983-02-01,99
1983-03-01,100.3
1983-04-01,100.9
1983-05-01,101.2
1983-06-01,101.1
1983-07-01,100.7
1983-08-01,102.2
1983-09-01,104
1983-10-01,104
1983-11-01,103.9
1983-12-01,103.2
1984-01-01,101.5
1984-02-01,101.4
1984-03-01,103.3
1984-04-01,103.5
1984-05-01,103.3
1984-06-01,102.5
1984-07-01,101.7
1984-08-01,103.7
1984-09-01,106
1984-10-01,106.7
1984-11-01,106.3
1984-12-01,105.3
1985-01-01,103.4
1985-02-01,104.3
1985-03-01,106.4
1985-04-01,106.9
1985-05-01,106.5
1985-06-01,106
1985-07-01,104.8
1985-08-01,106.2
1985-09-01,108.7
1985-10-01,109.5
1985-11-01,109.6
1985-12-01,108.4
1986-01-01,106
1986-02-01,105.7
1986-03-01,107
1986-04-01,107.5
1986-05-01,106.8
1986-06-01,105.7
1986-07-01,105.2
1986-08-01,107.3
1986-09-01,110
1986-10-01,110.5
1986-11-01,110.4
1986-12-01,109.1
1987-01-01,107.1
1987-02-01,107.8
1987-03-01,111.5
1987-04-01,113.5
1987-05-01,113
1987-06-01,110.9
1987-07-01,108.4
1987-08-01,111.1
1987-09-01,115.5
1987-10-01,117.6
1987-11-01,117.8
1987-12-01,114.3
1988-01-01,111.9
1988-02-01,112
1988-03-01,116.3
1988-04-01,119.6
1988-05-01,118.9
1988-06-01,116.8
1988-07-01,114.6
1988-08-01,114.8
1988-09-01,120.1
1988-10-01,123.3
1988-11-01,122.4
1988-12-01,120
1989-01-01,117
1989-02-01,117.2
1989-03-01,122
1989-04-01,124.2
1989-05-01,123.2
1989-06-01,120.2
1989-07-01,117.4
1989-08-01,116.9
1989-09-01,117.1
1989-10-01,120.5
1989-11-01,120.1
1989-12-01,116.6
1990-01-01,114
1990-02-01,118
1990-03-01,123
1990-04-01,124.3
1990-05-01,123.4
1990-06-01,121
1990-07-01,118.5
1990-08-01,120
1990-09-01,123.9
1990-10-01,126
1990-11-01,124.8
1990-12-01,122.4
1991-01-01,121.5
1991-02-01,124.5
1991-03-01,127.1
1991-04-01,128.1
1991-05-01,127.7
1991-06-01,125
1991-07-01,123.5
1991-08-01,125.6
1991-09-01,129.1
1991-10-01,129.8
1991-11-01,129.6
1991-12-01,126.5
1992-01-01,125.1
1992-02-01,127.8
1992-03-01,130.5
1992-04-01,130.7
1992-05-01,130.7
1992-06-01,130.2
1992-07-01,128.3
1992-08-01,128.9
1992-09-01,131.9
1992-10-01,135
1992-11-01,134.6
1992-12-01,131.2
1993-01-01,129.7
1993-02-01,133.3
1993-03-01,135.9
1993-04-01,137.1
1993-05-01,135.4
1993-06-01,131.5
1993-07-01,129.3
1993-08-01,132.7
1993-09-01,135.4
1993-10-01,136.1
1993-11-01,136.1
1993-12-01,133.2
1994-01-01,131.4
1994-02-01,132.5
1994-03-01,135.5
1994-04-01,136.3
1994-05-01,135.3
1994-06-01,133.1
1994-07-01,130.9
1994-08-01,130.1
1994-09-01,133.5
1994-10-01,135.3
1994-11-01,134
1994-12-01,130.3
1995-01-01,129.1
1995-02-01,130.5
1995-03-01,133.2
1995-04-01,134.2
1995-05-01,133
1995-06-01,129.4
1995-07-01,127.9
1995-08-01,130.3
1995-09-01,133.1
1995-10-01,134.8
1995-11-01,134.4
1995-12-01,130.5
1996-01-01,129.2
1996-02-01,129.7
1996-03-01,133.1
1996-04-01,133.4
1996-05-01,132.5
1996-06-01,129.2
1996-07-01,127.2
1996-08-01,127.2
1996-09-01,130.6
1996-10-01,133.6
1996-11-01,132.9
1996-12-01,129.6
1997-01-01,128.2
1997-02-01,130.3
1997-03-01,132.7
1997-04-01,134.5
1997-05-01,133.7
1997-06-01,130.3
1997-07-01,128.5
1997-08-01,129.2
1997-09-01,132.6
1997-10-01,135.3
1997-11-01,135.2
1997-12-01,131.6
1998-01-01,129.4
1998-02-01,132.1
1998-03-01,135.4
1998-04-01,136.1
1998-05-01,135.8
1998-06-01,132.9
1998-07-01,129.6
1998-08-01,131.9
1998-09-01,134.1
1998-10-01,136
1998-11-01,135.3
1998-12-01,130.7
1999-01-01,127.4
1999-02-01,129.6
1999-03-01,133.1
1999-04-01,135.7
1999-05-01,134.7
1999-06-01,130.9
1999-07-01,127
1999-08-01,127.4
1999-09-01,131.9
1999-10-01,134.7
1999-11-01,133.5
1999-12-01,129.6
2000-01-01,126.2
2000-02-01,128.6
2000-03-01,132.1
2000-04-01,133.1
2000-05-01,132
2000-06-01,127.8
2000-07-01,124
2000-08-01,125.3
2000-09-01,131.1
2000-10-01,133.3
2000-11-01,132
2000-12-01,127.5
2001-01-01,125.1
2001-02-01,128
2001-03-01,132
2001-04-01,131.7
2001-05-01,129.5
2001-06-01,126
2001-07-01,122.3
2001-08-01,122.6
2001-09-01,126.7
2001-10-01,129.5
2001-11-01,127.9
2001-12-01,123.5
2002-01-01,121.2
2002-02-01,123.9
2002-03-01,128.7
2002-04-01,128.9
2002-05-01,126.9
2002-06-01,122.9
2002-07-01,118.6
2002-08-01,121.6
2002-09-01,125.9
2002-10-01,128.2
2002-11-01,126.6
2002-12-01,121.5
2003-01-01,118.6
2003-02-01,120.9
2003-03-01,123
2003-04-01,123.9
2003-05-01,122.1
2003-06-01,119.7
2003-07-01,115.7
2003-08-01,117.9
2003-09-01,121.9
2003-10-01,125.4
2003-11-01,123.7
2003-12-01,119
2004-01-01,115.2
2004-02-01,118
2004-03-01,123.6
2004-04-01,124.6
2004-05-01,123.6
2004-06-01,120.1
2004-07-01,115.4
2004-08-01,116.2
