"Date","MTSLIND"
1982-01-01,-3.24
1982-02-01,-2.19
1982-03-01,-2.34
1982-04-01,-1.44
1982-05-01,-0.47
1982-06-01,-0.51
1982-07-01,-0.04
1982-08-01,-0.17
1982-09-01,0.39
1982-10-01,0.06
1982-11-01,0.83
1982-12-01,1.14
1983-01-01,0.92
1983-02-01,1.14
1983-03-01,0.92
1983-04-01,0.96
1983-05-01,0.85
1983-06-01,1.96
1983-07-01,1.79
1983-08-01,1.94
1983-09-01,1.76
1983-10-01,2.55
1983-11-01,2.67
1983-12-01,3.12
1984-01-01,3.17
1984-02-01,3.61
1984-03-01,2.19
1984-04-01,1.9
1984-05-01,1.26
1984-06-01,1.09
1984-07-01,1.96
1984-08-01,2.6
1984-09-01,2.88
1984-10-01,1.24
1984-11-01,1.36
1984-12-01,0.09
1985-01-01,0.01
1985-02-01,-0.32
1985-03-01,-0.64
1985-04-01,0.35
1985-05-01,0.95
1985-06-01,0.87
1985-07-01,0.75
1985-08-01,0.96
1985-09-01,0.02
1985-10-01,-0.6
1985-11-01,0.27
1985-12-01,0.24
1986-01-01,0.55
1986-02-01,-0.15
1986-03-01,0.44
1986-04-01,0.55
1986-05-01,0.57
1986-06-01,1.19
1986-07-01,1.01
1986-08-01,0.72
1986-09-01,0.32
1986-10-01,0.74
1986-11-01,0.67
1986-12-01,1.8
1987-01-01,2.13
1987-02-01,2.34
1987-03-01,2.05
1987-04-01,2.04
1987-05-01,1.25
1987-06-01,0.25
1987-07-01,0.59
1987-08-01,1.04
1987-09-01,0.1
1987-10-01,1.32
1987-11-01,1.56
1987-12-01,2.28
1988-01-01,3.06
1988-02-01,3.06
1988-03-01,1.74
1988-04-01,1.78
1988-05-01,2.14
1988-06-01,2.76
1988-07-01,2.54
1988-08-01,3.65
1988-09-01,4.18
1988-10-01,3.27
1988-11-01,2.85
1988-12-01,2.37
1989-01-01,2.11
1989-02-01,1.3
1989-03-01,1
1989-04-01,0.92
1989-05-01,0.9
1989-06-01,1.95
1989-07-01,1.53
1989-08-01,0.71
1989-09-01,1.38
1989-10-01,1.11
1989-11-01,1.71
1989-12-01,2.2
1990-01-01,1.9
1990-02-01,0.81
1990-03-01,-0.2
1990-04-01,0.26
1990-05-01,-1.75
1990-06-01,-1.44
1990-07-01,-0.96
1990-08-01,-1.35
1990-09-01,-1.48
1990-10-01,-0.55
1990-11-01,-1.14
1990-12-01,-1.23
1991-01-01,-1.05
1991-02-01,-0.58
1991-03-01,-0.86
1991-04-01,0.26
1991-05-01,1.8
1991-06-01,2.09
1991-07-01,2.11
1991-08-01,1.66
1991-09-01,1.41
1991-10-01,0.32
1991-11-01,0.64
1991-12-01,1.27
1992-01-01,1.55
1992-02-01,1.26
1992-03-01,2.02
1992-04-01,1.89
1992-05-01,1.65
1992-06-01,1.54
1992-07-01,1.19
1992-08-01,1.01
1992-09-01,1.81
1992-10-01,2.47
1992-11-01,2.12
1992-12-01,2.12
1993-01-01,2.46
1993-02-01,2.81
1993-03-01,2.13
1993-04-01,2.45
1993-05-01,1.84
1993-06-01,2.58
1993-07-01,1.52
1993-08-01,2.36
1993-09-01,2.34
1993-10-01,2.83
1993-11-01,3.28
1993-12-01,3.43
1994-01-01,2.79
1994-02-01,2.57
1994-03-01,1.5
1994-04-01,2.2
1994-05-01,2.93
1994-06-01,2.07
