"Date","NMSLIND"
1982-01-01,-1.67
1982-02-01,-2.46
1982-03-01,-2.14
1982-04-01,-2.52
1982-05-01,-2.44
1982-06-01,-1.54
1982-07-01,-1.37
1982-08-01,-0.61
1982-09-01,-0.41
1982-10-01,0.23
1982-11-01,-0.41
1982-12-01,-0.02
1983-01-01,0.31
1983-02-01,1.15
1983-03-01,1.78
1983-04-01,2.83
1983-05-01,3.84
1983-06-01,3.2
1983-07-01,4.21
1983-08-01,3.71
1983-09-01,4.3
1983-10-01,4.06
1983-11-01,3.92
1983-12-01,3.33
1984-01-01,4
1984-02-01,4
1984-03-01,4.22
1984-04-01,3.8
1984-05-01,2.26
1984-06-01,1.16
1984-07-01,0.03
1984-08-01,0.09
1984-09-01,-0.46
1984-10-01,-0.65
1984-11-01,0.18
1984-12-01,1.54
1985-01-01,0.92
1985-02-01,1.09
1985-03-01,1.12
1985-04-01,1.02
1985-05-01,0.74
1985-06-01,1.23
1985-07-01,1.94
1985-08-01,1.83
1985-09-01,1.5
1985-10-01,1.19
1985-11-01,1
1985-12-01,0.18
1986-01-01,-0.85
1986-02-01,-1.04
1986-03-01,-1.27
1986-04-01,-1.04
1986-05-01,-0.92
1986-06-01,0
1986-07-01,0.56
1986-08-01,1.62
1986-09-01,1.47
1986-10-01,2
1986-11-01,1.66
1986-12-01,2.38
1987-01-01,2.58
1987-02-01,2.42
1987-03-01,2.93
1987-04-01,2.52
1987-05-01,3.07
1987-06-01,2.39
1987-07-01,2.54
1987-08-01,2.4
1987-09-01,2.18
1987-10-01,1.85
1987-11-01,2.2
1987-12-01,2.2
1988-01-01,2.38
1988-02-01,2.29
1988-03-01,2.06
1988-04-01,2.08
1988-05-01,2.06
1988-06-01,3.2
1988-07-01,2.8
1988-08-01,1.9
1988-09-01,1.68
1988-10-01,2.78
1988-11-01,2.09
1988-12-01,2.42
1989-01-01,2.24
1989-02-01,2.46
1989-03-01,1.68
1989-04-01,2.05
1989-05-01,1.79
1989-06-01,0.69
1989-07-01,0.82
1989-08-01,0.8
1989-09-01,1.44
