"Date","MNSLIND"
1982-01-01,-1.11
1982-02-01,-0.65
1982-03-01,-1.13
1982-04-01,-1.55
1982-05-01,-1.58
1982-06-01,-1.48
1982-07-01,-1.62
1982-08-01,-1.1
1982-09-01,-0.15
1982-10-01,0.12
1982-11-01,0.73
1982-12-01,1.85
1983-01-01,2
1983-02-01,2.46
1983-03-01,2.76
1983-04-01,3.37
1983-05-01,3.07
1983-06-01,3.88
1983-07-01,3.98
1983-08-01,3.27
1983-09-01,3.36
1983-10-01,3.84
1983-11-01,3.15
1983-12-01,2.17
1984-01-01,3.59
1984-02-01,3.3
1984-03-01,2.97
1984-04-01,3.6
1984-05-01,2.67
1984-06-01,2.44
1984-07-01,2.97
1984-08-01,2.73
1984-09-01,1.74
1984-10-01,1.68
1984-11-01,1.66
1984-12-01,1.07
1985-01-01,1.19
1985-02-01,1.52
1985-03-01,1.42
1985-04-01,1.48
1985-05-01,1.75
1985-06-01,1.69
1985-07-01,1.03
1985-08-01,0.9
1985-09-01,1.49
1985-10-01,1.63
1985-11-01,1.59
1985-12-01,1.33
1986-01-01,2.19
1986-02-01,1.82
1986-03-01,2.14
1986-04-01,2.3
1986-05-01,2.39
1986-06-01,2.96
1986-07-01,2.53
1986-08-01,2.22
1986-09-01,2.05
1986-10-01,1.61
1986-11-01,1.28
1986-12-01,1.45
1987-01-01,1.2
1987-02-01,1.59
1987-03-01,1.54
1987-04-01,1.54
1987-05-01,1.46
1987-06-01,2.13
1987-07-01,2.06
1987-08-01,2.22
1987-09-01,2.46
1987-10-01,2.75
1987-11-01,3.52
1987-12-01,3.63
1988-01-01,2.64
1988-02-01,2.44
1988-03-01,2.29
1988-04-01,1.98
1988-05-01,0.89
1988-06-01,1.89
1988-07-01,1.72
1988-08-01,1.56
1988-09-01,1.38
1988-10-01,1.5
1988-11-01,1.48
1988-12-01,2.11
1989-01-01,1.64
1989-02-01,1.23
1989-03-01,1.07
1989-04-01,1.02
1989-05-01,0.34
1989-06-01,0.52
1989-07-01,0.19
1989-08-01,0.58
1989-09-01,0.93
1989-10-01,1.1
1989-11-01,0.34
1989-12-01,-0.05
1990-01-01,1.25
1990-02-01,1.16
1990-03-01,1.04
1990-04-01,0.84
1990-05-01,0.91
1990-06-01,0.57
1990-07-01,0.78
1990-08-01,0.55
1990-09-01,0.16
1990-10-01,-0.04
1990-11-01,0.29
1990-12-01,0.69
1991-01-01,0.45
1991-02-01,0.62
1991-03-01,0.33
1991-04-01,1.02
1991-05-01,1.98
1991-06-01,1.9
1991-07-01,2.03
1991-08-01,1.74
1991-09-01,1.51
1991-10-01,1.46
1991-11-01,1.18
