"Date","INSLIND"
1982-01-01,-1.03
1982-02-01,-0.4
1982-03-01,-0.04
1982-04-01,1.24
1982-05-01,0.88
1982-06-01,0.26
1982-07-01,0.1
1982-08-01,0.02
1982-09-01,0.32
1982-10-01,-0.3
1982-11-01,0.63
1982-12-01,1.33
1983-01-01,1.82
1983-02-01,2.57
1983-03-01,2.46
1983-04-01,2.54
1983-05-01,2.2
1983-06-01,2.53
1983-07-01,3.08
1983-08-01,2.48
1983-09-01,3.25
1983-10-01,2.57
1983-11-01,3.77
1983-12-01,3.01
1984-01-01,3.24
1984-02-01,3.06
1984-03-01,2.8
1984-04-01,2.88
1984-05-01,2.19
1984-06-01,2.26
1984-07-01,1.55
1984-08-01,1.59
1984-09-01,1.27
1984-10-01,0.88
1984-11-01,0.75
1984-12-01,1.09
1985-01-01,1.72
1985-02-01,1.77
1985-03-01,2.29
1985-04-01,2.11
1985-05-01,2.44
1985-06-01,2.07
1985-07-01,2.09
1985-08-01,2.28
1985-09-01,2.35
1985-10-01,2.68
1985-11-01,1.79
1985-12-01,1.85
1986-01-01,1.82
1986-02-01,1.09
1986-03-01,0.99
1986-04-01,1.26
1986-05-01,1.45
1986-06-01,1.41
1986-07-01,2.17
1986-08-01,2.12
1986-09-01,1.58
1986-10-01,1.47
1986-11-01,1.66
1986-12-01,1.79
1987-01-01,1.58
1987-02-01,1.56
1987-03-01,1.57
1987-04-01,2.15
1987-05-01,1.99
1987-06-01,2.14
1987-07-01,2.02
1987-08-01,2.3
1987-09-01,2.6
1987-10-01,2.43
1987-11-01,2.71
1987-12-01,2.48
1988-01-01,1.87
1988-02-01,1.86
1988-03-01,1.55
1988-04-01,1.45
1988-05-01,1.34
1988-06-01,1.92
1988-07-01,1.46
1988-08-01,1.43
1988-09-01,1.24
1988-10-01,2.07
1988-11-01,2.15
1988-12-01,2.4
1989-01-01,2.28
1989-02-01,2.35
1989-03-01,1.93
1989-04-01,1.72
1989-05-01,0.68
1989-06-01,0.5
1989-07-01,0.13
1989-08-01,0.36
1989-09-01,-0.13
1989-10-01,0.2
1989-11-01,0.6
1989-12-01,0.9
1990-01-01,1.57
1990-02-01,1.09
1990-03-01,1.59
1990-04-01,0.91
1990-05-01,0.83
1990-06-01,1.75
1990-07-01,1.34
1990-08-01,0.98
1990-09-01,0.4
1990-10-01,-0.39
1990-11-01,-0.68
1990-12-01,-0.58
1991-01-01,-0.48
1991-02-01,-0.77
1991-03-01,-0.35
1991-04-01,1.19
1991-05-01,1.87
1991-06-01,2.57
1991-07-01,2.48
1991-08-01,1.8
1991-09-01,1.12
1991-10-01,1.14
1991-11-01,0.59
1991-12-01,0.68
1992-01-01,0.7
1992-02-01,1.06
1992-03-01,0.8
1992-04-01,0.81
1992-05-01,1.4
1992-06-01,1.44
1992-07-01,1.11
1992-08-01,1.86
1992-09-01,1.66
1992-10-01,2.51
1992-11-01,2.13
1992-12-01,2.19
1993-01-01,2.48
1993-02-01,1.85
1993-03-01,1.13
1993-04-01,1.21
1993-05-01,1.49
1993-06-01,1.65
1993-07-01,5.59
1993-08-01,3.8
1993-09-01,1.57
1993-10-01,1.14
1993-11-01,1.02
1993-12-01,0.98
1994-01-01,1.13
1994-02-01,1.54
1994-03-01,2.05
1994-04-01,1.18
1994-05-01,1.63
1994-06-01,1.64
1994-07-01,1.53
1994-08-01,1.68
1994-09-01,1.97
1994-10-01,1.6
1994-11-01,2.22
1994-12-01,2.06
1995-01-01,1.57
1995-02-01,0.7
1995-03-01,0.86
1995-04-01,0.44
1995-05-01,0.62
1995-06-01,0.62
1995-07-01,0.8
1995-08-01,1.56
1995-09-01,1.59
1995-10-01,1.15
1995-11-01,0.89
1995-12-01,1
1996-01-01,0.95
1996-02-01,0.84
1996-03-01,0.58
1996-04-01,1.23
1996-05-01,1.56
1996-06-01,2.08
1996-07-01,1.27
1996-08-01,1.83
1996-09-01,1.72
1996-10-01,1.93
1996-11-01,1.53
1996-12-01,1.06
1997-01-01,1.12
1997-02-01,1.22
1997-03-01,1.27
1997-04-01,1.02
1997-05-01,0.83
1997-06-01,0.88
1997-07-01,1.04
1997-08-01,0.76
1997-09-01,1.16
1997-10-01,1.28
1997-11-01,1.51
1997-12-01,1.61
1998-01-01,1.84
1998-02-01,1.65
1998-03-01,1.66
1998-04-01,1.39
1998-05-01,1.39
1998-06-01,0.54
1998-07-01,0.11
1998-08-01,0.61
1998-09-01,1.42
1998-10-01,1.27
1998-11-01,1.34
1998-12-01,1.75
1999-01-01,0.67
1999-02-01,1.37
1999-03-01,1.2
1999-04-01,1.23
1999-05-01,1.24
1999-06-01,0.61
1999-07-01,1.01
1999-08-01,0.48
1999-09-01,0.48
1999-10-01,1.15
1999-11-01,1.4
1999-12-01,1.5
2000-01-01,0.84
2000-02-01,0.55
2000-03-01,1.05
2000-04-01,1.14
2000-05-01,0.79
2000-06-01,0.46
2000-07-01,0.79
2000-08-01,1.12
2000-09-01,0.75
2000-10-01,0.33
2000-11-01,-0.29
2000-12-01,-0.56
2001-01-01,-0.9
2001-02-01,-0.26
2001-03-01,-0.02
2001-04-01,0.3
2001-05-01,0.22
2001-06-01,0.47
2001-07-01,-0.54
2001-08-01,-0.36
2001-09-01,-0.54
2001-10-01,-0.47
2001-11-01,-0.33
2001-12-01,-0.16
2002-01-01,0.81
2002-02-01,1.21
2002-03-01,1.01
2002-04-01,1.12
2002-05-01,1.49
2002-06-01,1.77
2002-07-01,2
2002-08-01,1.57
2002-09-01,1.59
2002-10-01,0.89
2002-11-01,0.92
2002-12-01,0.82
2003-01-01,1.07
2003-02-01,0.64
2003-03-01,0.23
2003-04-01,0.05
2003-05-01,0.24
2003-06-01,0.56
2003-07-01,0.98
2003-08-01,1.32
2003-09-01,1.61
2003-10-01,1.91
2003-11-01,1.78
2003-12-01,1.69
2004-01-01,1.45
2004-02-01,1.09
2004-03-01,1.06
2004-04-01,1.24
2004-05-01,1.45
2004-06-01,1.18
2004-07-01,1.11
2004-08-01,1.06
2004-09-01,0.81
2004-10-01,0.85
2004-11-01,0.81
2004-12-01,0.93
2005-01-01,0.34
2005-02-01,1.22
2005-03-01,1.18
2005-04-01,1.4
2005-05-01,0.95
2005-06-01,1.14
2005-07-01,0.84
2005-08-01,1
2005-09-01,1.11
2005-10-01,1.55
2005-11-01,1.15
2005-12-01,0.94
2006-01-01,1.25
2006-02-01,1.3
2006-03-01,0.9
2006-04-01,0.62
2006-05-01,-0.05
2006-06-01,0.66
2006-07-01,0.15
2006-08-01,0.72
2006-09-01,0.47
2006-10-01,0.95
2006-11-01,1.08
2006-12-01,1.46
2007-01-01,1.5
2007-02-01,0.75
2007-03-01,1.24
2007-04-01,0.92
2007-05-01,1.17
2007-06-01,0.76
2007-07-01,0.07
2007-08-01,0.45
2007-09-01,0.16
2007-10-01,0.51
2007-11-01,0.33
2007-12-01,0.43
2008-01-01,0.56
2008-02-01,0.48
2008-03-01,-0.23
2008-04-01,-0.1
2008-05-01,-0.27
2008-06-01,-0.01
2008-07-01,-0.44
2008-08-01,-0.91
2008-09-01,-1.03
2008-10-01,-1.66
2008-11-01,-2.46
2008-12-01,-2.88
2009-01-01,-3.57
2009-02-01,-2.79
2009-03-01,-2.46
2009-04-01,-1.4
2009-05-01,-0.29
2009-06-01,0.31
2009-07-01,1.05
2009-08-01,2
2009-09-01,1.53
2009-10-01,0.8
2009-11-01,1.07
2009-12-01,1.09
2010-01-01,0.93
2010-02-01,1.13
2010-03-01,1.88
2010-04-01,1.64
2010-05-01,2.18
2010-06-01,2.03
2010-07-01,1.64
2010-08-01,1.62
2010-09-01,1.2
2010-10-01,1.67
2010-11-01,2
2010-12-01,2.01
2011-01-01,1.93
2011-02-01,2.24
2011-03-01,2.12
2011-04-01,1.64
2011-05-01,0.93
2011-06-01,0.17
2011-07-01,1.02
2011-08-01,1.28
2011-09-01,1.64
2011-10-01,1.73
2011-11-01,1.88
2011-12-01,2.06
2012-01-01,2.29
2012-02-01,2.3
2012-03-01,1.86
2012-04-01,1.16
2012-05-01,1.18
2012-06-01,1.14
2012-07-01,0.9
2012-08-01,0.93
2012-09-01,1.25
2012-10-01,1.18
2012-11-01,0.74
2012-12-01,0.99
2013-01-01,1.13
2013-02-01,1.67
2013-03-01,1.57
2013-04-01,1.88
2013-05-01,1.34
2013-06-01,1.76
2013-07-01,1.76
2013-08-01,1.92
2013-09-01,2.22
2013-10-01,2.11
2013-11-01,2.5
2013-12-01,2.05
2014-01-01,0.94
2014-02-01,1.39
2014-03-01,1.86
2014-04-01,1.68
2014-05-01,1.77
2014-06-01,1.85
2014-07-01,1.65
2014-08-01,1.52
2014-09-01,1.22
2014-10-01,1.66
2014-11-01,1.73
2014-12-01,1.94
2015-01-01,1.59
2015-02-01,1.34
