"Date","CPF2M"
1997-01-01,5.31
1997-02-01,5.28
1997-03-01,5.42
1997-04-01,5.56
1997-05-01,5.56
1997-06-01,5.55
1997-07-01,5.51
1997-08-01,5.5
1997-09-01,5.51
1997-10-01,5.5
1997-11-01,5.65
1997-12-01,5.72
1998-01-01,5.46
1998-02-01,5.47
1998-03-01,5.51
1998-04-01,5.49
1998-05-01,5.5
1998-06-01,5.52
1998-07-01,5.51
1998-08-01,5.51
1998-09-01,5.38
1998-10-01,5.12
1998-11-01,5.19
1998-12-01,5.13
1999-01-01,4.81
1999-02-01,4.82
1999-03-01,4.83
1999-04-01,4.8
1999-05-01,4.82
1999-06-01,5
1999-07-01,5.1
1999-08-01,5.24
1999-09-01,5.31
1999-10-01,5.32
1999-11-01,5.85
1999-12-01,5.95
2000-01-01,5.72
2000-02-01,5.84
2000-03-01,5.98
2000-04-01,6.07
2000-05-01,6.5
2000-06-01,6.56
2000-07-01,6.51
2000-08-01,6.49
2000-09-01,6.48
2000-10-01,6.47
2000-11-01,6.54
2000-12-01,6.42
2001-01-01,5.62
2001-02-01,5.29
2001-03-01,4.93
2001-04-01,4.57
2001-05-01,4
2001-06-01,3.75
2001-07-01,3.66
2001-08-01,3.48
2001-09-01,2.87
2001-10-01,2.31
2001-11-01,2.02
2001-12-01,1.81
2002-01-01,1.71
2002-02-01,1.78
2002-03-01,1.82
2002-04-01,1.79
2002-05-01,1.77
2002-06-01,1.77
2002-07-01,1.75
2002-08-01,1.72
2002-09-01,1.74
2002-10-01,1.72
2002-11-01,1.37
2002-12-01,1.32
2003-01-01,1.27
2003-02-01,1.25
2003-03-01,1.22
2003-04-01,1.23
2003-05-01,1.22
2003-06-01,1.04
2003-07-01,1.03
2003-08-01,1.05
2003-09-01,1.05
2003-10-01,1.04
2003-11-01,1.06
2003-12-01,1.07
2004-01-01,1.02
2004-02-01,1.02
2004-03-01,1.02
2004-04-01,1.03
2004-05-01,1.08
2004-06-01,1.26
2004-07-01,1.41
2004-08-01,1.57
2004-09-01,1.74
2004-10-01,1.9
2004-11-01,2.13
2004-12-01,2.32
2005-01-01,2.46
2005-02-01,2.61
2005-03-01,2.81
2005-04-01,2.96
2005-05-01,3.08
2005-06-01,3.22
2005-07-01,3.41
2005-08-01,3.6
2005-09-01,3.74
2005-10-01,3.96
2005-11-01,4.16
2005-12-01,4.32
2006-01-01,4.43
2006-02-01,4.57
2006-03-01,4.73
2006-04-01,4.9
2006-05-01,5.02
2006-06-01,5.21
2006-07-01,5.34
2006-08-01,5.27
2006-09-01,5.25
2006-10-01,5.23
2006-11-01,5.24
2006-12-01,5.24
2007-01-01,5.24
2007-02-01,5.23
2007-03-01,5.23
2007-04-01,5.24
2007-05-01,5.23
2007-06-01,5.24
2007-07-01,5.24
2007-08-01,5.28
2007-09-01,5.07
2007-10-01,4.79
2007-11-01,4.69
2007-12-01,4.66
2008-01-01,3.72
2008-02-01,2.95
2008-03-01,2.65
2008-04-01,2.61
2008-05-01,2.43
2008-06-01,2.53
2008-07-01,2.52
2008-08-01,2.54
2008-09-01,2.78
2008-10-01,2.96
2008-11-01,1.5
2008-12-01,0.83
2009-01-01,0.63
2009-02-01,0.62
2009-03-01,0.53
2009-04-01,0.35
2009-05-01,0.4
2009-06-01,0.33
2009-07-01,0.3
2009-08-01,0.23
2009-09-01,0.2
2009-10-01,0.17
2009-11-01,0.16
2009-12-01,0.16
2010-01-01,0.15
2010-02-01,0.18
2010-03-01,0.21
2010-04-01,0.28
2010-05-01,0.33
2010-06-01,0.36
2010-07-01,0.27
2010-08-01,0.23
2010-09-01,0.23
2010-10-01,0.22
2010-11-01,0.23
2010-12-01,0.23
2011-01-01,0.24
2011-02-01,0.23
2011-03-01,0.2
2011-04-01,0.17
2011-05-01,0.14
2011-06-01,0.13
2011-07-01,0.13
2011-08-01,0.18
2011-09-01,0.15
2011-10-01,0.15
2011-11-01,0.17
2011-12-01,0.1
2012-01-01,0.12
2012-02-01,0.13
2012-03-01,0.14
2012-04-01,0.15
2012-05-01,0.15
2012-06-01,0.16
2012-07-01,0.14
2012-08-01,0.16
2012-09-01,0.16
2012-10-01,0.16
2012-11-01,0.19
2012-12-01,0.13
2013-01-01,0.15
2013-02-01,0.12
2013-03-01,0.13
2013-04-01,0.13
2013-05-01,0.11
2013-06-01,0.1
2013-07-01,0.1
2013-08-01,0.09
2013-09-01,0.08
2013-10-01,0.12
2013-11-01,0.09
2013-12-01,0.1
2014-01-01,0.09
2014-02-01,0.11
2014-03-01,0.1
2014-04-01,0.09
2014-05-01,0.08
2014-06-01,0.08
2014-07-01,0.1
2014-08-01,0.11
2014-09-01,0.1
2014-10-01,0.1
2014-11-01,0.11
2014-12-01,0.14
2015-01-01,0.14
2015-02-01,0.12
2015-03-01,0.12
2015-04-01,0.1
2015-05-01,0.12
2015-06-01,0.14
2015-07-01,0.15
2015-08-01,0.2
2015-09-01,0.21
2015-10-01,0.19
2015-11-01,0.21
2015-12-01,0.4
2016-01-01,0.47
2016-02-01,0.47
2016-03-01,0.47
2016-04-01,0.47
2016-05-01,0.47
2016-06-01,0.47
2016-07-01,0.5
2016-08-01,0.56
2016-09-01,0.6
2016-10-01,0.6
2016-11-01,0.6
2016-12-01,0.73
2017-01-01,0.81
2017-02-01,0.78
2017-03-01,0.9
2017-04-01,0.97
2017-05-01,1
2017-06-01,1.12
2017-07-01,1.18
2017-08-01,1.2
2017-09-01,1.21
2017-10-01,1.2
2017-11-01,1.27
2017-12-01,1.47
2018-01-01,1.55
2018-02-01,1.66
2018-03-01,1.91
2018-04-01,2
2018-05-01,1.99
2018-06-01,2.05
2018-07-01,2.07
2018-08-01,2.08
2018-09-01,2.13
2018-10-01,2.29
2018-11-01,2.41
2018-12-01,2.54
2019-01-01,2.54
2019-02-01,2.45
2019-03-01,2.45
2019-04-01,2.44
2019-05-01,2.43
2019-06-01,2.31
2019-07-01,2.23
2019-08-01,2.08
2019-09-01,2.04
2019-10-01,1.81
2019-11-01,1.73
2019-12-01,1.74
2020-01-01,1.61
2020-02-01,1.58
2020-03-01,1.73
2020-04-01,NA
2020-05-01,0.16
2020-06-01,0.16
2020-07-01,0.17
2020-08-01,0.11
2020-09-01,0.09
2020-10-01,0.11
2020-11-01,0.14
2020-12-01,0.21
2021-01-01,0.12
2021-02-01,0.13
2021-03-01,0.1
2021-04-01,0.1
2021-05-01,0.08
2021-06-01,0.1
2021-07-01,0.1
2021-08-01,0.1
2021-09-01,NA
2021-10-01,0.09
2021-11-01,0.12
2021-12-01,0.16
2022-01-01,0.15
2022-02-01,0.28
2022-03-01,0.52
2022-04-01,0.75
2022-05-01,1.12
2022-06-01,1.73
2022-07-01,2.24
2022-08-01,2.53
2022-09-01,3.33
2022-10-01,3.45
2022-11-01,4.1
2022-12-01,4.37
2023-01-01,4.57
2023-02-01,NA
2023-03-01,NA
2023-04-01,4.95
2023-05-01,5.14
2023-06-01,5.26
2023-07-01,5.34
2023-08-01,5.43
2023-09-01,5.48
2023-10-01,5.43
2023-11-01,5.43
