"Date","NYSLIND"
1982-01-01,-0.77
1982-02-01,-0.06
1982-03-01,0.02
1982-04-01,-0.15
1982-05-01,0.94
1982-06-01,0.69
1982-07-01,0.23
1982-08-01,-0.16
1982-09-01,-0.67
1982-10-01,-0.66
1982-11-01,-0.21
1982-12-01,0.61
1983-01-01,0.97
1983-02-01,1.26
1983-03-01,2.14
1983-04-01,1.9
1983-05-01,1.77
1983-06-01,2.87
1983-07-01,3.24
1983-08-01,2.63
1983-09-01,3.02
1983-10-01,3.07
1983-11-01,3.43
1983-12-01,3.14
1984-01-01,2.72
1984-02-01,2.7
1984-03-01,1.9
1984-04-01,1.25
1984-05-01,0.75
1984-06-01,0.77
1984-07-01,1.1
1984-08-01,1.1
1984-09-01,1.26
1984-10-01,1.45
1984-11-01,1.65
1984-12-01,2.28
1985-01-01,1.43
1985-02-01,0.84
1985-03-01,0.66
1985-04-01,1.39
1985-05-01,1.62
1985-06-01,1.72
1985-07-01,1.5
1985-08-01,2.08
1985-09-01,1.19
1985-10-01,1.61
1985-11-01,1.34
1985-12-01,0.41
1986-01-01,0.79
1986-02-01,0.54
1986-03-01,1.15
1986-04-01,1.16
1986-05-01,1.03
1986-06-01,1.61
1986-07-01,2.55
1986-08-01,2.66
1986-09-01,2.31
1986-10-01,1.56
1986-11-01,1.48
1986-12-01,2.25
1987-01-01,2.18
1987-02-01,1.88
1987-03-01,2.32
1987-04-01,1.91
1987-05-01,1.58
1987-06-01,1.5
1987-07-01,1.35
1987-08-01,1.67
1987-09-01,1.28
1987-10-01,1.38
1987-11-01,1.69
1987-12-01,1.84
1988-01-01,2.02
1988-02-01,1.78
1988-03-01,2.32
1988-04-01,1.17
1988-05-01,0.79
1988-06-01,0.51
1988-07-01,0.48
1988-08-01,0.17
1988-09-01,-0.33
1988-10-01,0.25
1988-11-01,0.94
1988-12-01,1.17
1989-01-01,0.51
1989-02-01,0.58
1989-03-01,0.08
1989-04-01,0
1989-05-01,0.21
1989-06-01,0.74
1989-07-01,-0.02
1989-08-01,-0.59
1989-09-01,0.1
1989-10-01,-0.8
1989-11-01,0
1989-12-01,0.58
1990-01-01,1.56
1990-02-01,1.19
1990-03-01,1.58
1990-04-01,1.19
1990-05-01,0.74
1990-06-01,0.53
1990-07-01,-0.13
1990-08-01,-0.28
1990-09-01,-0.82
1990-10-01,-0.88
1990-11-01,-1.68
1990-12-01,-1.35
1991-01-01,-2.11
1991-02-01,-1.27
1991-03-01,-1.59
1991-04-01,-0.78
1991-05-01,-0.37
1991-06-01,1.18
1991-07-01,1.37
1991-08-01,0.89
1991-09-01,0.74
1991-10-01,0.04
1991-11-01,0.09
1991-12-01,-1.06
1992-01-01,-0.34
1992-02-01,-0.46
1992-03-01,-0.35
1992-04-01,0.12
1992-05-01,0.61
1992-06-01,0.65
1992-07-01,0.76
1992-08-01,1.06
1992-09-01,0.94
1992-10-01,1.71
1992-11-01,2.16
1992-12-01,2.46
1993-01-01,2.65
1993-02-01,2.67
1993-03-01,1.76
1993-04-01,2
1993-05-01,1.86
1993-06-01,1.11
1993-07-01,0.86
1993-08-01,0.77
1993-09-01,0.93
1993-10-01,1.07
1993-11-01,0.99
1993-12-01,1.67
1994-01-01,1.08
1994-02-01,1.57
1994-03-01,2.08
1994-04-01,1.97
1994-05-01,2.16
1994-06-01,1.89
1994-07-01,1.87
1994-08-01,2.34
1994-09-01,1.96
1994-10-01,1.77
1994-11-01,2.3
1994-12-01,2.18
1995-01-01,1.1
1995-02-01,0.54
1995-03-01,0.62
1995-04-01,0.23
1995-05-01,0.28
1995-06-01,0.05
1995-07-01,0.38
1995-08-01,0.86
1995-09-01,0.87
1995-10-01,0.86
1995-11-01,1.3
1995-12-01,1.34
1996-01-01,0.89
1996-02-01,1.14
1996-03-01,0.85
1996-04-01,0.26
1996-05-01,1.33
1996-06-01,1.63
1996-07-01,1.82
1996-08-01,1.74
1996-09-01,1.28
1996-10-01,0.79
1996-11-01,-0.14
1996-12-01,-0.18
1997-01-01,0.04
1997-02-01,0.34
1997-03-01,1.23
1997-04-01,1.3
1997-05-01,1.14
1997-06-01,0.96
1997-07-01,1.7
1997-08-01,1.95
1997-09-01,1.99
1997-10-01,1.17
1997-11-01,1.36
1997-12-01,1.75
1998-01-01,1.8
1998-02-01,1.78
1998-03-01,1.86
1998-04-01,1.48
1998-05-01,1.95
1998-06-01,1.57
1998-07-01,0.78
1998-08-01,0.63
1998-09-01,0.92
1998-10-01,1.14
1998-11-01,1.61
1998-12-01,1.01
1999-01-01,2.05
1999-02-01,1.41
1999-03-01,1.36
1999-04-01,0.82
1999-05-01,1.02
1999-06-01,1.06
1999-07-01,1.18
1999-08-01,1.59
1999-09-01,1.71
1999-10-01,2.05
1999-11-01,2.02
1999-12-01,1.83
2000-01-01,1.49
2000-02-01,0.92
2000-03-01,1.44
2000-04-01,1.61
2000-05-01,0.91
2000-06-01,0.74
2000-07-01,0.77
2000-08-01,1.05
2000-09-01,1.29
2000-10-01,1.42
2000-11-01,1.63
2000-12-01,1.7
2001-01-01,0.54
2001-02-01,0.19
2001-03-01,-0.18
2001-04-01,0.02
2001-05-01,-0.86
2001-06-01,-0.65
2001-07-01,-0.72
2001-08-01,-1.32
2001-09-01,-1.96
2001-10-01,-2.01
2001-11-01,-1.69
2001-12-01,-0.54
2002-01-01,0.98
2002-02-01,1.41
2002-03-01,0.79
2002-04-01,1.06
2002-05-01,1.69
2002-06-01,1.9
2002-07-01,1.3
2002-08-01,1.38
2002-09-01,1.04
2002-10-01,0.23
2002-11-01,0.51
2002-12-01,0.47
2003-01-01,0.38
2003-02-01,0.66
2003-03-01,0.91
2003-04-01,0.83
2003-05-01,0.39
2003-06-01,0.62
2003-07-01,0.24
2003-08-01,0.76
2003-09-01,1.08
2003-10-01,1.92
2003-11-01,1.74
2003-12-01,1.32
2004-01-01,1.32
2004-02-01,1.67
2004-03-01,1.68
2004-04-01,2.01
2004-05-01,2.48
2004-06-01,2.13
2004-07-01,2.32
2004-08-01,1.78
2004-09-01,1.48
2004-10-01,1.67
2004-11-01,1.69
2004-12-01,1.75
2005-01-01,1.46
2005-02-01,1.12
2005-03-01,0.97
2005-04-01,1.29
2005-05-01,1.14
2005-06-01,1.1
2005-07-01,0.4
2005-08-01,0.68
2005-09-01,0.88
2005-10-01,1.47
2005-11-01,1.47
2005-12-01,1.73
2006-01-01,1.82
2006-02-01,1.39
2006-03-01,1.31
2006-04-01,1.19
2006-05-01,0.76
2006-06-01,0.66
2006-07-01,1.22
2006-08-01,1.56
2006-09-01,1.6
2006-10-01,1.45
2006-11-01,0.91
2006-12-01,1.76
2007-01-01,1.23
2007-02-01,0.16
2007-03-01,0.53
2007-04-01,0.14
2007-05-01,0.18
2007-06-01,0.41
2007-07-01,0.46
2007-08-01,0.06
2007-09-01,0.32
2007-10-01,0.42
2007-11-01,0.55
2007-12-01,0.77
2008-01-01,0.68
2008-02-01,0.02
2008-03-01,0.14
2008-04-01,0.2
2008-05-01,0.05
2008-06-01,-0.17
2008-07-01,-0.55
2008-08-01,-0.43
2008-09-01,-0.9
2008-10-01,-1.83
2008-11-01,-2.16
2008-12-01,-2.73
2009-01-01,-2.76
2009-02-01,-2.82
2009-03-01,-2.28
2009-04-01,-1.88
2009-05-01,-0.31
2009-06-01,0.47
2009-07-01,0.88
2009-08-01,0.3
