"Date","TP10J15"
2005-02-01,1.62
2005-03-01,1.77
2005-04-01,1.68
2005-05-01,1.63
2005-06-01,1.65
2005-07-01,1.86
2005-08-01,1.87
2005-09-01,1.68
2005-10-01,1.92
2005-11-01,2.05
2005-12-01,2.12
2006-01-01,2
2006-02-01,2.04
2006-03-01,2.18
2006-04-01,2.38
2006-05-01,2.41
2006-06-01,2.5
2006-07-01,2.49
2006-08-01,2.28
2006-09-01,2.32
2006-10-01,2.42
2006-11-01,2.31
2006-12-01,2.26
2007-01-01,2.44
2007-02-01,2.36
2007-03-01,2.15
2007-04-01,2.23
2007-05-01,2.34
2007-06-01,2.69
2007-07-01,2.66
2007-08-01,2.49
2007-09-01,2.26
2007-10-01,2.17
2007-11-01,1.66
2007-12-01,1.63
2008-01-01,1.22
2008-02-01,1.08
2008-03-01,0.71
2008-04-01,0.98
2008-05-01,1.12
2008-06-01,1.29
2008-07-01,1.18
2008-08-01,1.4
2008-09-01,1.65
2008-10-01,2.87
2008-11-01,3.79
2008-12-01,3.19
2009-01-01,2.5
2009-02-01,2.09
2009-03-01,1.92
2009-04-01,1.55
2009-05-01,1.66
2009-06-01,1.68
2009-07-01,1.69
2009-08-01,1.73
2009-09-01,1.37
2009-10-01,1.12
2009-11-01,0.73
2009-12-01,0.68
2010-01-01,0.62
2010-02-01,0.57
2010-03-01,0.61
2010-04-01,0.6
2010-05-01,0.46
2010-06-01,0.5
2010-07-01,0.48
2010-08-01,0.25
2010-09-01,0.2
2010-10-01,-0.33
2010-11-01,-0.29
2010-12-01,0.04
2011-01-01,-0.26
2011-02-01,-0.21
2011-03-01,-0.63
2011-04-01,-0.8
2011-05-01,-0.9
2011-06-01,-0.88
2011-07-01,-1.03
2011-08-01,-1.01
2011-09-01,-0.93
2011-10-01,-0.84
2011-11-01,-1.12
2011-12-01,-1.02
2012-01-01,-1.2
2012-02-01,-1.56
2012-03-01,-1.62
2012-04-01,-1.52
2012-05-01,-1.3
2012-06-01,-0.92
2012-07-01,-1.06
2012-08-01,-1.3
2012-09-01,-1.56
2012-10-01,-1.44
2012-11-01,-1.22
2012-12-01,-1.35
2013-01-01,-1.68
2013-02-01,-2.01
2013-03-01,-2.07
2013-04-01,-1.64
2013-05-01,-1.25
2013-06-01,-0.97
2013-07-01,-1.28
2013-08-01,-1.18
2013-09-01,-1.07
2013-10-01,-1.08
2013-11-01,-0.97
2013-12-01,-1.1
2014-01-01,-1.45
2014-02-01,-1.8
2014-03-01,-1.83
2014-04-01,-1.8
2014-05-01,-1.71
2014-06-01,-1.5
2014-07-01,-1.11
2014-08-01,-0.08
2014-09-01,0.57
2014-10-01,1.81
2014-11-01,2.44
2014-12-01,3.94
