"Date","VTSLIND"
1982-01-01,-0.69
1982-02-01,-0.59
1982-03-01,-0.66
1982-04-01,-0.16
1982-05-01,0.79
1982-06-01,0.72
1982-07-01,1.1
1982-08-01,1.28
1982-09-01,1.52
1982-10-01,0.31
1982-11-01,1.44
1982-12-01,1.78
1983-01-01,2
1983-02-01,3
1983-03-01,3.48
1983-04-01,3.91
1983-05-01,3.78
1983-06-01,3.76
1983-07-01,3.79
1983-08-01,3.32
1983-09-01,3.56
1983-10-01,2.48
1983-11-01,2.39
1983-12-01,1.48
1984-01-01,1.92
1984-02-01,2.39
1984-03-01,1.94
1984-04-01,2.89
1984-05-01,2.39
1984-06-01,2.67
1984-07-01,2.04
1984-08-01,2.25
1984-09-01,2.55
1984-10-01,1.35
1984-11-01,0.08
1984-12-01,0.59
1985-01-01,1.5
1985-02-01,1.05
1985-03-01,1.22
1985-04-01,2.32
1985-05-01,3.16
1985-06-01,2.51
1985-07-01,1.65
1985-08-01,1.87
1985-09-01,1.92
1985-10-01,2.72
1985-11-01,2.79
1985-12-01,3.2
1986-01-01,3.11
1986-02-01,2.96
1986-03-01,1.25
1986-04-01,1.6
1986-05-01,1.26
1986-06-01,1.13
1986-07-01,1.32
1986-08-01,2.37
1986-09-01,1.72
1986-10-01,1.4
1986-11-01,1.92
1986-12-01,2.63
1987-01-01,2.56
1987-02-01,2.13
1987-03-01,2.23
1987-04-01,2.23
1987-05-01,1.82
1987-06-01,1.47
1987-07-01,1.98
1987-08-01,1.92
1987-09-01,2.45
1987-10-01,3.1
1987-11-01,3.04
1987-12-01,2.2
1988-01-01,1.89
1988-02-01,2.51
1988-03-01,1.86
1988-04-01,1.83
1988-05-01,1.49
1988-06-01,1.17
1988-07-01,1.21
1988-08-01,0.81
1988-09-01,0.39
1988-10-01,0.15
1988-11-01,1.05
1988-12-01,2.02
1989-01-01,1.32
1989-02-01,0.74
1989-03-01,0.39
1989-04-01,-0.25
1989-05-01,-0.69
1989-06-01,-1.12
1989-07-01,-0.62
1989-08-01,-1.43
1989-09-01,-1.23
1989-10-01,-0.78
1989-11-01,-0.08
1989-12-01,0.27
1990-01-01,0.36
1990-02-01,0
1990-03-01,0.12
1990-04-01,0.37
1990-05-01,0.41
1990-06-01,0.09
1990-07-01,-0.33
1990-08-01,-0.62
1990-09-01,-1.24
1990-10-01,-1.36
1990-11-01,-2
1990-12-01,-2.1
1991-01-01,-1.9
1991-02-01,-1.62
1991-03-01,-0.51
1991-04-01,1.08
1991-05-01,2.12
1991-06-01,3.52
1991-07-01,4.34
1991-08-01,3.81
1991-09-01,2.38
1991-10-01,2.03
1991-11-01,1.46
1991-12-01,0.5
1992-01-01,0.14
1992-02-01,0.72
1992-03-01,2.59
1992-04-01,2.48
1992-05-01,2.67
1992-06-01,2.8
1992-07-01,3.29
1992-08-01,2.88
1992-09-01,3.11
1992-10-01,2.7
1992-11-01,3.01
1992-12-01,2.89
1993-01-01,3.18
1993-02-01,2.82
1993-03-01,2.42
1993-04-01,2.62
1993-05-01,2.04
1993-06-01,2.2
1993-07-01,1.72
1993-08-01,1.51
1993-09-01,1.73
1993-10-01,2.42
1993-11-01,1.79
1993-12-01,2
1994-01-01,2.26
1994-02-01,2.12
1994-03-01,2.33
1994-04-01,1.73
1994-05-01,2.1
1994-06-01,1.76
1994-07-01,1.45
1994-08-01,2.11
1994-09-01,2.14
1994-10-01,2.54
1994-11-01,2.74
1994-12-01,1.98
1995-01-01,1.44
1995-02-01,1.07
1995-03-01,0.63
1995-04-01,0.94
1995-05-01,0.59
1995-06-01,-0.09
1995-07-01,0.32
1995-08-01,0.79
1995-09-01,1.25
1995-10-01,1.09
1995-11-01,1.17
1995-12-01,1.13
1996-01-01,1.19
1996-02-01,1.25
1996-03-01,1.08
1996-04-01,1.19
1996-05-01,1.27
1996-06-01,1.33
1996-07-01,1.16
1996-08-01,1.56
1996-09-01,1.46
1996-10-01,2.11
1996-11-01,1.51
1996-12-01,1.11
1997-01-01,0.9
1997-02-01,1.7
1997-03-01,1.72
1997-04-01,1.39
1997-05-01,1.89
1997-06-01,2.31
1997-07-01,1.77
1997-08-01,1.82
1997-09-01,1.34
1997-10-01,1.57
1997-11-01,1.12
1997-12-01,1.13
1998-01-01,1.56
1998-02-01,1.38
1998-03-01,1.75
1998-04-01,1.19
1998-05-01,1.53
1998-06-01,1.05
1998-07-01,0.77
1998-08-01,0.81
1998-09-01,1.88
1998-10-01,1.28
1998-11-01,1.58
1998-12-01,0.97
1999-01-01,1.73
1999-02-01,1.12
1999-03-01,1.67
1999-04-01,1.17
1999-05-01,1.28
1999-06-01,0.99
1999-07-01,1.53
1999-08-01,1.69
1999-09-01,1.58
1999-10-01,1.47
1999-11-01,1.94
1999-12-01,2.32
2000-01-01,0.97
2000-02-01,1.45
2000-03-01,1.2
2000-04-01,0.11
2000-05-01,0.37
2000-06-01,0.13
2000-07-01,-0.12
2000-08-01,0.44
2000-09-01,1.08
2000-10-01,0.98
2000-11-01,0.82
2000-12-01,-0.06
2001-01-01,-0.02
2001-02-01,0.19
2001-03-01,-0.54
2001-04-01,-0.42
2001-05-01,0.09
2001-06-01,0.34
2001-07-01,0.58
2001-08-01,0.6
2001-09-01,0.81
2001-10-01,0.58
2001-11-01,-0.05
2001-12-01,-0.17
2002-01-01,1.51
2002-02-01,1.26
2002-03-01,2.07
2002-04-01,1.63
2002-05-01,1.74
2002-06-01,1.31
2002-07-01,1.42
2002-08-01,1.52
2002-09-01,0.95
2002-10-01,0.39
2002-11-01,1.1
2002-12-01,0.62
2003-01-01,0.75
2003-02-01,1.07
2003-03-01,1.44
2003-04-01,1.21
2003-05-01,1.37
2003-06-01,2.13
2003-07-01,2.24
2003-08-01,1.9
2003-09-01,1.03
2003-10-01,1.59
2003-11-01,1.56
2003-12-01,3.99
2004-01-01,3.94
2004-02-01,3.34
2004-03-01,3.23
2004-04-01,1.96
2004-05-01,2.34
2004-06-01,2.37
2004-07-01,1.83
2004-08-01,1.12
2004-09-01,1.97
2004-10-01,1.73
2004-11-01,1.05
2004-12-01,0.91
2005-01-01,0.99
2005-02-01,1.25
2005-03-01,1.88
2005-04-01,1.5
2005-05-01,0.91
2005-06-01,0.86
2005-07-01,0.74
2005-08-01,0.93
2005-09-01,1.36
2005-10-01,0.52
2005-11-01,0.57
2005-12-01,0.79
2006-01-01,1.62
2006-02-01,1.1
2006-03-01,0.77
2006-04-01,0.8
2006-05-01,0.01
2006-06-01,0.29
2006-07-01,-0.15
2006-08-01,-0.01
2006-09-01,0.54
2006-10-01,0.22
2006-11-01,0.55
2006-12-01,0.95
2007-01-01,0.82
2007-02-01,0.5
2007-03-01,0.71
2007-04-01,0.63
2007-05-01,0.69
2007-06-01,-0.12
2007-07-01,0.35
2007-08-01,0.05
