"Date","KSSLIND"
1982-01-01,-1.92
1982-02-01,-2.02
1982-03-01,-2.3
1982-04-01,-2.88
1982-05-01,-4.01
1982-06-01,-3.65
1982-07-01,-2.13
1982-08-01,-1.23
1982-09-01,-0.79
1982-10-01,0.25
1982-11-01,1
1982-12-01,1.51
1983-01-01,2.54
1983-02-01,2.84
1983-03-01,3.03
1983-04-01,4.15
1983-05-01,4.22
1983-06-01,3.98
1983-07-01,3.92
1983-08-01,3.14
1983-09-01,2.64
1983-10-01,2.51
1983-11-01,2.05
1983-12-01,1.88
1984-01-01,2.05
1984-02-01,2.86
1984-03-01,2.92
1984-04-01,2.2
1984-05-01,2.36
1984-06-01,1.67
1984-07-01,1.93
1984-08-01,0.65
1984-09-01,0.72
1984-10-01,0.49
1984-11-01,0.21
1984-12-01,0.57
1985-01-01,0.12
1985-02-01,0.28
1985-03-01,0.55
1985-04-01,1.01
1985-05-01,0.91
1985-06-01,0.64
1985-07-01,0.6
1985-08-01,0.17
1985-09-01,0.51
1985-10-01,0.2
1985-11-01,0.31
1985-12-01,-0.23
1986-01-01,0.83
1986-02-01,0.69
1986-03-01,0.49
1986-04-01,0.48
1986-05-01,0.42
1986-06-01,0.86
1986-07-01,1.42
1986-08-01,1.84
1986-09-01,1.72
1986-10-01,1.36
1986-11-01,1.8
1986-12-01,1.91
1987-01-01,1.2
1987-02-01,1.67
1987-03-01,2.24
1987-04-01,1.82
1987-05-01,1.73
1987-06-01,1.98
1987-07-01,2.4
1987-08-01,2.47
1987-09-01,1.92
1987-10-01,2.24
1987-11-01,1.82
1987-12-01,2.02
1988-01-01,1.28
1988-02-01,1.28
1988-03-01,0.42
1988-04-01,0.81
1988-05-01,1.14
1988-06-01,1.81
1988-07-01,1.9
1988-08-01,1.6
1988-09-01,1.14
1988-10-01,1.11
1988-11-01,1.04
1988-12-01,2.05
1989-01-01,2.33
1989-02-01,1.12
1989-03-01,1.46
1989-04-01,1.52
1989-05-01,1.88
1989-06-01,0.46
1989-07-01,-0.18
1989-08-01,0.13
1989-09-01,1.07
1989-10-01,1.09
1989-11-01,1.22
1989-12-01,0.99
1990-01-01,1.93
1990-02-01,1
1990-03-01,0.93
1990-04-01,0.78
1990-05-01,0.88
1990-06-01,0.38
1990-07-01,-0.66
1990-08-01,-0.56
1990-09-01,-0.35
1990-10-01,-0.32
1990-11-01,0.64
1990-12-01,-0.12
1991-01-01,-0.55
1991-02-01,0.5
1991-03-01,0.77
1991-04-01,1.65
1991-05-01,1.98
1991-06-01,2.35
1991-07-01,2.69
1991-08-01,1.63
1991-09-01,1.63
1991-10-01,1.41
1991-11-01,1.57
1991-12-01,0.6
1992-01-01,0.95
1992-02-01,1.12
1992-03-01,0.69
1992-04-01,-0.04
1992-05-01,0.26
1992-06-01,0.54
1992-07-01,0.02
1992-08-01,0.59
1992-09-01,0.98
1992-10-01,1.18
1992-11-01,0.27
1992-12-01,0.81
1993-01-01,0.27
1993-02-01,-0.04
1993-03-01,0.75
1993-04-01,0.42
1993-05-01,0.68
1993-06-01,0.9
1993-07-01,1.21
1993-08-01,1.25
1993-09-01,1.25
1993-10-01,1.18
1993-11-01,1.41
1993-12-01,1.36
1994-01-01,1.48
1994-02-01,1.41
1994-03-01,1.24
1994-04-01,1.87
1994-05-01,1.94
1994-06-01,1.9
1994-07-01,1.45
1994-08-01,1.53
1994-09-01,0.97
1994-10-01,1.26
1994-11-01,1.68
1994-12-01,2.21
1995-01-01,1.66
1995-02-01,1.91
1995-03-01,1.13
1995-04-01,1.6
1995-05-01,1.42
1995-06-01,1.37
1995-07-01,1.55
1995-08-01,2.24
1995-09-01,2.5
1995-10-01,2.24
1995-11-01,1.4
1995-12-01,0.98
1996-01-01,0.89
1996-02-01,0.5
1996-03-01,0.77
1996-04-01,0.68
1996-05-01,0.6
1996-06-01,1.31
1996-07-01,0.93
1996-08-01,1.17
1996-09-01,0.9
1996-10-01,1.62
1996-11-01,1.3
1996-12-01,1.28
1997-01-01,1.55
1997-02-01,1.62
1997-03-01,2.21
1997-04-01,2.34
1997-05-01,2.62
1997-06-01,2.26
1997-07-01,1.74
1997-08-01,1.56
1997-09-01,1.52
1997-10-01,1.54
1997-11-01,2.02
1997-12-01,1.26
1998-01-01,1.22
1998-02-01,1.41
1998-03-01,1.05
1998-04-01,1.07
1998-05-01,0.54
1998-06-01,0.77
1998-07-01,0.99
1998-08-01,1.16
1998-09-01,1.38
1998-10-01,1.6
1998-11-01,1.99
1998-12-01,1.84
1999-01-01,1.51
1999-02-01,1.86
1999-03-01,1.46
1999-04-01,0.83
1999-05-01,0.8
1999-06-01,-0.1
1999-07-01,0.75
1999-08-01,0.81
1999-09-01,1.26
1999-10-01,1.46
1999-11-01,1.42
1999-12-01,1.36
2000-01-01,0.38
2000-02-01,0.49
2000-03-01,-0.06
2000-04-01,0.61
2000-05-01,1.1
2000-06-01,0.51
2000-07-01,0.19
2000-08-01,0.6
2000-09-01,0.09
2000-10-01,-0.24
2000-11-01,0.19
2000-12-01,-0.26
2001-01-01,0.39
2001-02-01,0
2001-03-01,0.59
2001-04-01,0.66
2001-05-01,0.95
2001-06-01,0.45
2001-07-01,0.49
2001-08-01,0.26
2001-09-01,-0.29
2001-10-01,-1.14
2001-11-01,-0.96
2001-12-01,-0.91
2002-01-01,-0.43
2002-02-01,-0.41
2002-03-01,0.54
2002-04-01,1.1
2002-05-01,0.32
2002-06-01,0.52
2002-07-01,0.95
2002-08-01,1.11
2002-09-01,0.92
2002-10-01,0.73
2002-11-01,0.76
2002-12-01,0.84
2003-01-01,0.99
2003-02-01,0.05
2003-03-01,-0.48
2003-04-01,-0.61
2003-05-01,-0.08
2003-06-01,-0.52
2003-07-01,-0.23
2003-08-01,0.65
2003-09-01,1.34
2003-10-01,1.51
2003-11-01,2.19
2003-12-01,2.11
2004-01-01,1.39
2004-02-01,1.1
2004-03-01,1.76
2004-04-01,2.49
2004-05-01,2.17
2004-06-01,1.27
2004-07-01,1.96
2004-08-01,1.67
2004-09-01,1.54
2004-10-01,1.59
2004-11-01,1.49
2004-12-01,1.56
2005-01-01,0.58
2005-02-01,1.29
2005-03-01,1.59
2005-04-01,2.45
2005-05-01,1.5
2005-06-01,1.62
2005-07-01,2.02
2005-08-01,1.38
2005-09-01,1.45
2005-10-01,1.57
2005-11-01,1.82
2005-12-01,2
2006-01-01,2.35
2006-02-01,1.77
2006-03-01,1.64
2006-04-01,2.07
2006-05-01,1.35
2006-06-01,1.01
2006-07-01,1.27
2006-08-01,1.17
2006-09-01,1.08
2006-10-01,0.87
2006-11-01,0.81
2006-12-01,1.21
2007-01-01,0.88
2007-02-01,1.46
2007-03-01,1.55
2007-04-01,1.18
2007-05-01,0.97
2007-06-01,0.91
2007-07-01,0.76
2007-08-01,1.02
2007-09-01,0.05
2007-10-01,0.43
2007-11-01,0.86
2007-12-01,1.04
2008-01-01,1.16
2008-02-01,1.26
2008-03-01,1.07
2008-04-01,0.36
2008-05-01,0.22
2008-06-01,-0.08
2008-07-01,-0.84
2008-08-01,-1.18
2008-09-01,-0.69
2008-10-01,-1.46
2008-11-01,-1.85
2008-12-01,-2.77
2009-01-01,-3.14
2009-02-01,-3.41
2009-03-01,-3.56
2009-04-01,-3.27
2009-05-01,-2.2
2009-06-01,-0.94
2009-07-01,0.07
2009-08-01,-0.08
2009-09-01,1.35
2009-10-01,1.66
2009-11-01,1.69
2009-12-01,1.24
2010-01-01,0.92
2010-02-01,1.18
2010-03-01,1.89
2010-04-01,2.23
2010-05-01,1.88
2010-06-01,1.87
2010-07-01,1.49
2010-08-01,0.88
2010-09-01,0.48
2010-10-01,0.82
2010-11-01,1.43
2010-12-01,0.77
2011-01-01,1.21
2011-02-01,1.93
2011-03-01,2.21
2011-04-01,3.33
2011-05-01,2.63
2011-06-01,1.31
2011-07-01,1.85
2011-08-01,1.23
2011-09-01,1.48
2011-10-01,1.18
2011-11-01,1.76
2011-12-01,1.83
2012-01-01,2.2
2012-02-01,2.1
2012-03-01,1.53
2012-04-01,1.65
2012-05-01,1.57
2012-06-01,1.95
2012-07-01,1.18
2012-08-01,1.58
2012-09-01,1.46
2012-10-01,1.4
2012-11-01,0.93
2012-12-01,1.15
