"Date","MSSLIND"
1982-01-01,0
1982-02-01,0.41
1982-03-01,0.08
1982-04-01,-0.01
1982-05-01,0.24
1982-06-01,0.14
1982-07-01,0.12
1982-08-01,0.14
1982-09-01,0.58
1982-10-01,0.68
1982-11-01,0.71
1982-12-01,0.76
1983-01-01,0.49
1983-02-01,0.55
1983-03-01,0.95
1983-04-01,1.34
1983-05-01,1.42
1983-06-01,2.11
1983-07-01,1.81
1983-08-01,1.49
1983-09-01,1.65
1983-10-01,2.02
1983-11-01,2.14
1983-12-01,1.31
1984-01-01,1.56
1984-02-01,1.63
1984-03-01,1.79
1984-04-01,1.2
1984-05-01,0.98
1984-06-01,0.79
1984-07-01,1.07
1984-08-01,0.91
1984-09-01,0.96
1984-10-01,0.98
1984-11-01,1.07
1984-12-01,1.12
1985-01-01,0.95
1985-02-01,0.79
1985-03-01,0.87
1985-04-01,0.95
1985-05-01,1.15
1985-06-01,0.99
1985-07-01,0.93
1985-08-01,0.89
1985-09-01,1.26
1985-10-01,1.17
1985-11-01,0.91
1985-12-01,0.83
1986-01-01,1.02
1986-02-01,0.72
1986-03-01,0.51
1986-04-01,0.32
1986-05-01,0.59
1986-06-01,0.63
1986-07-01,0.6
1986-08-01,0.58
1986-09-01,0.99
1986-10-01,1.08
1986-11-01,0.71
1986-12-01,0.88
1987-01-01,1
1987-02-01,1.27
1987-03-01,1.24
1987-04-01,1.3
1987-05-01,1.45
1987-06-01,1.29
1987-07-01,1.58
1987-08-01,1.65
1987-09-01,1.62
1987-10-01,1.41
1987-11-01,1.44
1987-12-01,1.52
1988-01-01,1.29
1988-02-01,1.52
1988-03-01,1.37
1988-04-01,1.46
1988-05-01,1.27
1988-06-01,1.63
1988-07-01,1.04
1988-08-01,0.74
1988-09-01,0.81
1988-10-01,0.91
1988-11-01,1.5
1988-12-01,0.84
1989-01-01,0.97
1989-02-01,0.94
1989-03-01,1.22
1989-04-01,1.16
1989-05-01,0.95
1989-06-01,0.96
1989-07-01,0.87
1989-08-01,0.78
1989-09-01,0.75
1989-10-01,0.74
1989-11-01,0.73
1989-12-01,0.78
1990-01-01,1.35
1990-02-01,0.84
1990-03-01,0.97
1990-04-01,0.82
1990-05-01,1.05
1990-06-01,0.84
1990-07-01,0.85
1990-08-01,0.16
1990-09-01,0.76
1990-10-01,0.65
1990-11-01,0.67
1990-12-01,0.41
1991-01-01,-0.2
1991-02-01,-0.01
1991-03-01,0.22
1991-04-01,0.76
1991-05-01,0.83
1991-06-01,1.08
1991-07-01,1.54
1991-08-01,0.97
1991-09-01,1.58
1991-10-01,1.46
1991-11-01,1.28
1991-12-01,1.23
1992-01-01,0.93
1992-02-01,1.1
1992-03-01,1.05
1992-04-01,0.83
1992-05-01,1.12
1992-06-01,0.94
1992-07-01,1.33
1992-08-01,1.26
1992-09-01,1.26
1992-10-01,1.22
1992-11-01,1.49
1992-12-01,1.51
1993-01-01,1.29
1993-02-01,1.4
1993-03-01,1.26
1993-04-01,1.63
1993-05-01,1.59
1993-06-01,1.35
1993-07-01,1.33
1993-08-01,1.53
1993-09-01,1.41
1993-10-01,1.76
1993-11-01,1.61
1993-12-01,1.61
1994-01-01,1.53
1994-02-01,1.62
1994-03-01,1.62
1994-04-01,1.6
1994-05-01,1.77
1994-06-01,1.76
1994-07-01,1.61
1994-08-01,1.52
1994-09-01,1.24
1994-10-01,0.91
1994-11-01,1.02
1994-12-01,1.23
1995-01-01,1.46
1995-02-01,1.24
1995-03-01,0.63
1995-04-01,0.53
1995-05-01,0.88
1995-06-01,0.8
1995-07-01,0.45
1995-08-01,0.92
1995-09-01,1.17
1995-10-01,0.96
1995-11-01,0.8
1995-12-01,0.87
1996-01-01,0.86
1996-02-01,0.96
1996-03-01,1.1
1996-04-01,1.19
1996-05-01,1.08
1996-06-01,1.19
1996-07-01,0.65
1996-08-01,0.71
1996-09-01,0.73
1996-10-01,0.76
1996-11-01,0.92
1996-12-01,1.06
1997-01-01,0.67
1997-02-01,1.02
1997-03-01,1.03
1997-04-01,1.04
1997-05-01,1.23
1997-06-01,0.86
1997-07-01,1.03
1997-08-01,0.98
1997-09-01,1.05
1997-10-01,1.12
1997-11-01,1.14
1997-12-01,1.24
1998-01-01,1
1998-02-01,1.15
1998-03-01,0.8
1998-04-01,1
1998-05-01,0.9
1998-06-01,0.89
1998-07-01,1.08
1998-08-01,1.03
1998-09-01,0.91
1998-10-01,1.55
1998-11-01,1.44
1998-12-01,1.13
1999-01-01,0.66
1999-02-01,0.75
1999-03-01,1.07
1999-04-01,0.88
1999-05-01,1.01
1999-06-01,0.99
1999-07-01,0.86
1999-08-01,0.64
1999-09-01,0.8
