"Date","TP10L15"
2005-08-01,1.88
2005-09-01,1.69
2005-10-01,1.93
2005-11-01,2.06
2005-12-01,2.12
2006-01-01,2
2006-02-01,2.03
2006-03-01,2.18
2006-04-01,2.38
2006-05-01,2.41
2006-06-01,2.5
2006-07-01,2.49
2006-08-01,2.28
2006-09-01,2.32
2006-10-01,2.42
2006-11-01,2.3
2006-12-01,2.25
2007-01-01,2.43
2007-02-01,2.34
2007-03-01,2.14
2007-04-01,2.21
2007-05-01,2.33
2007-06-01,2.67
2007-07-01,2.63
2007-08-01,2.45
2007-09-01,2.23
2007-10-01,2.15
2007-11-01,1.66
2007-12-01,1.67
2008-01-01,1.26
2008-02-01,1.13
2008-03-01,0.76
2008-04-01,1.03
2008-05-01,1.18
2008-06-01,1.35
2008-07-01,1.24
2008-08-01,1.45
2008-09-01,1.69
2008-10-01,2.92
2008-11-01,3.82
2008-12-01,3.08
2009-01-01,2.4
2009-02-01,2.05
2009-03-01,1.9
2009-04-01,1.55
2009-05-01,1.65
2009-06-01,1.69
2009-07-01,1.69
2009-08-01,1.72
2009-09-01,1.38
2009-10-01,1.15
2009-11-01,0.79
2009-12-01,0.75
2010-01-01,0.69
2010-02-01,0.64
2010-03-01,0.68
2010-04-01,0.67
2010-05-01,0.52
2010-06-01,0.55
2010-07-01,0.53
2010-08-01,0.29
2010-09-01,0.23
2010-10-01,-0.3
2010-11-01,-0.27
2010-12-01,0.08
2011-01-01,-0.17
2011-02-01,-0.12
2011-03-01,-0.5
2011-04-01,-0.65
2011-05-01,-0.77
2011-06-01,-0.76
2011-07-01,-0.89
2011-08-01,-0.97
2011-09-01,-0.9
2011-10-01,-0.82
2011-11-01,-1.09
2011-12-01,-1.05
2012-01-01,-1.22
2012-02-01,-1.55
2012-03-01,-1.6
2012-04-01,-1.54
2012-05-01,-1.37
2012-06-01,-1.03
2012-07-01,-1.2
2012-08-01,-1.42
2012-09-01,-1.67
2012-10-01,-1.6
2012-11-01,-1.44
2012-12-01,-1.57
2013-01-01,-1.84
2013-02-01,-2.16
2013-03-01,-2.23
2013-04-01,-1.93
2013-05-01,-1.58
2013-06-01,-1.23
2013-07-01,-1.45
2013-08-01,-1.35
2013-09-01,-1.23
2013-10-01,-1.28
2013-11-01,-1.28
2013-12-01,-1.45
2014-01-01,-1.72
2014-02-01,-1.99
2014-03-01,-1.97
2014-04-01,-1.94
2014-05-01,-1.91
2014-06-01,-1.82
2014-07-01,-1.66
2014-08-01,-1.39
2014-09-01,-1.18
2014-10-01,-0.84
2014-11-01,-0.68
2014-12-01,0.63
2015-01-01,1.26
2015-02-01,-0.82
2015-03-01,-2.96
2015-04-01,-3.89
2015-05-01,-3.89
2015-06-01,-4.76
