"Date","TNSLIND"
1982-01-01,-2.37
1982-02-01,1.33
1982-03-01,0.37
1982-04-01,1.59
1982-05-01,1.28
1982-06-01,1.54
1982-07-01,0.66
1982-08-01,-0.95
1982-09-01,-1.2
1982-10-01,-1.12
1982-11-01,1.7
1982-12-01,2.33
1983-01-01,3.81
1983-02-01,4.4
1983-03-01,5.79
1983-04-01,4.53
1983-05-01,3.49
1983-06-01,4.28
1983-07-01,2.84
1983-08-01,4.51
1983-09-01,6.37
1983-10-01,5.02
1983-11-01,4.12
1983-12-01,2.97
1984-01-01,4.34
1984-02-01,3.81
1984-03-01,2.74
1984-04-01,1.17
1984-05-01,1.17
1984-06-01,1.89
1984-07-01,1.45
1984-08-01,2.59
1984-09-01,2.48
1984-10-01,2.16
1984-11-01,1.12
1984-12-01,1.38
1985-01-01,1.2
1985-02-01,0.89
1985-03-01,1.32
1985-04-01,2.01
1985-05-01,1.16
1985-06-01,1.76
1985-07-01,2.75
1985-08-01,3.27
1985-09-01,2.76
1985-10-01,1.97
1985-11-01,1.79
1985-12-01,1.34
1986-01-01,1.03
1986-02-01,0.56
1986-03-01,2.05
1986-04-01,1.97
1986-05-01,2.38
1986-06-01,2.06
1986-07-01,2.46
1986-08-01,1.63
1986-09-01,0.56
1986-10-01,1.13
1986-11-01,2.49
1986-12-01,2.99
1987-01-01,3.43
1987-02-01,2.38
1987-03-01,1.91
1987-04-01,2.29
1987-05-01,2.06
1987-06-01,2.77
1987-07-01,3.39
1987-08-01,3.06
1987-09-01,2.97
1987-10-01,2.21
1987-11-01,1.17
1987-12-01,2.25
1988-01-01,1.83
1988-02-01,1.65
1988-03-01,1.16
1988-04-01,1.46
1988-05-01,1.3
1988-06-01,2.29
1988-07-01,1.32
1988-08-01,0.85
1988-09-01,1.33
1988-10-01,1.6
1988-11-01,2.74
1988-12-01,2.95
1989-01-01,4.45
1989-02-01,3.21
1989-03-01,1.39
1989-04-01,1.31
1989-05-01,0.45
1989-06-01,-0.63
1989-07-01,-0.55
1989-08-01,0.93
1989-09-01,0.43
1989-10-01,0.55
1989-11-01,2.01
1989-12-01,2.37
1990-01-01,1.7
1990-02-01,0.76
1990-03-01,0.89
1990-04-01,-0.16
1990-05-01,0.82
1990-06-01,0.66
