"Date","ILSLIND"
1982-01-01,-2.38
1982-02-01,-2.08
1982-03-01,-2.37
1982-04-01,-2.41
1982-05-01,-2.21
1982-06-01,-2
1982-07-01,-1.13
1982-08-01,-0.11
1982-09-01,-0.22
1982-10-01,-0.32
1982-11-01,0.64
1982-12-01,1.68
1983-01-01,2.37
1983-02-01,3.57
1983-03-01,3.89
1983-04-01,4.07
1983-05-01,4.57
1983-06-01,4.32
1983-07-01,4.55
1983-08-01,3.99
1983-09-01,4.14
1983-10-01,3.31
1983-11-01,3.43
1983-12-01,2.99
1984-01-01,2.69
1984-02-01,2.62
1984-03-01,2.93
1984-04-01,3.46
1984-05-01,3.52
1984-06-01,2.04
1984-07-01,1.71
1984-08-01,0.35
1984-09-01,-0.03
1984-10-01,0.5
1984-11-01,0.18
1984-12-01,-0.1
1985-01-01,0.79
1985-02-01,0.34
1985-03-01,0.52
1985-04-01,-0.35
1985-05-01,-0.8
1985-06-01,-0.38
1985-07-01,0.71
1985-08-01,0.82
1985-09-01,1.58
1985-10-01,1.97
1985-11-01,1.33
1985-12-01,1.84
1986-01-01,1.88
1986-02-01,1.03
1986-03-01,2.07
1986-04-01,2.74
1986-05-01,2.77
1986-06-01,2.62
1986-07-01,2.61
1986-08-01,2.55
1986-09-01,2.79
1986-10-01,1.93
1986-11-01,1.51
1986-12-01,1.2
1987-01-01,1.42
1987-02-01,1.63
1987-03-01,1.3
1987-04-01,1.35
1987-05-01,1.66
1987-06-01,2.13
1987-07-01,1.89
1987-08-01,1.89
1987-09-01,1.16
1987-10-01,1.53
1987-11-01,1.68
1987-12-01,1.4
1988-01-01,1.29
1988-02-01,1.08
1988-03-01,1.52
1988-04-01,1.83
1988-05-01,1.93
1988-06-01,2.66
1988-07-01,1.88
1988-08-01,1.38
1988-09-01,1.29
1988-10-01,1.89
1988-11-01,2.38
1988-12-01,2.71
1989-01-01,1.94
1989-02-01,1.09
1989-03-01,1.05
1989-04-01,0.67
1989-05-01,0.18
1989-06-01,0.17
1989-07-01,-0.87
1989-08-01,-1.24
1989-09-01,-0.2
1989-10-01,0.07
1989-11-01,1.16
1989-12-01,1.13
1990-01-01,2.08
1990-02-01,1.54
1990-03-01,1.64
1990-04-01,1.19
1990-05-01,0
1990-06-01,-0.19
1990-07-01,-0.61
1990-08-01,-0.26
1990-09-01,-0.01
1990-10-01,-0.58
1990-11-01,-0.08
1990-12-01,-0.16
1991-01-01,-0.69
1991-02-01,-1.1
1991-03-01,-1.09
1991-04-01,0
1991-05-01,0.34
1991-06-01,0.56
1991-07-01,0.25
1991-08-01,0.02
1991-09-01,0.4
1991-10-01,-0.17
1991-11-01,-1.07
1991-12-01,-1.01
1992-01-01,0.52
1992-02-01,1.42
1992-03-01,2.53
1992-04-01,1.71
1992-05-01,2.85
1992-06-01,2.46
1992-07-01,2.27
1992-08-01,2.56
1992-09-01,2.2
1992-10-01,1.16
1992-11-01,0.57
1992-12-01,0.28
1993-01-01,0.75
1993-02-01,0.09
1993-03-01,0.03
1993-04-01,1.18
1993-05-01,1.39
1993-06-01,1.59
1993-07-01,1.48
1993-08-01,1.76
1993-09-01,1.74
1993-10-01,2.58
1993-11-01,2.58
1993-12-01,2.43
1994-01-01,2.45
1994-02-01,2.55
1994-03-01,2.94
1994-04-01,2.42
1994-05-01,2.41
1994-06-01,2.02
1994-07-01,1.64
1994-08-01,1.32
1994-09-01,1.88
1994-10-01,1.87
1994-11-01,2.71
1994-12-01,2.79
1995-01-01,2.08
1995-02-01,0.3
1995-03-01,0.39
1995-04-01,0.03
1995-05-01,-0.38
1995-06-01,0.68
1995-07-01,0.65
1995-08-01,1.08
1995-09-01,1.85
1995-10-01,0.97
1995-11-01,0.11
1995-12-01,0.79
1996-01-01,0.96
1996-02-01,0.79
1996-03-01,0.07
1996-04-01,0.76
1996-05-01,1.11
1996-06-01,1.57
1996-07-01,1.52
1996-08-01,1.45
1996-09-01,1.32
1996-10-01,1.56
1996-11-01,1.18
1996-12-01,0.77
1997-01-01,0.56
