"Date","WVSLIND"
1982-01-01,-8.15
1982-02-01,-3.95
1982-03-01,-6.74
1982-04-01,-11.89
1982-05-01,-12.65
1982-06-01,-12.64
1982-07-01,-14.34
1982-08-01,-15.96
1982-09-01,-15.36
1982-10-01,-25.38
1982-11-01,-17.27
1982-12-01,-6.4
1983-01-01,1.77
1983-02-01,2.22
1983-03-01,6.46
1983-04-01,6.92
1983-05-01,6.6
1983-06-01,9.29
1983-07-01,7.14
1983-08-01,7.01
1983-09-01,7.8
1983-10-01,10.23
1983-11-01,11.37
1983-12-01,10.16
1984-01-01,10.59
1984-02-01,7.94
1984-03-01,4.61
1984-04-01,6.65
1984-05-01,4.46
1984-06-01,2.63
1984-07-01,2.74
1984-08-01,0.87
1984-09-01,0.38
1984-10-01,-4.28
1984-11-01,-1.76
1984-12-01,-0.01
1985-01-01,2.94
1985-02-01,7.78
1985-03-01,6.49
1985-04-01,4.96
1985-05-01,4.76
1985-06-01,4.89
1985-07-01,3.92
1985-08-01,3.3
1985-09-01,6.49
1985-10-01,7.62
1985-11-01,4.58
1985-12-01,4.09
1986-01-01,-0.72
1986-02-01,-1.77
1986-03-01,-3.63
1986-04-01,-1.53
1986-05-01,-1.87
1986-06-01,0.65
1986-07-01,3.77
1986-08-01,4.01
1986-09-01,4.14
1986-10-01,5.05
1986-11-01,3.26
1986-12-01,4.72
1987-01-01,3.1
1987-02-01,0.02
1987-03-01,1.41
1987-04-01,2.03
1987-05-01,-0.17
1987-06-01,2.86
1987-07-01,2.12
1987-08-01,1.19
1987-09-01,3.86
1987-10-01,4.64
1987-11-01,2.23
1987-12-01,3.24
1988-01-01,3.9
1988-02-01,4.39
1988-03-01,2.16
1988-04-01,0.68
1988-05-01,3.25
1988-06-01,6.56
1988-07-01,6.37
1988-08-01,3.47
1988-09-01,5.63
1988-10-01,3.63
1988-11-01,2.7
1988-12-01,4.73
1989-01-01,2.91
1989-02-01,2
1989-03-01,-0.42
1989-04-01,2
1989-05-01,-0.29
1989-06-01,1.03
1989-07-01,-0.44
1989-08-01,1.63
1989-09-01,5.33
1989-10-01,3.04
1989-11-01,1.05
1989-12-01,1.26
1990-01-01,4.06
1990-02-01,0.01
1990-03-01,0.58
1990-04-01,-0.68
1990-05-01,-4.75
1990-06-01,-4.92
1990-07-01,-5.16
1990-08-01,-7.94
1990-09-01,-6.82
1990-10-01,-5.81
1990-11-01,-2.71
1990-12-01,-2.95
1991-01-01,-3.96
1991-02-01,-2.08
1991-03-01,-3.32
1991-04-01,-2.24
1991-05-01,-1.16
1991-06-01,-2.85
1991-07-01,-1.81
1991-08-01,-1.72
1991-09-01,-3.43
1991-10-01,-3.8
1991-11-01,-3.45
1991-12-01,-1.62
1992-01-01,-0.91
1992-02-01,1.2
1992-03-01,3.63
1992-04-01,3.1
1992-05-01,3.15
1992-06-01,0.94
1992-07-01,0.19
1992-08-01,2.05
1992-09-01,1.49
1992-10-01,-0.42
1992-11-01,2.03
1992-12-01,1.49
1993-01-01,3.1
1993-02-01,-1.86
1993-03-01,-0.46
1993-04-01,1.29
1993-05-01,4.4
1993-06-01,3.68
1993-07-01,5.34
1993-08-01,5.47
1993-09-01,5.14
1993-10-01,4.05
1993-11-01,1.69
1993-12-01,1.61
1994-01-01,2.17
1994-02-01,2.78
1994-03-01,2.65
1994-04-01,5.15
1994-05-01,6.84
1994-06-01,8.24
1994-07-01,4.5
1994-08-01,5.18
1994-09-01,5.57
1994-10-01,5.9
1994-11-01,6.49
1994-12-01,4.02
1995-01-01,5.02
1995-02-01,0.84
1995-03-01,-2.13
1995-04-01,0.09
1995-05-01,-2.71
1995-06-01,-1.63
1995-07-01,0.93
1995-08-01,1.28
1995-09-01,0.72
1995-10-01,0.01
1995-11-01,-1.09
1995-12-01,0.2
1996-01-01,0.22
1996-02-01,2.79
1996-03-01,5.04
1996-04-01,2.9
1996-05-01,4.71
1996-06-01,3.05
1996-07-01,-0.71
1996-08-01,1.2
1996-09-01,-1.58
1996-10-01,-0.45
1996-11-01,-1.4
1996-12-01,0.9
1997-01-01,2.41
1997-02-01,4.28
1997-03-01,3.51
1997-04-01,4.74
1997-05-01,3.8
1997-06-01,2.69
