"Date","OKSLIND"
1982-01-01,0.22
1982-02-01,-0.05
1982-03-01,0.06
1982-04-01,-0.45
1982-05-01,-0.55
1982-06-01,-1.27
1982-07-01,-2.15
1982-08-01,-1.58
1982-09-01,-1.27
1982-10-01,-1.19
1982-11-01,-1.67
1982-12-01,-0.9
1983-01-01,-0.29
1983-02-01,0.09
1983-03-01,0.59
1983-04-01,1.26
1983-05-01,1.57
1983-06-01,2.29
1983-07-01,2.46
1983-08-01,2.14
1983-09-01,2.04
1983-10-01,2.63
1983-11-01,2.76
1983-12-01,2.22
1984-01-01,1.8
1984-02-01,2.05
1984-03-01,2.13
1984-04-01,1.6
1984-05-01,1.55
1984-06-01,1.33
1984-07-01,0.11
1984-08-01,1.53
1984-09-01,1.44
1984-10-01,0.76
1984-11-01,0.05
1984-12-01,-0.13
1985-01-01,0.02
1985-02-01,0.21
1985-03-01,0.36
1985-04-01,-0.15
1985-05-01,0.67
1985-06-01,0.73
1985-07-01,0.28
1985-08-01,1.15
1985-09-01,0.87
1985-10-01,0.44
1985-11-01,0.08
1985-12-01,0
1986-01-01,0.49
1986-02-01,-0.48
1986-03-01,-0.61
1986-04-01,-0.67
1986-05-01,-0.72
1986-06-01,-0.16
1986-07-01,-0.04
1986-08-01,0.89
1986-09-01,1.19
1986-10-01,1.69
1986-11-01,1.85
1986-12-01,1.78
1987-01-01,1.5
1987-02-01,1.45
1987-03-01,1.6
1987-04-01,1.85
1987-05-01,1.91
1987-06-01,1.62
1987-07-01,1.47
1987-08-01,1.83
1987-09-01,2.41
1987-10-01,2.31
1987-11-01,1.88
1987-12-01,1.23
1988-01-01,1.39
1988-02-01,2.01
1988-03-01,1.64
1988-04-01,1.59
1988-05-01,1.16
1988-06-01,1.68
1988-07-01,0.59
1988-08-01,1.63
1988-09-01,2.07
1988-10-01,1.51
1988-11-01,1.2
1988-12-01,1.56
1989-01-01,1.97
1989-02-01,1.51
1989-03-01,1.95
1989-04-01,1.59
1989-05-01,1.51
1989-06-01,0.88
1989-07-01,1.15
1989-08-01,0.93
1989-09-01,1
1989-10-01,0.4
1989-11-01,0.76
1989-12-01,0.75
1990-01-01,2.01
1990-02-01,1.14
1990-03-01,0.77
1990-04-01,0.89
1990-05-01,1.14
1990-06-01,0.94
1990-07-01,0.99
1990-08-01,0.66
1990-09-01,0.36
1990-10-01,-0.57
1990-11-01,-0.19
1990-12-01,0.07
1991-01-01,0.76
1991-02-01,0.85
1991-03-01,1
1991-04-01,1.22
1991-05-01,0.88
1991-06-01,1.1
1991-07-01,0.72
1991-08-01,0.92
1991-09-01,1
1991-10-01,1.15
1991-11-01,0.97
1991-12-01,0.98
1992-01-01,0.92
1992-02-01,0.53
1992-03-01,0.61
1992-04-01,1.17
1992-05-01,1.41
1992-06-01,1.33
1992-07-01,1.47
1992-08-01,1.02
1992-09-01,1.12
1992-10-01,1.31
1992-11-01,1.14
1992-12-01,0.99
1993-01-01,1.17
1993-02-01,0.97
1993-03-01,0.81
1993-04-01,0.34
1993-05-01,0.7
1993-06-01,0.84
1993-07-01,1.12
1993-08-01,1.08
1993-09-01,1.18
1993-10-01,1.53
1993-11-01,1.17
1993-12-01,1.14
1994-01-01,1.29
1994-02-01,1.26
1994-03-01,1.27
1994-04-01,1.83
1994-05-01,1.65
1994-06-01,1.82
1994-07-01,1.98
1994-08-01,1.71
1994-09-01,2.02
1994-10-01,1.69
1994-11-01,2.12
1994-12-01,2.4
1995-01-01,2.16
1995-02-01,1.79
1995-03-01,1.3
1995-04-01,1.02
1995-05-01,0.63
1995-06-01,0.79
1995-07-01,0.95
1995-08-01,1.29
1995-09-01,1.4
1995-10-01,1.66
1995-11-01,1.29
1995-12-01,1.41
1996-01-01,0.91
1996-02-01,1.09
1996-03-01,1.42
1996-04-01,1.53
1996-05-01,1.79
1996-06-01,1.94
1996-07-01,1.19
1996-08-01,1.3
1996-09-01,0.58
1996-10-01,0.47
1996-11-01,0.4
1996-12-01,1.09
1997-01-01,1.03
1997-02-01,1.47
1997-03-01,1.96
1997-04-01,1.32
1997-05-01,1.25
1997-06-01,1.41
1997-07-01,1.41
1997-08-01,1.2
1997-09-01,1.57
1997-10-01,1.85
1997-11-01,1.74
1997-12-01,1.22
1998-01-01,1.13
1998-02-01,0.99
1998-03-01,0.85
1998-04-01,0.92
1998-05-01,1.13
1998-06-01,0.71
1998-07-01,0.42
1998-08-01,0.93
1998-09-01,1.55
1998-10-01,1.79
1998-11-01,1.67
1998-12-01,1.52
1999-01-01,1.07
1999-02-01,1.43
1999-03-01,1.48
1999-04-01,1.43
1999-05-01,1.52
1999-06-01,1.84
1999-07-01,1.58
1999-08-01,1.44
1999-09-01,1.4
1999-10-01,1.43
1999-11-01,1.56
1999-12-01,1.88
2000-01-01,1.25
2000-02-01,1.22
2000-03-01,1.39
2000-04-01,1.31
2000-05-01,1.53
2000-06-01,1.36
2000-07-01,1.1
2000-08-01,1.32
2000-09-01,1.07
2000-10-01,1.27
2000-11-01,1.13
2000-12-01,0.98
2001-01-01,0.28
2001-02-01,0.71
2001-03-01,0.65
2001-04-01,0.7
2001-05-01,0.04
2001-06-01,0.58
2001-07-01,0.24
2001-08-01,0.18
2001-09-01,-0.36
2001-10-01,-0.31
2001-11-01,0.23
2001-12-01,0.33
2002-01-01,0.32
2002-02-01,0.88
2002-03-01,1.03
2002-04-01,1.23
2002-05-01,1.28
2002-06-01,1.07
2002-07-01,0.89
2002-08-01,0.62
2002-09-01,0.34
2002-10-01,0.08
2002-11-01,0.44
