"Date","FII20"
2004-07-01,2.44
2004-08-01,2.23
2004-09-01,2.16
2004-10-01,2.13
2004-11-01,2.09
2004-12-01,2.02
2005-01-01,1.98
2005-02-01,1.85
2005-03-01,1.95
2005-04-01,1.87
2005-05-01,1.82
2005-06-01,1.8
2005-07-01,2
2005-08-01,2.02
2005-09-01,1.93
2005-10-01,2.09
2005-11-01,2.16
2005-12-01,2.14
2006-01-01,2.05
2006-02-01,2.01
2006-03-01,2.17
2006-04-01,2.43
2006-05-01,2.48
2006-06-01,2.54
2006-07-01,2.52
2006-08-01,2.31
2006-09-01,2.31
2006-10-01,2.38
2006-11-01,2.23
2006-12-01,2.26
2007-01-01,2.42
2007-02-01,2.38
2007-03-01,2.27
2007-04-01,2.35
2007-05-01,2.45
2007-06-01,2.67
2007-07-01,2.62
2007-08-01,2.47
2007-09-01,2.3
2007-10-01,2.26
2007-11-01,1.99
2007-12-01,2.08
2008-01-01,1.81
2008-02-01,1.87
2008-03-01,1.76
2008-04-01,1.91
2008-05-01,2
2008-06-01,2.19
2008-07-01,2.09
2008-08-01,2.15
2008-09-01,2.25
2008-10-01,2.87
2008-11-01,3
2008-12-01,2.32
2009-01-01,2.46
2009-02-01,2.31
2009-03-01,2.26
2009-04-01,2.22
2009-05-01,2.36
2009-06-01,2.36
2009-07-01,2.31
2009-08-01,2.22
2009-09-01,2.13
2009-10-01,2.04
2009-11-01,1.9
2009-12-01,1.99
2010-01-01,2
2010-02-01,2.03
2010-03-01,1.98
2010-04-01,1.9
2010-05-01,1.72
2010-06-01,1.69
2010-07-01,1.8
2010-08-01,1.65
2010-09-01,1.58
2010-10-01,1.32
2010-11-01,1.44
2010-12-01,1.67
2011-01-01,1.7
2011-02-01,1.85
2011-03-01,1.58
2011-04-01,1.48
2011-05-01,1.47
2011-06-01,1.53
2011-07-01,1.36
2011-08-01,0.81
2011-09-01,0.69
2011-10-01,0.72
2011-11-01,0.55
2011-12-01,0.56
2012-01-01,0.51
2012-02-01,0.45
2012-03-01,0.56
2012-04-01,0.5
2012-05-01,0.44
2012-06-01,0.1
2012-07-01,-0.01
2012-08-01,0.06
2012-09-01,0.02
2012-10-01,-0.01
2012-11-01,-0.06
2012-12-01,0
2013-01-01,0.2
2013-02-01,0.19
2013-03-01,0.19
2013-04-01,0.07
2013-05-01,0.35
2013-06-01,0.98
2013-07-01,1.09
2013-08-01,1.16
2013-09-01,1.22
2013-10-01,1.05
2013-11-01,1.2
2013-12-01,1.32
2014-01-01,1.17
2014-02-01,1.12
2014-03-01,1.05
2014-04-01,0.98
2014-05-01,0.82
2014-06-01,0.84
2014-07-01,0.72
2014-08-01,0.64
2014-09-01,0.81
2014-10-01,0.74
2014-11-01,0.77
2014-12-01,0.73
2015-01-01,0.5
2015-02-01,0.52
2015-03-01,0.55
2015-04-01,0.42
2015-05-01,0.7
2015-06-01,0.89
2015-07-01,0.87
2015-08-01,0.87
2015-09-01,1.01
2015-10-01,0.98
2015-11-01,1.03
2015-12-01,1.06
2016-01-01,1.05
2016-02-01,0.85
2016-03-01,0.73
2016-04-01,0.6
2016-05-01,0.64
2016-06-01,0.63
2016-07-01,0.42
2016-08-01,0.43
2016-09-01,0.47
2016-10-01,0.49
2016-11-01,0.69
2016-12-01,0.89
2017-01-01,0.74
2017-02-01,0.73
2017-03-01,0.79
2017-04-01,0.72
2017-05-01,0.8
2017-06-01,0.75
2017-07-01,0.84
2017-08-01,0.74
2017-09-01,0.67
2017-10-01,0.77
2017-11-01,0.72
2017-12-01,0.68
2018-01-01,0.69
2018-02-01,0.89
2018-03-01,0.89
2018-04-01,0.85
2018-05-01,0.92
2018-06-01,0.87
2018-07-01,0.84
2018-08-01,0.86
2018-09-01,0.95
2018-10-01,1.14
2018-11-01,1.21
2018-12-01,1.11
2019-01-01,1.07
2019-02-01,0.96
2019-03-01,0.85
2019-04-01,0.79
2019-05-01,0.75
2019-06-01,0.59
2019-07-01,0.54
2019-08-01,0.25
2019-09-01,0.32
2019-10-01,0.36
2019-11-01,0.37
2019-12-01,0.35
2020-01-01,0.26
2020-02-01,0.12
2020-03-01,0.03
2020-04-01,-0.28
2020-05-01,-0.26
2020-06-01,-0.28
2020-07-01,-0.53
2020-08-01,-0.62
2020-09-01,-0.59
2020-10-01,-0.51
2020-11-01,-0.44
2020-12-01,-0.54
2021-01-01,-0.53
2021-02-01,-0.35
2021-03-01,-0.14
2021-04-01,-0.2
2021-05-01,-0.27
2021-06-01,-0.34
2021-07-01,-0.52
2021-08-01,-0.56
2021-09-01,-0.51
2021-10-01,-0.51
2021-11-01,-0.63
2021-12-01,-0.61
2022-01-01,-0.31
2022-02-01,-0.13
2022-03-01,-0.3
2022-04-01,0.13
2022-05-01,0.47
2022-06-01,0.7
2022-07-01,0.75
2022-08-01,0.65
2022-09-01,1.21
2022-10-01,1.64
2022-11-01,1.55
2022-12-01,1.37
2023-01-01,1.35
2023-02-01,1.46
2023-03-01,1.43
2023-04-01,1.33
2023-05-01,1.48
2023-06-01,1.56
2023-07-01,1.6
2023-08-01,1.88
2023-09-01,2.07
2023-10-01,2.45
2023-11-01,2.23
