"Date","WASLIND"
1982-01-01,-1.35
1982-02-01,-0.73
1982-03-01,-0.06
1982-04-01,0.08
1982-05-01,0.58
1982-06-01,0.52
1982-07-01,1.07
1982-08-01,0.79
1982-09-01,1.49
1982-10-01,1.89
1982-11-01,2.42
1982-12-01,3.21
1983-01-01,3.4
1983-02-01,4.31
1983-03-01,4.04
1983-04-01,3.43
1983-05-01,2.37
1983-06-01,2.84
1983-07-01,2.79
1983-08-01,2.57
1983-09-01,2.9
1983-10-01,3.47
1983-11-01,4.03
1983-12-01,3.85
1984-01-01,3.35
1984-02-01,3.36
1984-03-01,2.78
1984-04-01,3.09
1984-05-01,3.35
1984-06-01,2.61
1984-07-01,2.01
1984-08-01,2.06
1984-09-01,1.72
1984-10-01,1.51
1984-11-01,2.05
1984-12-01,1.67
1985-01-01,2.41
1985-02-01,2.07
1985-03-01,2.29
1985-04-01,2.65
1985-05-01,2.93
1985-06-01,3.22
1985-07-01,2.91
1985-08-01,3.08
1985-09-01,2.69
1985-10-01,2.43
1985-11-01,1.78
1985-12-01,1.41
1986-01-01,1.71
1986-02-01,1.3
1986-03-01,1.58
1986-04-01,1.48
1986-05-01,2.07
1986-06-01,1.75
1986-07-01,1.64
1986-08-01,1.6
1986-09-01,1.39
1986-10-01,2.49
1986-11-01,2.44
1986-12-01,2.49
1987-01-01,2.51
1987-02-01,2.74
1987-03-01,3.22
1987-04-01,2.87
1987-05-01,3.16
1987-06-01,2.75
1987-07-01,3.08
1987-08-01,2.8
1987-09-01,1.92
1987-10-01,2.09
1987-11-01,2.39
1987-12-01,2.73
1988-01-01,2.18
1988-02-01,2.29
1988-03-01,2.47
1988-04-01,2.5
1988-05-01,2.01
1988-06-01,1.9
1988-07-01,2.36
1988-08-01,1.88
1988-09-01,1.95
1988-10-01,2.6
1988-11-01,2.92
1988-12-01,3.18
1989-01-01,2.03
1989-02-01,1.15
1989-03-01,1.1
1989-04-01,1.44
1989-05-01,1.69
1989-06-01,1.59
1989-07-01,1.49
1989-08-01,2.23
1989-09-01,2.63
1989-10-01,2.54
1989-11-01,2.72
1989-12-01,3.16
1990-01-01,3.66
1990-02-01,2.74
1990-03-01,2.48
1990-04-01,2
1990-05-01,2.28
1990-06-01,1.72
1990-07-01,1.18
1990-08-01,0.95
1990-09-01,0.77
1990-10-01,0.19
1990-11-01,-0.29
1990-12-01,-0.96
1991-01-01,-0.88
1991-02-01,-0.17
1991-03-01,0.59
1991-04-01,0.75
1991-05-01,1.48
1991-06-01,1.59
1991-07-01,1.94
1991-08-01,1.34
1991-09-01,0.92
1991-10-01,1
1991-11-01,0.32
1991-12-01,0.53
1992-01-01,0.8
1992-02-01,1.88
1992-03-01,1.65
1992-04-01,1.32
1992-05-01,1.52
1992-06-01,1.21
1992-07-01,0.61
1992-08-01,1.02
1992-09-01,1.01
1992-10-01,1.18
1992-11-01,1.27
1992-12-01,1.82
1993-01-01,1.86
