"Date","AKSLIND"
1982-01-01,0.05
1982-02-01,0.79
1982-03-01,0.41
1982-04-01,0.42
1982-05-01,0.39
1982-06-01,1.24
1982-07-01,1.47
1982-08-01,0.6
1982-09-01,0.59
1982-10-01,-0.01
1982-11-01,0.06
1982-12-01,0.5
1983-01-01,0.71
1983-02-01,1.42
1983-03-01,1.73
1983-04-01,1.96
1983-05-01,1.74
1983-06-01,1.98
1983-07-01,1.52
1983-08-01,1.07
1983-09-01,1.11
1983-10-01,0.52
1983-11-01,0.87
1983-12-01,0.45
1984-01-01,0.78
1984-02-01,0.95
1984-03-01,1.38
1984-04-01,1.27
1984-05-01,1.43
1984-06-01,0.8
1984-07-01,1.23
1984-08-01,0.99
1984-09-01,0.86
1984-10-01,0.85
1984-11-01,0.5
1984-12-01,0.29
1985-01-01,0.57
1985-02-01,0.54
1985-03-01,0.34
1985-04-01,0.18
1985-05-01,-0.06
1985-06-01,-0.03
1985-07-01,0.37
1985-08-01,0.7
1985-09-01,1.06
1985-10-01,0.22
1985-11-01,-0.53
1985-12-01,-0.26
1986-01-01,-0.39
1986-02-01,-0.69
1986-03-01,-1.16
1986-04-01,-1.23
1986-05-01,-0.68
1986-06-01,-0.71
1986-07-01,-0.01
1986-08-01,0.09
1986-09-01,0.14
1986-10-01,0.32
1986-11-01,0.91
1986-12-01,0.36
1987-01-01,0.21
1987-02-01,0.42
1987-03-01,0.2
1987-04-01,0.49
1987-05-01,0.69
1987-06-01,0.82
1987-07-01,0.86
1987-08-01,1.14
1987-09-01,1.1
1987-10-01,2
1987-11-01,1.83
1987-12-01,1.77
1988-01-01,1.41
1988-02-01,1.48
1988-03-01,1.37
1988-04-01,1.17
1988-05-01,0.35
1988-06-01,1.57
1988-07-01,1.61
1988-08-01,1.41
1988-09-01,1.57
1988-10-01,1.53
1988-11-01,1.87
1988-12-01,1.84
1989-01-01,2.05
1989-02-01,2.19
1989-03-01,1.97
1989-04-01,1.97
1989-05-01,1.57
1989-06-01,1.53
1989-07-01,0.84
1989-08-01,0.42
1989-09-01,-0.27
1989-10-01,-0.44
1989-11-01,-0.12
1989-12-01,-0.24
1990-01-01,0.33
1990-02-01,0.57
