"Date","CPF3M"
1997-01-01,5.32
1997-02-01,5.28
1997-03-01,5.42
1997-04-01,5.6
1997-05-01,5.6
1997-06-01,5.56
1997-07-01,5.51
1997-08-01,5.5
1997-09-01,5.51
1997-10-01,5.55
1997-11-01,5.64
1997-12-01,5.7
1998-01-01,5.44
1998-02-01,5.45
1998-03-01,5.49
1998-04-01,5.48
1998-05-01,5.5
1998-06-01,5.5
1998-07-01,5.5
1998-08-01,5.5
1998-09-01,5.32
1998-10-01,5.09
1998-11-01,5.15
1998-12-01,5.04
1999-01-01,4.81
1999-02-01,4.82
1999-03-01,4.84
1999-04-01,4.8
1999-05-01,4.83
1999-06-01,5.04
1999-07-01,5.14
1999-08-01,5.28
1999-09-01,5.32
1999-10-01,5.93
1999-11-01,5.85
1999-12-01,5.93
2000-01-01,5.81
2000-02-01,5.9
2000-03-01,6.03
2000-04-01,6.15
2000-05-01,6.57
2000-06-01,6.59
2000-07-01,6.54
2000-08-01,6.49
2000-09-01,6.47
2000-10-01,6.52
2000-11-01,6.52
2000-12-01,6.33
2001-01-01,5.51
2001-02-01,5.19
2001-03-01,4.81
2001-04-01,4.47
2001-05-01,3.96
2001-06-01,3.69
2001-07-01,3.62
2001-08-01,3.44
2001-09-01,2.84
2001-10-01,2.29
2001-11-01,2
2001-12-01,1.81
2002-01-01,1.72
2002-02-01,1.8
2002-03-01,1.87
2002-04-01,1.83
2002-05-01,1.8
2002-06-01,1.78
2002-07-01,1.76
2002-08-01,1.71
2002-09-01,1.74
2002-10-01,1.71
2002-11-01,1.37
2002-12-01,1.32
2003-01-01,1.27
2003-02-01,1.25
2003-03-01,1.21
2003-04-01,1.23
2003-05-01,1.2
2003-06-01,1.02
2003-07-01,1.03
2003-08-01,1.06
2003-09-01,1.06
2003-10-01,1.06
2003-11-01,1.08
2003-12-01,1.07
2004-01-01,1.04
2004-02-01,1.03
2004-03-01,1.03
2004-04-01,1.06
2004-05-01,1.16
2004-06-01,1.39
2004-07-01,1.51
2004-08-01,1.65
2004-09-01,1.81
2004-10-01,1.97
2004-11-01,2.2
2004-12-01,2.38
2005-01-01,2.56
2005-02-01,2.71
2005-03-01,2.91
2005-04-01,3.02
2005-05-01,3.15
2005-06-01,3.3
2005-07-01,3.49
2005-08-01,3.69
2005-09-01,3.79
2005-10-01,4.05
2005-11-01,4.23
2005-12-01,4.37
2006-01-01,4.48
2006-02-01,4.63
2006-03-01,4.79
2006-04-01,4.94
