"Date","TP10J17"
2007-02-01,2.35
2007-03-01,2.17
2007-04-01,2.25
2007-05-01,2.36
2007-06-01,2.69
2007-07-01,2.65
2007-08-01,2.47
2007-09-01,2.27
2007-10-01,2.2
2007-11-01,1.75
2007-12-01,1.77
2008-01-01,1.39
2008-02-01,1.31
2008-03-01,0.99
2008-04-01,1.22
2008-05-01,1.34
2008-06-01,1.5
2008-07-01,1.44
2008-08-01,1.61
2008-09-01,1.82
2008-10-01,2.93
2008-11-01,3.53
2008-12-01,2.74
2009-01-01,2.31
2009-02-01,2.09
2009-03-01,2.01
2009-04-01,1.62
2009-05-01,1.74
2009-06-01,1.84
2009-07-01,1.8
2009-08-01,1.77
2009-09-01,1.54
2009-10-01,1.35
2009-11-01,1.07
2009-12-01,1.07
2010-01-01,1.03
2010-02-01,1.04
2010-03-01,1.09
2010-04-01,1.05
2010-05-01,0.86
2010-06-01,0.87
2010-07-01,0.83
2010-08-01,0.59
2010-09-01,0.5
2010-10-01,0.04
2010-11-01,0.08
2010-12-01,0.47
2011-01-01,0.33
2011-02-01,0.42
2011-03-01,0.1
2011-04-01,-0.02
2011-05-01,-0.17
2011-06-01,-0.23
2011-07-01,-0.39
2011-08-01,-0.65
2011-09-01,-0.6
2011-10-01,-0.51
2011-11-01,-0.8
2011-12-01,-0.81
2012-01-01,-0.95
2012-02-01,-1.21
2012-03-01,-1.18
2012-04-01,-1.18
2012-05-01,-1.19
2012-06-01,-1.01
2012-07-01,-1.13
2012-08-01,-1.22
2012-09-01,-1.53
2012-10-01,-1.53
2012-11-01,-1.46
2012-12-01,-1.54
2013-01-01,-1.59
2013-02-01,-1.76
2013-03-01,-1.84
2013-04-01,-1.69
2013-05-01,-1.35
2013-06-01,-0.84
2013-07-01,-0.88
2013-08-01,-0.83
2013-09-01,-0.75
2013-10-01,-1
2013-11-01,-1.02
2013-12-01,-0.92
2014-01-01,-1.04
2014-02-01,-1.22
2014-03-01,-1.16
2014-04-01,-1.07
2014-05-01,-1.2
2014-06-01,-1.18
2014-07-01,-1.13
2014-08-01,-1.01
2014-09-01,-0.71
2014-10-01,-0.71
2014-11-01,-0.69
2014-12-01,-0.23
2015-01-01,-0.27
2015-02-01,-0.65
2015-03-01,-0.81
2015-04-01,-1.11
2015-05-01,-0.95
2015-06-01,-0.79
2015-07-01,-0.54
2015-08-01,0.09
2015-09-01,0.29
2015-10-01,0.06
2015-11-01,0.08
2015-12-01,0.13
2016-01-01,-0.08
2016-02-01,-0.33
2016-03-01,-1.19
2016-04-01,-1.43
2016-05-01,-1.49
2016-06-01,-1.33
2016-07-01,-0.64
2016-08-01,0.11
2016-09-01,-0.04
2016-10-01,-1.16
2016-11-01,-0.61
2016-12-01,0.56
